Symbol,Date,Open,High,Low,Close,Volume
MEMP,03-Aug-2015,9.84,10,8.7,8.93,2541800
MENT,03-Aug-2015,25.99,26.04,25.62,25.91,359800
MEOH,03-Aug-2015,44.93,45.62,43.44,43.89,884100
MERC,03-Aug-2015,12.23,13.05,12.1,12.69,267800
METR,03-Aug-2015,24.62,24.92,24.5,24.78,26000
MFLX,03-Aug-2015,17.79,17.99,17.5,17.7,147600
MFNC,03-Aug-2015,10.6,10.64,10.6,10.6,2300
MFRI,03-Aug-2015,5.59,5.85,5.47,5.68,17000
MFRM,03-Aug-2015,62.35,62.81,61.27,61.73,175900
MFSF,03-Aug-2015,23.5,23.5,23.5,23.5,100
MGCD,03-Aug-2015,5.2,5.23,5.01,5.02,3500
MGEE,03-Aug-2015,39.7,40.19,39.38,39.7,48000
MGI,03-Aug-2015,10.2,10.6,9.7,10.48,567900
MGIC,03-Aug-2015,6.48,6.52,6.22,6.36,22500
MGLN,03-Aug-2015,61,61.64,60.33,60.55,196800
MGNX,03-Aug-2015,37.15,39,36.3,37.79,267300
MGPI,03-Aug-2015,14.81,14.99,14.27,14.38,58300
MGRC,03-Aug-2015,25.45,25.83,24.05,24.12,146500
MGYR,03-Aug-2015,10.03,10.03,10.03,10.03,0
MHGC,03-Aug-2015,5.98,6,5.78,5.89,140100
MHLD,03-Aug-2015,16.58,16.78,16.53,16.58,502000
MHLDO,03-Aug-2015,57.44,58.02,57.43,57.65,18600
MICT,03-Aug-2015,2.97,2.97,2.97,2.97,0
MICTW,03-Aug-2015,0.47,0.47,0.47,0.47,0
MIDD,03-Aug-2015,122.9,122.9,121.07,122.28,130400
MIFI,03-Aug-2015,2.45,2.45,2.23,2.26,557600
MIK,03-Aug-2015,25.37,25.37,24.45,24.74,640100
MIND,03-Aug-2015,4.12,4.2,4.01,4.07,57500
MINI,03-Aug-2015,37.36,37.36,36.58,37,509600
MITK,03-Aug-2015,3.59,3.84,3.53,3.63,405800
MITL,03-Aug-2015,9.44,9.54,9.31,9.46,333100
MKSI,03-Aug-2015,35.58,35.58,34.91,35.1,151800
MKTO,03-Aug-2015,30.24,30.61,29.39,29.66,518600
MKTX,03-Aug-2015,98.01,98.88,97.02,97.92,131300
MLAB,03-Aug-2015,104.16,126.04,104.16,119.7,47000
MLHR,03-Aug-2015,28.03,28.11,27.68,27.97,224900
MLNK,03-Aug-2015,3.25,3.33,3.21,3.24,76600
MLNX,03-Aug-2015,42.4,42.83,41.9,42.31,849300
MLVF,03-Aug-2015,15.02,15.04,15,15.04,6000
MMAC,03-Aug-2015,13,13,12.9,12.96,6300
MMLP,03-Aug-2015,30.43,30.97,28.36,28.65,295500
MMSI,03-Aug-2015,25.54,25.58,24.9,25.25,302200
MMYT,03-Aug-2015,14.76,15.15,14,14.08,916700
MNDO,03-Aug-2015,2.93,2.99,2.93,2.96,57800
MNGA,03-Aug-2015,1.14,1.16,1.12,1.14,175600
MNKD,03-Aug-2015,4.3,4.3,4.12,4.16,3930600
MNOV,03-Aug-2015,3.82,3.82,3.6,3.73,55400
MNRK,03-Aug-2015,12.79,12.88,12.74,12.74,4100
MNRO,03-Aug-2015,63.38,63.38,61.72,62.36,132900
MNST,03-Aug-2015,154.61,155.83,153.55,155.81,1179500
MNTA,03-Aug-2015,21.68,21.97,21.47,21.76,713900
MNTX,03-Aug-2015,6.07,6.26,5.85,5.96,79400
MOBI,03-Aug-2015,4.14,4.16,3.97,4.1,126700
MOBL,03-Aug-2015,5.67,5.75,5.25,5.32,544200
MOCO,03-Aug-2015,15.79,15.79,15.75,15.78,1900
MOFG,03-Aug-2015,32.25,32.48,31.46,31.54,12200
MOKO,03-Aug-2015,3.75,3.75,3.67,3.69,1100
MOLG,03-Aug-2015,1.26,1.26,1.18,1.18,53600
MOMO,03-Aug-2015,16.14,16.58,15.92,16.52,503700
