Symbol,Date,Open,High,Low,Close,Volume
KSX.IDX,23-Oct-2015,282.48,283.94,281.02,283.73,0
KYX.IDX,23-Oct-2015,85.49,85.49,84.05,84.69,0
LOWA.IDX,23-Oct-2015,1,1,1,1,0
LOWD.IDX,23-Oct-2015,6,6,6,6,0
LOWN.IDX,23-Oct-2015,46,46,46,46,0
LOWQ.IDX,23-Oct-2015,40,40,40,40,0
LOWS.IDX,23-Oct-2015,35,35,35,35,0
LOWV.IDX,23-Oct-2015,2,2,2,2,0
M1HA.IDX,23-Oct-2015,21,21,21,21,0
M1HD.IDX,23-Oct-2015,5,5,5,5,0
M1HE.IDX,23-Oct-2015,593,593,593,593,0
M1HH.IDX,23-Oct-2015,941,941,941,941,0
M1HL.IDX,23-Oct-2015,162,162,162,162,0
M1HN.IDX,23-Oct-2015,553,553,553,553,0
M1HP.IDX,23-Oct-2015,29,29,29,29,0
M1HQ.IDX,23-Oct-2015,529,529,529,529,0
M1HU.IDX,23-Oct-2015,265,265,265,265,0
M1HV.IDX,23-Oct-2015,838,838,838,838,0
M1HX.IDX,23-Oct-2015,1103,1103,1103,1103,0
M1LA.IDX,23-Oct-2015,18,18,18,18,0
M1LD.IDX,23-Oct-2015,11,11,11,11,0
M1LE.IDX,23-Oct-2015,79,79,79,79,0
M1LH.IDX,23-Oct-2015,137,137,137,137,0
M1LL.IDX,23-Oct-2015,118,118,118,118,0
M1LN.IDX,23-Oct-2015,91,91,91,91,0
M1LP.IDX,23-Oct-2015,3,3,3,3,0
M1LQ.IDX,23-Oct-2015,146,146,146,146,0
M1LU.IDX,23-Oct-2015,71,71,71,71,0
M1LV.IDX,23-Oct-2015,184,184,184,184,0
M1LX.IDX,23-Oct-2015,255,255,255,255,0
M3HA.IDX,23-Oct-2015,9,9,9,9,0
M3HD.IDX,23-Oct-2015,4,4,4,4,0
M3HE.IDX,23-Oct-2015,71,71,71,71,0
M3HH.IDX,23-Oct-2015,423,423,423,423,0
M3HL.IDX,23-Oct-2015,60,60,60,60,0
M3HN.IDX,23-Oct-2015,222,222,222,222,0
M3HP.IDX,23-Oct-2015,12,12,12,12,0
M3HQ.IDX,23-Oct-2015,252,252,252,252,0
M3HU.IDX,23-Oct-2015,116,116,116,116,0
M3HV.IDX,23-Oct-2015,367,367,367,367,0
M3HX.IDX,23-Oct-2015,483,483,483,483,0
M3LA.IDX,23-Oct-2015,8,8,8,8,0
M3LD.IDX,23-Oct-2015,3,3,3,3,0
M3LE.IDX,23-Oct-2015,32,32,32,32,0
M3LH.IDX,23-Oct-2015,98,98,98,98,0
M3LL.IDX,23-Oct-2015,69,69,69,69,0
M3LN.IDX,23-Oct-2015,69,69,69,69,0
M3LP.IDX,23-Oct-2015,3,3,3,3,0
M3LQ.IDX,23-Oct-2015,90,90,90,90,0
M3LU.IDX,23-Oct-2015,33,33,33,33,0
M3LV.IDX,23-Oct-2015,134,134,134,134,0
M3LX.IDX,23-Oct-2015,167,167,167,167,0
M6HA.IDX,23-Oct-2015,4,4,4,4,0
M6HD.IDX,23-Oct-2015,3,3,3,3,0
M6HE.IDX,23-Oct-2015,22,22,22,22,0
M6HH.IDX,23-Oct-2015,270,270,270,270,0
M6HL.IDX,23-Oct-2015,25,25,25,25,0
M6HN.IDX,23-Oct-2015,128,128,128,128,0
M6HP.IDX,23-Oct-2015,8,8,8,8,0
M6HQ.IDX,23-Oct-2015,163,163,163,163,0
M6HU.IDX,23-Oct-2015,69,69,69,69,0
M6HV.IDX,23-Oct-2015,226,226,226,226,0
M6HX.IDX,23-Oct-2015,295,295,295,295,0
M6LA.IDX,23-Oct-2015,6,6,6,6,0
M6LD.IDX,23-Oct-2015,3,3,3,3,0
M6LE.IDX,23-Oct-2015,15,15,15,15,0
M6LH.IDX,23-Oct-2015,84,84,84,84,0
M6LL.IDX,23-Oct-2015,61,61,61,61,0
M6LN.IDX,23-Oct-2015,61,61,61,61,0
M6LP.IDX,23-Oct-2015,3,3,3,3,0
M6LQ.IDX,23-Oct-2015,78,78,78,78,0
M6LU.IDX,23-Oct-2015,26,26,26,26,0
M6LV.IDX,23-Oct-2015,119,119,119,119,0
M6LX.IDX,23-Oct-2015,145,145,145,145,0
MAHA.IDX,23-Oct-2015,3,3,3,3,0
MAHD.IDX,23-Oct-2015,1,1,1,1,0
MAHE.IDX,23-Oct-2015,17,17,17,17,0
MAHH.IDX,23-Oct-2015,211,211,211,211,0
MAHL.IDX,23-Oct-2015,18,18,18,18,0
MAHN.IDX,23-Oct-2015,87,87,87,87,0
MAHP.IDX,23-Oct-2015,5,5,5,5,0
MAHQ.IDX,23-Oct-2015,139,139,139,139,0
MAHU.IDX,23-Oct-2015,53,53,53,53,0
MAHV.IDX,23-Oct-2015,176,176,176,176,0
MAHX.IDX,23-Oct-2015,229,229,229,229,0
MALA.IDX,23-Oct-2015,5,5,5,5,0
MALD.IDX,23-Oct-2015,1,1,1,1,0
MALE.IDX,23-Oct-2015,15,15,15,15,0
MALH.IDX,23-Oct-2015,57,57,57,57,0
MALL.IDX,23-Oct-2015,48,48,48,48,0
MALN.IDX,23-Oct-2015,49,49,49,49,0
MALP.IDX,23-Oct-2015,3,3,3,3,0
MALQ.IDX,23-Oct-2015,51,51,51,51,0
MALU.IDX,23-Oct-2015,17,17,17,17,0
MALV.IDX,23-Oct-2015,88,88,88,88,0
MALX.IDX,23-Oct-2015,105,105,105,105,0
MBO.IDX,23-Oct-2015,2336.37,2374.91,2336.37,2372.15,0
MDO.IDX,23-Oct-2015,1432.32,1432.32,1430.36,1430.36,0
MERV.IDX,23-Oct-2015,11159.32,11401.2,11135.14,11329.28,0
MEV.IDX,23-Oct-2015,239.38,239.38,239.38,239.38,0
MFX.IDX,23-Oct-2015,35.38,35.59,35.02,35.59,0
MGD.IDX,23-Oct-2015,662.76,666.42,660.44,664.79,0
MIA.IDX,23-Oct-2015,1432.32,1432.32,1430.36,1430.36,0
MID.IDX,23-Oct-2015,1435.29,1441.88,1430.45,1439.84,0
MIH.IDX,23-Oct-2015,1432.32,1432.32,1430.36,1430.36,0
MIV.IDX,23-Oct-2015,1427.95,1427.95,1427.95,1427.95,0
MLO.IDX,23-Oct-2015,685.49,686.77,681.45,685.94,0
MMFI.IDX,23-Oct-2015,62.04,63.9,60.09,62.73,0
MMOF.IDX,23-Oct-2015,37.17,38.16,36.15,37.95,0
MMOH.IDX,23-Oct-2015,41.85,43.04,40.61,42.88,0
MMTH.IDX,23-Oct-2015,37.79,39.11,37.27,38.88,0
