Symbol	Description
DVST.IDX	IMPLIED FORWARD DVS SEPTEMBER
DWC.IDX	DJ Wilshire 5000 Index (Full Cap)
DWCB.IDX	DJ US BANKS TOTAL INDEX
DWE.IDX	DYNAMIC ENERGY EXPLORATION & PR
DWJ.IDX	DYNAMIC IURANCE INTELLIDEX
DWO.IDX	DYNAMIC OIL SERVICES INTELLIDEX
DWR.IDX	DYNAMIC RETAIL INTELLIDEX
DWU.IDX	DYNAMIC UTILITIES INTELLIDEX
DWY.IDX	DYNAMIC TELECOMMUNICATION & WIR
DXG.IDX	AMEX Spade Defense Setl
DXS.IDX	SPADE DEFEE
DXY.IDX	U.S. Dollar Index
DYH.IDX	Dynamic Top 200 Intell
DYI.IDX	AMEX Dynamic Market Intellidex
DYO.IDX	AMEX Dynamic Otc Intellidex
DZC.IDX	DYNAMIC SOFTWARE INTELLIDEX
DZE.IDX	DYNAMIC SEMICONDUCTOR INTELLIDE
DZF.IDX	DYNAMIC FOOD & BEVERAGE INTELLI
DZH.IDX	DYNAMIC HARDWARE & CO ELEC IN
DZL.IDX	DYNAMIC LEISURE&ENTERTAINMENT I
DZM.IDX	DYNAMIC MEDIA INTELLIDEX
DZN.IDX	DYNAMIC NETWORKING INTELLIDEX
DZO.IDX	Dynamic Biotech & Genome Intell
DZR.IDX	DYNAMIC PHARMACEUTICAL INTELLID
ECO.IDX	Wh Clean Energy
EED.IDX	Claymore Bric ETF Iopv
EMX.IDX	AMEX Major 8 European Index
EPX.IDX	SIG OIL EXPLORATION & PRODUCERS
ESX.IDX	Sel Euro 50 Ndx
EUX.IDX	Majr 11 Intl Ndx
EVZ.IDX	CBOE EURO CURR VOL IND
EZB.IDX	DYNAMIC BS MT INTELLIDEX
EZF.IDX	DYNAMIC FINCL INTELLIDEX
EZK.IDX	DYNAMIC ENRGY INTELLIDEX
EZL.IDX	DYNAMIC INDUS INTELLIDEX
EZS.IDX	DYNAMIC CN ST INTELLIDEX
EZV.IDX	DYNAMIC TECHN INTELLIDEX
EZX.IDX	DYNAMIC HLTHC INTELLIDEX
EZZ.IDX	DYNAMIC CN DS INTELLIDEX
FBV.IDX	Powershrs Db G10 Fd Iopv
FTSA.IDX	FTSE 350
FTSE.IDX	FTSE 100 Index
FTSM.IDX	FTSE Mid 250 Index
FVX.IDX	5-YEAR TREASURY NOTE
GDM.IDX	AMEX GOLD MINERS
GLD.IDX	Gold Index
GLI.IDX	Mer Lyn Gbl Mkt
GMI.IDX	Mkt Vector Gold Min Iopv
GNX.IDX	GSCI Spot Return
GVX.IDX	Goldman Sachs Livestock Sub Index
GVZ.IDX	GSTI SERVICES INDEX SETTLEMENT
GWI.IDX	Merrill Lynch Sel Sector Spdr
HGX.IDX	Phlx Hsg Sector Index
HIGA.IDX	AMEX New Highs
HIGD.IDX	OTC New Highs
HIGN.IDX	NYSE New Highs
HIGQ.IDX	NASD New Highs
HIGS.IDX	TSX New Highs
HIGV.IDX	Tsxv New Highs
HKO.IDX	AMEX Hong Kong Opt Flt Rt Index
