Ticker,Sector,Insiders--buy trades,Insiders--sell trades,Insiders--net shares purchased,Insiders--shares purchased,Insiders--shares sold
KORS,04  - Consumer Cyclical,2,3,92,233,141
MCHP,10  - Technology,10,9,-72,141,213
MU,10  - Technology,5,5,-147,435,582
MSFT,10  - Technology,6,11,-23665,73,23738
MAA,09  - Services,8,8,15,80,65
MHK,04  - Consumer Cyclical,15,10,-396,503,899
TAP,05  - Consumer Non-Cyclical,22,15,115,325,211
MDLZ,05  - Consumer Non-Cyclical,12,11,148,341,193
MON,05  - Consumer Non-Cyclical,16,12,-34,251,285
MNST,05  - Consumer Non-Cyclical,4,3,149,748,600
MCO,09  - Services,17,10,61,123,62
MS,07  - Financial,13,10,97,2140,2043
MOS,01  - Basic Materials,8,7,123,245,121
MSI,10  - Technology,12,7,-17,156,173
MUR,06  - Energy,23,15,311,464,153
MYL,08  - Health Care,15,12,-43820,320,44140
NDAQ,07  - Financial,10,9,277,816,539
NOV,06  - Energy,5,5,155,275,120
NAVI,07  - Financial,16,10,467,991,525
NTAP,10  - Technology,5,6,-32,109,141
NFLX,09  - Services,8,8,-311,642,953
NWL,05  - Consumer Non-Cyclical,7,9,-3218,499,3718
NFX,06  - Energy,10,8,306,547,241
NEM,01  - Basic Materials,18,8,439,849,409
NWSA,09  - Services,4,4,0,25,25
NEE,12  - Utilities,23,11,73,248,176
NLSN,09  - Services,20,8,-416,113,529
NKE,04  - Consumer Cyclical,7,7,-2197,1016,3213
NI,12  - Utilities,12,9,297,399,102
NBL,06  - Energy,22,19,327,1051,724
JWN,09  - Services,14,15,128,3032,2904
NSC,11  - Transportation,13,9,-3,137,140
NTRS,07  - Financial,26,15,38,2017,1979
NOC,10  - Technology,19,16,108,434,326
NRG,12  - Utilities,17,6,1497,1522,24
NUE,01  - Basic Materials,9,8,-32,105,137
NVDA,10  - Technology,8,10,-279,832,1111
ORLY,04  - Consumer Cyclical,12,18,-90,132,222
OXY,06  - Energy,2,8,-105,35,140
OMC,09  - Services,14,7,13,50,37
OKE,06  - Energy,6,6,41,79,37
ORCL,10  - Technology,10,8,7044,13549,6505
PCAR,04  - Consumer Cyclical,19,12,94,591,497
PH,01  - Basic Materials,20,21,19,498,479
PDCO,08  - Health Care,7,6,-57,18,75
PAYX,09  - Services,6,8,-7,110,117
PYPL,07  - Financial,12,9,-1939,482,2421
PNR,01  - Basic Materials,19,18,47,264,216
PBCT,07  - Financial,21,19,-113,2378,2490
PEP,05  - Consumer Non-Cyclical,15,12,76,924,848
PKI,10  - Technology,11,9,12,284,272
PRGO,08  - Health Care,3,4,249,299,51
PFE,08  - Health Care,14,15,313,2092,1779
PCG,12  - Utilities,10,11,-50,306,356
PM,05  - Consumer Non-Cyclical,18,18,-42,147,189
PSX,06  - Energy,14,6,63,453,390
PNW,12  - Utilities,12,14,-39,270,308
PXD,06  - Energy,13,14,25,150,125
PNC,07  - Financial,17,16,178,774,597
PPG,01  - Basic Materials,10,6,31,55,23
PPL,12  - Utilities,9,9,11,357,346
PX,01  - Basic Materials,15,11,12,165,153
PCLN,09  - Services,5,7,-25,20,44
PFG,07  - Financial,20,11,-6,499,505
PG,05  - Consumer Non-Cyclical,26,19,34,697,663
PGR,07  - Financial,14,17,145,289,144
PLD,09  - Services,4,4,-137,120,257
PRU,07  - Financial,15,12,25,1114,1090
PEG,12  - Utilities,7,6,-10,261,270
PSA,11  - Transportation,7,9,27,745,717
PHM,02  - Capital Goods,8,7,-157,933,1090
PVH,04  - Consumer Cyclical,10,10,35,76,41
QRVO,10  - Technology,8,8,24,183,160
QCOM,10  - Technology,15,13,128,409,281
PWR,02  - Capital Goods,8,9,132,207,74
DGX,08  - Health Care,11,11,44,373,328
RL,04  - Consumer Cyclical,10,2,24,29,4
RRC,06  - Energy,9,5,-49,52,102
RJF,07  - Financial,22,14,8,290,281
RTN,02  - Capital Goods,11,10,44,216,172
O,09  - Services,11,12,49,228,179
RHT,10  - Technology,6,9,-16,348,363
REG,09  - Services,11,11,-2707,217,2924
REGN,08  - Health Care,8,8,259,622,364
RF,07  - Financial,29,17,-24,1757,1781
RSG,09  - Services,10,5,98,289,191
RAI,05  - Consumer Non-Cyclical,12,12,23,501,478
RHI,09  - Services,5,6,116,363,247
ROK,10  - Technology,24,15,-59,550,609
COL,02  - Capital Goods,25,14,79,188,108
ROP,10  - Technology,3,6,77,266,189
ROST,09  - Services,10,10,61,555,494
RCL,11  - Transportation,20,13,-7282,122,7404
R,09  - Services,20,10,11,59,48
SPGI,09  - Services,12,10,57,165,107
CRM,10  - Technology,20,14,-579,1834,2413
SCG,12  - Utilities,3,0,3,3,0
SLB,06  - Energy,6,7,-10,327,337
SNI,09  - Services,15,33,-4921,207,5129
STX,10  - Technology,2,7,-654,60,714
SEE,01  - Basic Materials,7,8,401,796,394
SRE,12  - Utilities,13,11,-13,119,133
SHW,01  - Basic Materials,17,13,-31,163,194
SIG,09  - Services,9,8,69,77,8
SPG,09  - Services,4,5,-3,4,7
SWKS,10  - Technology,7,8,74,416,342
SLG,09  - Services,8,9,-16,323,338
SNA,04  - Consumer Cyclical,18,11,75,255,180
SO,12  - Utilities,4,5,2,169,166
LUV,11  - Transportation,9,10,153,399,247
SWK,04  - Consumer Cyclical,16,16,84,410,326
SPLS,05  - Consumer Non-Cyclical,7,7,548,861,314
SBUX,09  - Services,13,10,1,1791,1790
STT,07  - Financial,17,16,20,374,355
