"ANSS"	"10  - Technology"	4.500	3.300	2.700	1.200	0.000	0.300	0.100	0.100	0.000	0.100	0.100	0.000	0.000	0.000	89.000	108.500	132.600	151.400	165.400	168.800	42.600	44.800	41.400	44.700	47.400	45.400	45.600	54.400	16.870	19.050	20.950	23.050	24.090	24.500	24.940	24.660	24.760	25.350	25.510	25.640	25.620	25.880	52.070	57.280	67.340	87.200	82.000	92.500	85.840	88.600	92.500	90.770	95.090	92.490	110.160	124.590	03/31/2017
"ANTM"	"07  - Financial"	418.900	430.300	511.800	602.700	600.700	653.000	154.100	164.800	179.700	187.100	185.700	172.900	177.300	235.000	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	57.950	64.650	74.040	82.970	87.900	87.620	87.660	88.920	88.220	89.940	92.140	94.010	95.260	98.680	56.860	66.250	60.920	92.390	125.670	139.440	150.930	141.050	139.440	140.770	125.080	143.770	177.890	192.560	03/31/2017
"AON"	"07  - Financial"	182.000	245.000	228.000	210.000	255.000	273.000	68.000	72.000	68.000	69.000	73.000	70.000	70.000	70.000	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	28.120	24.080	23.630	26.160	22.240	21.370	22.490	20.940	21.940	19.440	20.520	20.310	20.650	21.730	46.010	46.800	55.610	83.890	94.830	92.210	96.230	93.440	92.210	105.120	111.350	111.530	119.840	136.220	03/31/2017
"APD"	"01  - Basic Materials"	121.900	115.500	123.700	141.800	278.200	113.400	28.200	22.800	49.000	69.100	35.000	32.600	20.400	27.700	114.700	118.800	126.400	133.700	139.800	137.100	33.400	32.900	16.900	18.200	34.100	33.200	15.100	14.800	26.140	27.210	30.670	33.580	34.630	33.730	35.250	33.680	34.140	32.010	32.530	32.580	32.900	42.760	84.083	78.758	77.676	103.341	133.341	120.287	132.601	128.995	120.287	134.875	143.871	143.820	140.500	145.570	03/31/2017
"APH"	"10  - Technology"	40.700	43.000	59.600	63.600	80.400	68.300	34.100	17.000	17.200	18.100	18.000	18.100	18.400	19.300	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	6.680	6.400	7.520	8.990	9.280	10.480	9.920	10.180	10.490	11.010	11.470	12.000	11.920	12.080	26.390	22.695	32.350	44.590	53.810	52.230	55.370	52.360	52.230	55.830	62.310	67.200	72.310	74.550	03/31/2017
"ARE"	"09  - Services"	6.500	126.800	69.200	68.000	79.300	105.800	26.700	27.700	28.200	24.900	25.000	25.900	31.200	29.800	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	52.700	50.690	49.260	51.980	48.630	50.440	48.390	47.440	50.220	48.520	49.820	47.200	57.880	55.340	73.260	68.970	69.320	63.620	88.740	90.360	92.380	85.990	90.360	92.950	110.090	111.130	112.510	120.040	03/31/2017
"ARNC"	"01  - Basic Materials"	494.000	524.000	397.000	453.000	442.000	473.000	124.000	123.000	473.000	121.000	129.000	133.000	499.000	115.000	174.000	184.000	197.000	192.000	123.000	169.000	68.000	55.000	169.000	31.000	39.000	38.000	132.000	28.000	39.960	38.990	36.960	29.550	31.650	28.540	30.090	29.360	28.540	27.780	28.010	26.750	11.550	12.330	34.681	19.493	19.560	23.955	35.582	22.242	29.115	22.242	21.093	21.588	23.932	18.540	27.330	24.390	03/31/2017
"ATVI"	"10  - Technology"	5.000	4.000	1.000	0.000	0.000	0.000	50.000	49.000	0.000	57.000	120.000	54.000	0.000	42.000	635.000	629.000	604.000	584.000	571.000	646.000	149.000	159.000	193.000	175.000	424.000	249.000	285.000	225.000	8.350	9.140	10.180	6.470	10.100	11.080	10.730	10.940	11.040	11.360	11.550	11.880	12.270	12.600	12.440	12.320	10.620	17.830	20.150	38.710	22.815	28.630	38.710	34.470	41.370	36.110	52.250	60.750	03/31/2017
"AVB"	"09  - Services"	170.000	369.500	323.400	239.200	250.600	255.400	64.400	63.600	62.900	64.000	130.600	67.800	68.000	67.100	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	39.480	48.870	70.190	67.760	69.280	73.680	69.790	73.540	71.980	71.980	71.970	73.260	74.240	74.900	112.550	130.600	135.590	118.230	163.390	184.130	164.340	165.060	184.130	176.790	175.010	177.150	189.840	187.710	03/31/2017
"AVGO"	"10  - Technology"	34.000	4.000	1.000	2.000	110.000	191.000	43.000	41.000	84.000	340.000	139.000	106.000	111.000	112.000	280.000	317.000	335.000	398.000	695.000	1049.000	276.000	287.000	267.000	1054.000	814.000	806.000	808.000	829.000	6.320	8.190	9.870	11.680	12.920	17.860	16.150	17.140	18.490	52.470	49.170	47.350	47.700	48.200	28.412	28.860	31.651	52.879	100.590	145.150	116.880	125.970	145.150	145.750	176.420	176.770	220.810	250.290	04/30/2017
"AVY"	"01  - Basic Materials"	80.200	156.000	156.800	60.800	63.400	60.600	15.300	14.700	31.200	15.300	15.400	14.700	15.000	18.500	-99999999.990	93.800	98.600	96.000	102.500	91.900	22.800	22.200	21.300	22.300	22.700	22.400	22.300	22.900	15.550	15.680	15.410	15.160	11.170	10.610	12.030	11.530	10.650	10.830	10.740	11.700	10.420	11.480	42.340	28.680	34.920	50.190	51.880	62.660	55.590	58.080	62.660	72.610	77.440	70.220	83.210	94.020	04/01/2017
