Date,LNU02000060
1987-08-01,77806000.00
1987-09-01,78697000.00
1987-10-01,79198000.00
1987-11-01,79294000.00
1987-12-01,79170000.00
1988-01-01,78556000.00
1988-02-01,78853000.00
1988-03-01,79365000.00
1988-04-01,79956000.00
1988-05-01,80252000.00
1988-06-01,79974000.00
1988-07-01,80072000.00
1988-08-01,80247000.00
1988-09-01,81046000.00
1988-10-01,81685000.00
1988-11-01,81830000.00
1988-12-01,81645000.00
1989-01-01,81384000.00
1989-02-01,81641000.00
1989-03-01,81932000.00
1989-04-01,82273000.00
1989-05-01,82741000.00
1989-06-01,82581000.00
1989-07-01,82432000.00
1989-08-01,82671000.00
1989-09-01,83511000.00
1989-10-01,83963000.00
1989-11-01,84152000.00
1989-12-01,83910000.00
1990-01-01,83369000.00
1990-02-01,83628000.00
1990-03-01,83859000.00
1990-04-01,84119000.00
1990-05-01,84750000.00
1990-06-01,84409000.00
1990-07-01,84055000.00
1990-08-01,84118000.00
1990-09-01,84713000.00
1990-10-01,85156000.00
1990-11-01,84787000.00
1990-12-01,84358000.00
1991-01-01,83354000.00
1991-02-01,83577000.00
1991-03-01,83730000.00
1991-04-01,84507000.00
1991-05-01,84719000.00
1991-06-01,84678000.00
1991-07-01,84473000.00
1991-08-01,84381000.00
1991-09-01,85203000.00
1991-10-01,85487000.00
1991-11-01,85308000.00
1991-12-01,85018000.00
1992-01-01,84209000.00
1992-02-01,84325000.00
1992-03-01,84741000.00
1992-04-01,85416000.00
1992-05-01,85923000.00
1992-06-01,85817000.00
1992-07-01,85629000.00
1992-08-01,85621000.00
1992-09-01,86252000.00
1992-10-01,86609000.00
1992-11-01,86467000.00
1992-12-01,86341000.00
1993-01-01,85473000.00
1993-02-01,85728000.00
1993-03-01,86241000.00
1993-04-01,86596000.00
1993-05-01,87352000.00
1993-06-01,87173000.00
1993-07-01,87153000.00
1993-08-01,87306000.00
1993-09-01,87949000.00
1993-10-01,88444000.00
1993-11-01,88659000.00
1993-12-01,88641000.00
1994-01-01,87502000.00
1994-02-01,87920000.00
1994-03-01,88299000.00
1994-04-01,88681000.00
1994-05-01,89340000.00
1994-06-01,88649000.00
1994-07-01,88807000.00
1994-08-01,89104000.00
1994-09-01,90265000.00
1994-10-01,90707000.00
1994-11-01,90891000.00
1994-12-01,90654000.00
1995-01-01,89554000.00
1995-02-01,90308000.00
1995-03-01,90590000.00
1995-04-01,90759000.00
1995-05-01,91018000.00
1995-06-01,90488000.00
1995-07-01,90599000.00
1995-08-01,90674000.00
1995-09-01,91593000.00
1995-10-01,92067000.00
1995-11-01,91927000.00
1995-12-01,91660000.00
1996-01-01,90698000.00
1996-02-01,91348000.00
1996-03-01,91747000.00
1996-04-01,92058000.00
1996-05-01,92568000.00
1996-06-01,92444000.00
1996-07-01,92569000.00
1996-08-01,92931000.00
1996-09-01,93541000.00
1996-10-01,94094000.00
1996-11-01,93983000.00
1996-12-01,93713000.00
1997-01-01,92955000.00
1997-02-01,93170000.00
1997-03-01,93774000.00
1997-04-01,94174000.00
1997-05-01,94485000.00
1997-06-01,94447000.00
1997-07-01,94476000.00
1997-08-01,94777000.00
1997-09-01,95258000.00
1997-10-01,95494000.00
1997-11-01,95398000.00
1997-12-01,95122000.00
1998-01-01,94196000.00
1998-02-01,94521000.00
1998-03-01,94826000.00
1998-04-01,95118000.00
1998-05-01,95463000.00
1998-06-01,95050000.00
1998-07-01,94833000.00
1998-08-01,95098000.00
1998-09-01,95796000.00
1998-10-01,95999000.00
1998-11-01,96155000.00
1998-12-01,96046000.00
1999-01-01,95845000.00
1999-02-01,95588000.00
1999-03-01,95718000.00
1999-04-01,95935000.00
1999-05-01,96339000.00
1999-06-01,96098000.00
1999-07-01,95570000.00
1999-08-01,95855000.00
1999-09-01,96509000.00
1999-10-01,97027000.00
1999-11-01,97261000.00
1999-12-01,96991000.00
2000-01-01,97751000.00
2000-02-01,97992000.00
2000-03-01,98173000.00
2000-04-01,98707000.00
2000-05-01,98592000.00
2000-06-01,98136000.00
2000-07-01,97652000.00
2000-08-01,97655000.00
2000-09-01,98332000.00
2000-10-01,98722000.00
2000-11-01,98920000.00
2000-12-01,98866000.00
2001-01-01,98137000.00
2001-02-01,98322000.00
2001-03-01,98633000.00
2001-04-01,98468000.00
2001-05-01,98558000.00
2001-06-01,97820000.00
2001-07-01,97486000.00
2001-08-01,97361000.00
2001-09-01,97936000.00
2001-10-01,97860000.00
2001-11-01,97426000.00
2001-12-01,97367000.00
2002-01-01,96313000.00
2002-02-01,96863000.00
2002-03-01,96939000.00
2002-04-01,97047000.00
2002-05-01,97149000.00
2002-06-01,96551000.00
2002-07-01,96146000.00
2002-08-01,96647000.00
2002-09-01,97360000.00
2002-10-01,97363000.00
2002-11-01,96727000.00
2002-12-01,96767000.00
2003-01-01,96361000.00
2003-02-01,96644000.00
2003-03-01,97030000.00
2003-04-01,97483000.00
2003-05-01,97398000.00
2003-06-01,97119000.00
2003-07-01,96729000.00
2003-08-01,96882000.00
2003-09-01,97432000.00
2003-10-01,97703000.00
2003-11-01,97740000.00
2003-12-01,97613000.00
2004-01-01,96455000.00
2004-02-01,96644000.00
2004-03-01,96855000.00
2004-04-01,97387000.00
2004-05-01,97675000.00
2004-06-01,97448000.00
2004-07-01,97381000.00
2004-08-01,97400000.00
2004-09-01,98041000.00
2004-10-01,98260000.00
2004-11-01,98279000.00
2004-12-01,97836000.00
2005-01-01,97330000.00
2005-02-01,97598000.00
2005-03-01,97789000.00
2005-04-01,98469000.00
2005-05-01,98805000.00
2005-06-01,98194000.00
2005-07-01,98261000.00
2005-08-01,98805000.00
2005-09-01,99229000.00
2005-10-01,99400000.00
2005-11-01,99214000.00
2005-12-01,99104000.00
2006-01-01,98514000.00
2006-02-01,98701000.00
2006-03-01,99109000.00
2006-04-01,99333000.00
2006-05-01,99640000.00
2006-06-01,99430000.00
2006-07-01,99267000.00
2006-08-01,99586000.00
2006-09-01,100294000.00
2006-10-01,100933000.00
2006-11-01,100735000.00
2006-12-01,100528000.00
2007-01-01,100034000.00
2007-02-01,99849000.00
2007-03-01,100300000.00
2007-04-01,100476000.00
2007-05-01,100725000.00
2007-06-01,100280000.00
2007-07-01,99912000.00
2007-08-01,100319000.00
2007-09-01,100813000.00
2007-10-01,100956000.00
2007-11-01,101083000.00
2007-12-01,100653000.00
2008-01-01,99592000.00
2008-02-01,99503000.00
2008-03-01,99686000.00
2008-04-01,100035000.00
2008-05-01,99993000.00
2008-06-01,99597000.00
2008-07-01,99215000.00
2008-08-01,99109000.00
2008-09-01,99534000.00
2008-10-01,99467000.00
2008-11-01,98921000.00
2008-12-01,97781000.00
2009-01-01,95921000.00
2009-02-01,95530000.00
2009-03-01,95268000.00
2009-04-01,95761000.00
2009-05-01,95461000.00
2009-06-01,95156000.00
2009-07-01,94873000.00
2009-08-01,94896000.00
2009-09-01,94802000.00
2009-10-01,95001000.00
2009-11-01,95033000.00
2009-12-01,94030000.00
2010-01-01,93348000.00
2010-02-01,93348000.00
2010-03-01,93620000.00
2010-04-01,94543000.00
2010-05-01,94353000.00
2010-06-01,94137000.00
2010-07-01,93780000.00
2010-08-01,94027000.00
2010-09-01,94535000.00
2010-10-01,94791000.00
2010-11-01,94347000.00
2010-12-01,94156000.00
2011-01-01,92980000.00
2011-02-01,93017000.00
2011-03-01,93442000.00
2011-04-01,93762000.00
2011-05-01,94088000.00
2011-06-01,93441000.00
2011-07-01,93333000.00
2011-08-01,93608000.00
2011-09-01,93920000.00
2011-10-01,94108000.00
2011-11-01,94322000.00
2011-12-01,94069000.00
2012-01-01,93271000.00
2012-02-01,93346000.00
2012-03-01,93816000.00
2012-04-01,94307000.00
2012-05-01,94520000.00
2012-06-01,94005000.00
