Date,B069RC1
1994-12-01,128400000000.00
1995-01-01,129100000000.00
1995-02-01,131200000000.00
1995-03-01,134200000000.00
1995-04-01,138800000000.00
1995-05-01,141700000000.00
1995-06-01,143500000000.00
1995-07-01,144500000000.00
1995-08-01,145700000000.00
1995-09-01,147400000000.00
1995-10-01,149900000000.00
1995-11-01,151700000000.00
1995-12-01,153100000000.00
1996-01-01,153000000000.00
1996-02-01,153800000000.00
1996-03-01,154500000000.00
1996-04-01,155600000000.00
1996-05-01,156600000000.00
1996-06-01,158000000000.00
1996-07-01,159800000000.00
1996-08-01,161400000000.00
1996-09-01,162800000000.00
1996-10-01,164000000000.00
1996-11-01,164700000000.00
1996-12-01,165000000000.00
1997-01-01,164100000000.00
1997-02-01,164700000000.00
1997-03-01,165900000000.00
1997-04-01,168700000000.00
1997-05-01,170500000000.00
1997-06-01,172000000000.00
1997-07-01,173400000000.00
1997-08-01,174800000000.00
1997-09-01,176400000000.00
1997-10-01,177900000000.00
1997-11-01,178500000000.00
1997-12-01,178100000000.00
1998-01-01,175900000000.00
1998-02-01,176100000000.00
1998-03-01,177900000000.00
1998-04-01,182400000000.00
1998-05-01,184800000000.00
1998-06-01,186100000000.00
1998-07-01,186300000000.00
1998-08-01,186300000000.00
1998-09-01,186500000000.00
1998-10-01,186500000000.00
1998-11-01,186300000000.00
1998-12-01,185600000000.00
1999-01-01,182900000000.00
1999-02-01,182700000000.00
1999-03-01,183500000000.00
1999-04-01,186700000000.00
1999-05-01,188400000000.00
1999-06-01,189900000000.00
1999-07-01,190500000000.00
1999-08-01,192000000000.00
1999-09-01,193500000000.00
1999-10-01,195400000000.00
1999-11-01,197100000000.00
1999-12-01,199200000000.00
2000-01-01,201500000000.00
2000-02-01,203800000000.00
2000-03-01,205900000000.00
2000-04-01,207600000000.00
2000-05-01,210600000000.00
2000-06-01,214600000000.00
2000-07-01,221200000000.00
2000-08-01,225400000000.00
2000-09-01,228500000000.00
2000-10-01,230400000000.00
2000-11-01,231000000000.00
2000-12-01,230100000000.00
2001-01-01,227800000000.00
2001-02-01,226700000000.00
2001-03-01,226000000000.00
2001-04-01,226300000000.00
2001-05-01,225700000000.00
2001-06-01,225100000000.00
2001-07-01,225200000000.00
2001-08-01,224000000000.00
2001-09-01,222100000000.00
2001-10-01,218600000000.00
2001-11-01,216400000000.00
2001-12-01,214500000000.00
2002-01-01,211300000000.00
2002-02-01,210700000000.00
2002-03-01,211200000000.00
2002-04-01,215100000000.00
2002-05-01,216000000000.00
2002-06-01,216400000000.00
2002-07-01,216100000000.00
2002-08-01,215400000000.00
2002-09-01,214200000000.00
2002-10-01,213500000000.00
2002-11-01,210500000000.00
2002-12-01,205800000000.00
2003-01-01,201900000000.00
2003-02-01,202000000000.00
2003-03-01,204000000000.00
2003-04-01,208300000000.00
2003-05-01,211500000000.00
2003-06-01,213400000000.00
2003-07-01,212600000000.00
2003-08-01,213500000000.00
2003-09-01,213800000000.00
2003-10-01,212200000000.00
2003-11-01,212100000000.00
2003-12-01,212900000000.00
2004-01-01,212700000000.00
2004-02-01,211300000000.00
2004-03-01,209400000000.00
2004-04-01,213100000000.00
2004-05-01,216600000000.00
2004-06-01,219800000000.00
2004-07-01,222500000000.00
2004-08-01,225400000000.00
2004-09-01,228200000000.00
2004-10-01,231100000000.00
2004-11-01,234000000000.00
2004-12-01,236900000000.00
2005-01-01,238400000000.00
2005-02-01,239700000000.00
2005-03-01,240900000000.00
2005-04-01,245900000000.00
2005-05-01,250300000000.00
2005-06-01,253900000000.00
2005-07-01,253400000000.00
2005-08-01,253000000000.00
2005-09-01,252800000000.00
2005-10-01,251600000000.00
2005-11-01,251900000000.00
2005-12-01,253600000000.00
2006-01-01,259200000000.00
2006-02-01,263600000000.00
2006-03-01,266900000000.00
2006-04-01,267900000000.00
2006-05-01,268100000000.00
2006-06-01,267500000000.00
2006-07-01,271100000000.00
2006-08-01,276500000000.00
2006-09-01,283800000000.00
2006-10-01,288000000000.00
2006-11-01,292300000000.00
2006-12-01,296600000000.00
2007-01-01,293300000000.00
2007-02-01,288600000000.00
2007-03-01,282500000000.00
2007-04-01,293800000000.00
2007-05-01,304800000000.00
2007-06-01,315400000000.00
2007-07-01,316500000000.00
2007-08-01,318000000000.00
2007-09-01,319900000000.00
