Date,HOUSTNSA
2000-02-01,119700.00
2000-03-01,133400.00
2000-04-01,149500.00
2000-05-01,152900.00
2000-06-01,146300.00
2000-07-01,135000.00
2000-08-01,141400.00
2000-09-01,128900.00
2000-10-01,139700.00
2000-11-01,117100.00
2000-12-01,100700.00
2001-01-01,106400.00
2001-02-01,108200.00
2001-03-01,133200.00
2001-04-01,151300.00
2001-05-01,154000.00
2001-06-01,155200.00
2001-07-01,154600.00
2001-08-01,141500.00
2001-09-01,133100.00
2001-10-01,139800.00
2001-11-01,121000.00
2001-12-01,104600.00
2002-01-01,110400.00
2002-02-01,120400.00
2002-03-01,138200.00
2002-04-01,148800.00
2002-05-01,165500.00
2002-06-01,160300.00
2002-07-01,155900.00
2002-08-01,147000.00
2002-09-01,155600.00
2002-10-01,146800.00
2002-11-01,133000.00
2002-12-01,123100.00
2003-01-01,117800.00
2003-02-01,109700.00
2003-03-01,147200.00
2003-04-01,151200.00
2003-05-01,165000.00
2003-06-01,174500.00
2003-07-01,175800.00
2003-08-01,163800.00
2003-09-01,171300.00
2003-10-01,173500.00
2003-11-01,153700.00
2003-12-01,144200.00
2004-01-01,124500.00
2004-02-01,126400.00
2004-03-01,173800.00
2004-04-01,179500.00
2004-05-01,187600.00
2004-06-01,172300.00
2004-07-01,182000.00
2004-08-01,185900.00
2004-09-01,164000.00
2004-10-01,181300.00
2004-11-01,138100.00
2004-12-01,140200.00
2005-01-01,142900.00
2005-02-01,149100.00
2005-03-01,156200.00
2005-04-01,184600.00
2005-05-01,197900.00
2005-06-01,192800.00
2005-07-01,187600.00
2005-08-01,192000.00
2005-09-01,187900.00
2005-10-01,180400.00
2005-11-01,160700.00
2005-12-01,136000.00
2006-01-01,153000.00
2006-02-01,145100.00
2006-03-01,165900.00
2006-04-01,160500.00
2006-05-01,190200.00
2006-06-01,170200.00
2006-07-01,160900.00
2006-08-01,146800.00
2006-09-01,150100.00
2006-10-01,130600.00
2006-11-01,115200.00
2006-12-01,112400.00
2007-01-01,95000.00
