Date,TOTALNSA
1996-08-01,1333400.00
1996-09-01,1231400.00
1996-10-01,1296600.00
1996-11-01,1146400.00
1996-12-01,1151800.00
1997-01-01,1114600.00
1997-02-01,1177400.00
1997-03-01,1425900.00
1997-04-01,1310300.00
1997-05-01,1435800.00
1997-06-01,1355000.00
1997-07-01,1376600.00
1997-08-01,1348200.00
1997-09-01,1238500.00
1997-10-01,1282000.00
1997-11-01,1146100.00
1997-12-01,1287700.00
1998-01-01,1044100.00
1998-02-01,1173000.00
1998-03-01,1405500.00
1998-04-01,1390900.00
1998-05-01,1543900.00
1998-06-01,1606600.00
1998-07-01,1264900.00
1998-08-01,1265100.00
1998-09-01,1314400.00
1998-10-01,1407500.00
1998-11-01,1176400.00
1998-12-01,1375000.00
1999-01-01,1123700.00
1999-02-01,1325700.00
1999-03-01,1580200.00
1999-04-01,1451700.00
1999-05-01,1632600.00
1999-06-01,1651400.00
1999-07-01,1529000.00
1999-08-01,1523600.00
1999-09-01,1442500.00
1999-10-01,1396800.00
1999-11-01,1317200.00
1999-12-01,1440600.00
2000-01-01,1239300.00
2000-02-01,1539300.00
2000-03-01,1713000.00
2000-04-01,1538900.00
2000-05-01,1664900.00
2000-06-01,1662700.00
2000-07-01,1468600.00
2000-08-01,1578800.00
2000-09-01,1506300.00
2000-10-01,1367700.00
2000-11-01,1260900.00
2000-12-01,1271200.00
2001-01-01,1196300.00
2001-02-01,1381500.00
2001-03-01,1627800.00
2001-04-01,1377000.00
2001-05-01,1635200.00
2001-06-01,1652200.00
2001-07-01,1374600.00
2001-08-01,1478200.00
2001-09-01,1312500.00
2001-10-01,1753200.00
2001-11-01,1347900.00
2001-12-01,1336100.00
2002-01-01,1130000.00
2002-02-01,1328800.00
2002-03-01,1541200.00
2002-04-01,1471800.00
2002-05-01,1538500.00
2002-06-01,1563900.00
2002-07-01,1552000.00
2002-08-01,1734900.00
2002-09-01,1251000.00
2002-10-01,1331200.00
2002-11-01,1227600.00
2002-12-01,1467700.00
2003-01-01,1108300.00
2003-02-01,1237600.00
2003-03-01,1474800.00
2003-04-01,1436700.00
2003-05-01,1601100.00
2003-06-01,1502300.00
2003-07-01,1538800.00
2003-08-01,1656200.00
2003-09-01,1329500.00
2003-10-01,1333500.00
2003-11-01,1285400.00
2003-12-01,1463300.00
2004-01-01,1149600.00
2004-02-01,1303700.00
2004-03-01,1540300.00
2004-04-01,1455700.00
2004-05-01,1660800.00
2004-06-01,1480700.00
2004-07-01,1589200.00
2004-08-01,1463300.00
2004-09-01,1470100.00
2004-10-01,1370100.00
2004-11-01,1231200.00
2004-12-01,1583600.00
2005-01-01,1095800.00
2005-02-01,1286100.00
2005-03-01,1616000.00
2005-04-01,1542000.00
2005-05-01,1537300.00
2005-06-01,1720100.00
2005-07-01,1845700.00
2005-08-01,1524200.00
2005-09-01,1367000.00
2005-10-01,1184200.00
2005-11-01,1200700.00
2005-12-01,1525700.00
2006-01-01,1176100.00
2006-02-01,1298000.00
2006-03-01,1576700.00
2006-04-01,1489800.00
2006-05-01,1533700.00
2006-06-01,1545200.00
2006-07-01,1531100.00
2006-08-01,1530000.00
2006-09-01,1394100.00
2006-10-01,1260600.00
2006-11-01,1236600.00
2006-12-01,1476400.00
2007-01-01,1124200.00
2007-02-01,1285100.00
2007-03-01,1574900.00
2007-04-01,1366000.00
2007-05-01,1590200.00
2007-06-01,1481300.00
2007-07-01,1331100.00
2007-08-01,1500400.00
2007-09-01,1335800.00
2007-10-01,1256500.00
2007-11-01,1200400.00
2007-12-01,1414100.00
2008-01-01,1063400.00
2008-02-01,1196500.00
2008-03-01,1378600.00
2008-04-01,1273000.00
2008-05-01,1420500.00
2008-06-01,1212600.00
2008-07-01,1156000.00
2008-08-01,1269100.00
2008-09-01,984600.00
2008-10-01,859000.00
2008-11-01,763900.00
2008-12-01,916200.00
2009-01-01,670400.00
2009-02-01,701700.00
2009-03-01,872800.00
2009-04-01,832700.00
2009-05-01,938400.00
2009-06-01,874900.00
2009-07-01,1011800.00
2009-08-01,1274600.00
2009-09-01,759600.00
2009-10-01,854000.00
2009-11-01,761800.00
2009-12-01,1049300.00
2010-01-01,712500.00
2010-02-01,793300.00
2010-03-01,1083900.00
2010-04-01,997300.00
2010-05-01,1117600.00
2010-06-01,1000500.00
2010-07-01,1065700.00
