A7.C      	MSCI EMI Continuation                             	LIFFE     
QEU17     	2-Year Gilt {Sep 17}                              	LIFFE     
QEZ17     	2-Year Gilt {Dec 17}                              	LIFFE     
RM.C      	Robusta Coffee 10-T Continuation                  	LIFFE     
RMF18     	Robusta Coffee 10-T {Jan 18}                      	LIFFE     
RMF19     	Robusta Coffee 10-T {Jan 19}                      	LIFFE     
RMH18     	Robusta Coffee 10-T {Mar 18}                      	LIFFE     
RMH19     	Robusta Coffee 10-T {Mar 19}                      	LIFFE     
RMK18     	Robusta Coffee 10-T {May 18}                      	LIFFE     
RMK19     	Robusta Coffee 10-T {May 19}                      	LIFFE     
RMN18     	Robusta Coffee 10-T {Jul 18}                      	LIFFE     
RMU17     	Robusta Coffee 10-T {Sep 17}                      	LIFFE     
RMU18     	Robusta Coffee 10-T {Sep 18}                      	LIFFE     
RMX17     	Robusta Coffee 10-T {Nov 17}                      	LIFFE     
RMX18     	Robusta Coffee 10-T {Nov 18}                      	LIFFE     
SW.C      	No. 5 White Sugar Continuation                    	LIFFE     
SWH18     	No. 5 White Sugar {Mar 18}                        	LIFFE     
SWH19     	No. 5 White Sugar {Mar 19}                        	LIFFE     
SWK18     	No. 5 White Sugar {May 18}                        	LIFFE     
SWK19     	No. 5 White Sugar {May 19}                        	LIFFE     
SWQ18     	No. 5 White Sugar {Aug 18}                        	LIFFE     
SWV17     	No. 5 White Sugar {Oct 17}                        	LIFFE     
SWV18     	No. 5 White Sugar {Oct 18}                        	LIFFE     
SWZ17     	No. 5 White Sugar {Dec 17}                        	LIFFE     
SWZ18     	No. 5 White Sugar {Dec 18}                        	LIFFE     
VF.C      	5-Yr Euro Swapnote Continuation                   	LIFFE     
VFH18     	5-Yr Euro Swapnote {Mar 18}                       	LIFFE     
VFU17     	5-Yr Euro Swapnote {Sep 17}                       	LIFFE     
VFZ17     	5-Yr Euro Swapnote {Dec 17}                       	LIFFE     
VT.C      	10-Yr Euro Swapnote Continuation                  	LIFFE     
VTH18     	10-Yr Euro Swapnote {Mar 18}                      	LIFFE     
VTU17     	10-Yr Euro Swapnote {Sep 17}                      	LIFFE     
VTZ17     	10-Yr Euro Swapnote {Dec 17}                      	LIFFE     
