COL       	Copper North Mining Corp                          	TSXV      
COLS.P    	Colson Capital Corp                               	TSXV      
CONE      	Canada One Mining Corp                            	TSXV      
COO       	Naturebank Asset Management Inc                   	TSXV      
COR       	Camino Minerals Corp                              	TSXV      
CORE      	Canadian Orebodies Inc                            	TSXV      
COT       	Critical Outcome Technologies Inc                 	TSXV      
COV       	Covalon Technologies Ltd                          	TSXV      
CPA.H     	Chinapintza Mining Corp                           	TSXV      
CPC       	Canadian Platinum Corp                            	TSXV      
CPL       	Copper Lake Resources Ltd                         	TSXV      
CPM       	Crystal Peak Minerals Inc                         	TSXV      
CPO       	Cobalt Power Group Inc                            	TSXV      
CPS       	Claim Post Resources Inc                          	TSXV      
CPV       	Copper Creek Gold Corp                            	TSXV      
CQR       	Conquest Resources Ltd                            	TSXV      
CQV.H     	Canadian Imperial Venture Corp                    	TSXV      
CRB       	Cariboo Rose Resources Ltd                        	TSXV      
CRD.H     	Coronado Resources Ltd                            	TSXV      
CRE       	Critical Elements Corp                            	TSXV      
CRF       	Coronet Metals Inc                                	TSXV      
CRO       	Canadian Arrow Mines Ltd                          	TSXV      
CRV       	Cresval Capital Corp                              	TSXV      
CSK       	Cobaltech Mining Inc                              	TSXV      
CSL       	Comstock Metals Ltd                               	TSXV      
CSO       	Corsa Coal Corp                                   	TSXV      
CSPG      	Alabama Graphite Corp                             	TSXV      
CSQ       	Canamex Resources Corp                            	TSXV      
CSR       	Castle Silver Resources Inc                       	TSXV      
CST       	Co2 Solutions Inc                                 	TSXV      
CSV.H     	Caracara Silver Inc                               	TSXV      
CSX       	Clean Seed Capital Group Ltd                      	TSXV      
CT        	Centenara Mining Corp                             	TSXV      
CTI       	Caiterra International E                          	TSXV      
CTM       	Canterra Minerals Corp                            	TSXV      
CTN       	Centurion Minerals Ltd                            	TSXV      
CTO       	Circa Enterprises Inc                             	TSXV      
CTU       	Le Chateau Inc Cl B                               	TSXV      
CTZ       	Namsys Inc                                        	TSXV      
CUC       	Carube Copper Corp                                	TSXV      
CUI       	Currie Rose Resources Inc                         	TSXV      
CUO       	Copper One Inc                                    	TSXV      
CUU       	Copper Fox Metals Inc                             	TSXV      
CUV       	Cuba Ventures Corp                                	TSXV      
CUZ       	Cruz Cobalt Corp                                  	TSXV      
CV.H      	Chantrell Ventures Corp                           	TSXV      
CVA       	Cava Resources Inc                                	TSXV      
CVM       	Cvr Medical Corp                                  	TSXV      
CVN.H     	Cavan Ventures Inc                                	TSXV      
CVR       	CDN Oil Recovery Remediation Ent Ltd              	TSXV      
CVS.P     	Canvass Ventures Ltd                              	TSXV      
CVV       	Canalaska Uranium Ltd                             	TSXV      
CVX       	Cematrix Corp                                     	TSXV      
CWC       	Cwc Energy Services Corp                          	TSXV      
CWM       	Crown Mining Corp                                 	TSXV      
CWQ.H     	Curlew Lake Resources Inc                         	TSXV      
CWV       	Crown Point Energy Inc                            	TSXV      
CWV.RT    	Crown Point Energy Inc RTS                        	TSXV      
CXB       	Calibre Mining Corp                               	TSXV      
CXE.H     	Camex Energy Corp                                 	TSXV      
CXM       	Carmax Mining Corp                                	TSXV      
CXO       	Colorado Resources Ltd                            	TSXV      
CXV       	Blvd Centers Corp                                 	TSXV      
CYL       	Ceylon Graphite Corp                              	TSXV      
CYM       	Cymat Technologies Ltd                            	TSXV      
CYP       	Cypress Development Corp                          	TSXV      
CYX       	Calyx Bio-Venture Inc                             	TSXV      
CZO       	Ceapro Inc                                        	TSXV      
CZQ.H     	Continental Precious Minerals Inc                 	TSXV      
CZX       	Canada Zinc Metals Corp                           	TSXV      
CZY       	Caza Gold Corp                                    	TSXV      
DAI.H     	Datinvest International Ltd                       	TSXV      
DAL       	Dalmac Energy Inc                                 	TSXV      
DAN       	Arianne Phosphate Inc                             	TSXV      
DAP.U     	Xpel Technologies Corp                            	TSXV      
DAR       	Darelle Online Solutions Inc                      	TSXV      
DAU       	Desert Gold Ventures Inc                          	TSXV      
DBD.H     	Darien Business Development Corp                  	TSXV      
DBV       	Doubleview Capital Corp                           	TSXV      
DCY       	Discovery-Corp. Enterprises Inc                   	TSXV      
DE        	Decisive Dividend Corp                            	TSXV      
DEC       	Decade Resources Ltd                              	TSXV      
DEF       	Defiance Silver Corp                              	TSXV      
DEV.H     	Ct Developers Ltd                                 	TSXV      
DFI       	Diamond Fields International Ltd                  	TSXV      
DFS       	Global Daily Fantasy Sports Inc                   	TSXV      
DGO       	Durango Resources Inc                             	TSXV      
DHR       	Discovery Harbour Resources Corp                  	TSXV      
DIA       	Margaret Lake Diamonds Inc                        	TSXV      
DJI       	Dajin Resources Corp                              	TSXV      
DLS       	Dealnet Capital Corp                              	TSXV      
DM        	Datametrex Ai Ltd                                 	TSXV      
DMA       	Diamedica Therapeutics Inc                        	TSXV      
DMC.H     	Dataminers Capital Corp                           	TSXV      
DMG.H     	Dmd Digital Health Connections Group Inc          	TSXV      
DMI       	Diamcor Mining Inc                                	TSXV      
DMM       	Dynasty Metals and Mining Inc                     	TSXV      
DMR       	Damara Gold Corp                                  	TSXV      
DNX       	Dynex Power Inc                                   	TSXV      
DOS       	Dios Exploration Inc                              	TSXV      
DOX       	Dorex Minerals Inc.                               	TSXV      
DPH       	Duncan Park Holdings Corp                         	TSXV      
DRV       	Duran Ventures Inc                                	TSXV      
DSF       	Dusolo Fertilizers Inc                            	TSXV      
DSM       	Deep South Resources Inc                          	TSXV      
DSV       	Discovery Metals Corp                             	TSXV      
DSY       	Destiny Media Technologies Inc                    	TSXV      
DUG       	Distinct Infrastructure Group Inc                 	TSXV      
DUKE.P    	Duckworth Capital Corp                            	TSXV      
DV        	Dolly Varden Silver Corp                          	TSXV      
DVA       	Delivra Corp                                      	TSXV      
DVC.H     	Devin Energy Corp                                 	TSXV      
DVG       	Divergent Energy Services Corp                    	TSXV      
DVI       	Dunnedin Ventures Inc                             	TSXV      
DVT       	Divestco Inc                                      	TSXV      
DWS       	Diamond Estates Wines and Spirits Inc             	TSXV      
DXA       	Doxa Energy Ltd                                   	TSXV      
DXD       	3D Signatures Inc                                 	TSXV      
DYA       	Dynacert Inc                                      	TSXV      
DYG       	Dynasty Gold Corp                                 	TSXV      
EAM       	East Africa Metals Inc                            	TSXV      
EAS       	East Asia Minerals Corp                           	TSXV      
EBM       	Eastwood Bio Medical Canada Inc                   	TSXV      
EBN       	Epicore Bionetworks Inc                           	TSXV      
EBY       	Emerald Bay Energy Inc                            	TSXV      
ECC       	Ethos Gold Corp                                   	TSXV      
ECR       	Cartier Resources Inc                             	TSXV      
ECT       	Ellipsiz Communications Ltd                       	TSXV      
ECX.H     	Eastcoal Inc                                      	TSXV      
EDG       	Endurance Gold Corp                               	TSXV      
EDW.H     	Edgewater Exploration Ltd                         	TSXV      
EEL       	Esrey Energy Ltd                                  	TSXV      
EGA       	Eagle Graphite Incorporated                       	TSXV      
EGD       	Energold Drilling Corp                            	TSXV      
EGM       	Engold Mines Ltd                                  	TSXV      
EGT       	Eguana Technologies Inc                           	TSXV      
EHT       	Enerdynamic Hybrid Tech Corp                      	TSXV      
EIL       	Empire Industries Ltd                             	TSXV      
EKG       	Cardiocomm Solutions Inc                          	TSXV      
EL        	Engagement Labs Inc                               	TSXV      
ELC       	Elysee Development Corp                           	TSXV      
ELM       	Element Lifestyle Retirement Inc                  	TSXV      
ELN       	El Nino Ventures Inc                              	TSXV      
ELO       	Eloro Resources Ltd                               	TSXV      
ELT       	Electra Stone Ltd                                 	TSXV      
ELY       	Ely Gold & Minerals Inc                           	TSXV      
EMC       	Emblem Corp                                       	TSXV      
EMC.WT    	Emblem Corp Wts                                   	TSXV      
