EPCP      	                                                  	PAR       
ERA       	ERAMET                                            	PAR       
ERF       	EUROFINS SCIENT.                                  	PAR       
ERSC      	                                                  	PAR       
ERYP      	                                                  	PAR       
ES        	ESSO                                              	PAR       
ESI       	ESI GROUP                                         	PAR       
ESP       	                                                  	PAR       
ETL       	EUTELSAT COMMUNIC.                                	PAR       
EUR       	EURO RESSOURCES                                   	PAR       
EURS      	FONCIERE EURIS                                    	PAR       
EXAC      	EXACOMPTA CLAIREF.                                	PAR       
EXE       	EXEL INDUSTRIES                                   	PAR       
EXPL      	EXPLOSIFS PROD.CHI                                	PAR       
FALG      	                                                  	PAR       
FATL      	FONCIERE ATLAND                                   	PAR       
FBEL      	FROMAGERIES BEL                                   	PAR       
FDL       	FDL                                               	PAR       
FDPA      	                                                  	PAR       
FDR       	FONC.DES REGIONS                                  	PAR       
FED       	GIORGIO FEDON                                     	PAR       
FEM       	AUFEMININ.COM                                     	PAR       
FFP       	FFP                                               	PAR       
FGR       	EIFFAGE                                           	PAR       
FII       	LISI                                              	PAR       
FIM       	FIMALAC                                           	PAR       
FIPP      	                                                  	PAR       
FLE       	FLEURY MICHON                                     	PAR       
FLO       	GROUPE FLO                                        	PAR       
FLY       	FONCIERE LYONNAISE                                	PAR       
FMU       	FONCIERE DES MURS                                 	PAR       
FNAC      	                                                  	PAR       
FNTS      	FINATIS                                           	PAR       
FORDP     	FORD MOTOR                                        	PAR       
FP        	TOTAL                                             	PAR       
FPG       	UNION TECH.INFOR.                                 	PAR       
FPN       	                                                  	PAR       
FR        	VALEO                                             	PAR       
FREY      	FREY                                              	PAR       
GAM       	GAUMONT                                           	PAR       
GBB       	BOURBON                                           	PAR       
GBT       	GUERBET                                           	PAR       
GDS       	GENERALE DE SANTE                                 	PAR       
GEA       	GEA GRENOBL.ELECT.                                	PAR       
GECP      	GECI INTL                                         	PAR       
GENX      	GENERIX                                           	PAR       
GET       	GROUPE EUROTUNNEL                                 	PAR       
GFC       	GECINA NOM.                                       	PAR       
GFI       	GFI INFORMATIQUE                                  	PAR       
GFT       	GAMELOFT                                          	PAR       
GID       	EGIDE                                             	PAR       
GIRO      	                                                  	PAR       
GJAJ      	                                                  	PAR       
GLE       	SOCIETE GENERALE                                  	PAR       
GLO       	GL EVENTS                                         	PAR       
GNE       	GENERAL ELECTRIC                                  	PAR       
GNFT      	                                                  	PAR       
GOE       	GROUPE GORGE                                      	PAR       
GPE       	GPE GROUP PIZZORNO                                	PAR       
GTCL      	                                                  	PAR       
GTO       	GEMALTO                                           	PAR       
GTT       	                                                  	PAR       
GUI       	GUILLEMOT                                         	PAR       
GUYD      	GUY DEGRENNE                                      	PAR       
GV        	                                                  	PAR       
HAV       	HAVAS                                             	PAR       
HBW       	HUBWOO                                            	PAR       
HCO       	HIGH CO                                           	PAR       
HF        	HF                                                	PAR       
HIM       	HI-MEDIA                                          	PAR       
HO        	THALES                                            	PAR       
