3UIS	Nx09100w 190601
AUMW	Tencent Mb Epw151005
AUPW	Hscei 14800 Ub Ecw151230
AUQW	Hsi 28800 Ub Ecw151029
AUTW	China Life Ins Mb Ecw151103
AUUW	China Life Ins Mb Epw151103
AUVW	China Cons Mb Ecw160104
AUWW	China Cons Mb Epw160104
AVEW	Dbs Mb Ecw151001
AVHW	Ocbc Bk Mb Epw151103
AVIW	Ocbc Bk Mb Ecw151103
AVM	Boustead Projects Limited
AVPW	Uob Mb Ecw151002
AVQW	Uob Mb Ecw151001
AVRW	Uob Mb Epw151002
AVSW	Dbs Mb Epw151002
AVUW	Nol Mb Ecw160803
AVV	Cei Contract Manufacturing Ltd
AVX	Hl Global Enterprises Limited
AVZ	Aztech Group Ltd.
AW9U	First Real Estate Inv Trust
AWBW	Noble Group Mb Ecw160602
AWC	Lindeteves-jacoberg Ltd
AWE	Sp Corporation Limited
AWG	Aei Corporation Ltd
AWI	Thakral Corporation Ltd
AWK	Fuxing China Group Limited
AWM	Shanghai Turbo Enterprises Ltd
AWO	Mirach Energy Limited
AWQ	A-sonic Aerospace Limited
AWS	Global Yellow Pages Limited
AWUW	Global Yellow Pages W190625
AWV	Captii Limited
AWX	Aem Holdings Ltd
AWZ	Multi-chem Limited
AXB	Yongnam Holdings Limited
AXFW	Hsi 30000 Ub Ecw151029
AXGW	Hsi 32000 Ub Ecw151230
AXH	Adv Integrated Mfg Corp Ltd
AXJ	Gmg Global Ltd
AXL	China Fibretech Ltd.
AXV	Changtian Plastic & Chem Ltd
AXXZ	Fcl Trea S$500m3.65%b220522
AXZ	Li Heng Chem Fibre Tech Ltd
AYB	Lafe Corporation Limited
AYD	Plastoform Holdings Limited
AYF	Uni-asia Holdings Limited
AYL	Star Pharmaceutical Limited
AYN	Global Testing Corporation Ltd
AYV	Acma Ltd.
AYXW	Acma Ltd W160707
AZA	Ipc Corporation Limited
AZG	8telecom Intl Holdings Co Ltd
AZI	Ausnet Services Ltd
AZKW	Kepcorp Mb Ecw151102
AZLW	Sti 3400 Mb Ecw151030
AZMW	Sti 3200 Mb Epw151030
AZNW	Ocbc Bk Mb Ecw151201
AZOW	Ocbc Bk Mb Ecw151102
AZPW	Ocbc Bk Mb Epw151201
AZQW	Noble Group Mb Ecw160701
AZR	United Food Holdings Limited
AZT	Lottvision Limited
AZVW	Ezion Mb Ecw160701
AZW	China Taisan Tech Grp Hldgsltd
AZY	Pan Ocean Co., Ltd.
AZZ	China Gaoxian Fibrefab Hldgltd
B07	Next-gen Satellite Comm Ltd
B08	British & Malayan Trustees Ltd
B0I	Foreland Fabrictech Hlds Ltd
B0Z	China Fishery Group Limited
B10	Boardroom Limited
B16	Guocoleisure Limited
B1N	Delong Holdings Limited
B1ZU	Rickmers Maritime
B20	Biosensors Int'l Group Ltd.
B26	Ban Leong Technologies Limited
B28	Bonvests Holdings Ltd
B2F	M1 Limited
B32	Bh Global Marine Limited
B49	World Precision Machinery Ltd
B58	Banyan Tree Holdings Limited
B61	Bukit Sembawang Estates Ltd
B66	Pt Berlian Laju Tanker Tbk
B69	Broadway Industrial Group Ltd
B73	Global Investments Limited
B7K	Sin Ghee Huat Corporation Ltd.
B9S	Cosmosteel Holdings Limited
BABW	China Gaoxian Fibrefab W180918
BAC	Jacks International Limited
BAFW	Hscei 15000 Bp Ecw151230
BAI	S I2i Limited
BAXW	Ftsechinaa50 15000 Mbecw151127
BAZ	Lion Asiapac Ltd
BBJW	Kepcorp Mb Ecw160104a
BBKW	Kepcorp Mb Epw160105
BBMW	Uob Mb Ecw151201
