EURBND    	Euro Dollar / Brunei Dollar                       	FOREX     
EURBOB    	Euro Dollar / Boliviano                           	FOREX     
EURBRL    	Euro Dollar / Brazilian Real                      	FOREX     
EURBSD    	Euro Dollar / Bahamian Dollar                     	FOREX     
EURBWP    	Euro Dollar / Pula                                	FOREX     
EURBZD    	Euro Dollar / Belize Dollar                       	FOREX     
EURCAD    	Euro Dollar / Canadian Dollar                     	FOREX     
EURCHF    	Euro Dollar / Swiss Franc                         	FOREX     
EURCLP    	Euro Dollar / Chilean Peso                        	FOREX     
EURCNH    	Euro Dollar / Renminbi (Offshore)                 	FOREX     
EURCNY    	Euro Dollar / Yuan Renminbi                       	FOREX     
EURCOP    	Euro Dollar / Colombian Peso                      	FOREX     
EURCRC    	Euro Dollar / Costa Rican Colon                   	FOREX     
EURCUP    	Euro Dollar / Cuban Peso                          	FOREX     
EURCVE    	Euro Dollar / Cape Verde Escudo                   	FOREX     
EURCZK    	Euro Dollar / Czech Koruna                        	FOREX     
EURDJF    	Euro Dollar / Djibouti Franc                      	FOREX     
EURDKK    	Euro Dollar / Danish Krone                        	FOREX     
EURDOP    	Euro Dollar / Dominican Peso                      	FOREX     
EURDZD    	Euro Dollar / Algerian Dinar                      	FOREX     
EUREGP    	Euro Dollar / Egyptian Pound                      	FOREX     
EURETB    	Euro Dollar / Ethiopian Birr                      	FOREX     
EURFJD    	Euro Dollar / Fiji Dollar                         	FOREX     
EURGBP    	Euro Dollar / Pound Sterling                      	FOREX     
EURGHS    	Euro Dollar / Cedi                                	FOREX     
EURGNF    	Euro Dollar / Guinea Franc                        	FOREX     
EURGTQ    	Euro Dollar / Guatemalan Quetzal                  	FOREX     
EURHKD    	Euro Dollar / Hong Kong Dollar                    	FOREX     
EURHNL    	Euro Dollar / Honduran Lempira                    	FOREX     
EURHRK    	Euro Dollar / Croatian kuna                       	FOREX     
EURHTG    	Euro Dollar / Gourde                              	FOREX     
EURHUF    	Euro Dollar / Hungarian Forint                    	FOREX     
EURIDR    	Euro Dollar / Indian Rupiah                       	FOREX     
EURILS    	Euro Dollar / New Israeli Sheqel                  	FOREX     
EURINR    	Euro Dollar / Indian Rupee                        	FOREX     
EURIQD    	Euro Dollar / Iraqi Dinar                         	FOREX     
EURISK    	Euro Dollar / Iceland Krona                       	FOREX     
EURJMD    	Euro Dollar / Jamaican Dollar                     	FOREX     
EURJOD    	Euro Dollar / Jordanian Dinar                     	FOREX     
EURJPY    	Euro Dollar / Japanese Yen                        	FOREX     
EURKES    	Euro Dollar / Kenyan Shilling                     	FOREX     
EURKHR    	Euro Dollar / Riel                                	FOREX     
EURKRW    	Euro Dollar / Korean Won                          	FOREX     
EURKWD    	Euro Dollar / Kuwaiti Dinar                       	FOREX     
EURKYD    	Euro Dollar / Cayman Islands Dollar               	FOREX     
EURKZT    	Euro Dollar / Tenge                               	FOREX     
EURLAK    	Euro Dollar / Kip                                 	FOREX     
EURLBP    	Euro Dollar / Lebanese Pound                      	FOREX     
EURLKR    	Euro Dollar / Sri Lanka Rupee                     	FOREX     
EURLSL    	Euro Dollar / Loti                                	FOREX     
EURLYD    	Euro Dollar / Lybian Dinar                        	FOREX     
EURMAD    	Euro Dollar / Moroccan Dirham                     	FOREX     
EURMDL    	Euro Dollar / Moldovan Leu                        	FOREX     
EURMKD    	Euro Dollar / Denar                               	FOREX     
EURMMK    	Euro Dollar / Kyat                                	FOREX     
EURMOP    	Euro Dollar / Pataca                              	FOREX     
EURMRO    	Euro Dollar / Ouguiya                             	FOREX     
EURMUR    	Euro Dollar / Mauritius Rupee                     	FOREX     
EURMVR    	Euro Dollar / Rufiyaa                             	FOREX     
EURMWK    	Euro Dollar / Kwacha                              	FOREX     
EURMXN    	Euro Dollar / Mexican Peso                        	FOREX     
EURMYR    	Euro Dollar / Malaysian Ringgit                   	FOREX     
EURNAD    	Euro Dollar / Namibia Dollar                      	FOREX     
EURNGN    	Euro Dollar / Naira                               	FOREX     
EURNIO    	Euro Dollar / Cordoba Oro                         	FOREX     
EURNOK    	Euro Dollar / Norwegian Krone                     	FOREX     
EURNPR    	Euro Dollar / Nepalese Rupee                      	FOREX     
EURNZD    	Euro Dollar / New Zealand Dollar                  	FOREX     
EUROMR    	Euro Dollar / Rial Omani                          	FOREX     
EURPAB    	Euro Dollar / Balboa                              	FOREX     
EURPEN    	Euro Dollar / Nuevo Sol                           	FOREX     
EURPGK    	Euro Dollar / Papua New Guinea Kina               	FOREX     
EURPHP    	Euro Dollar / Philippine Peso                     	FOREX     
EURPKR    	Euro Dollar / Pakistan Rupee                      	FOREX     
EURPLN    	Euro Dollar / Polish Zloty                        	FOREX     
EURPYG    	Euro Dollar / Guarani                             	FOREX     
EURQAR    	Euro Dollar / Qatari Rial                         	FOREX     
EURRON    	Euro Dollar / Romanian Leu                        	FOREX     
EURRSD    	Euro Dollar / Serbian Dinar                       	FOREX     
EURRUB    	Euro Dollar / Russian Ruble                       	FOREX     
EURRWF    	Euro Dollar / Rwanda Franc                        	FOREX     
EURSAR    	Euro Dollar / Saudi Riyal                         	FOREX     
EURSCR    	Euro Dollar / Seychelles Rupee                    	FOREX     
EURSDD    	Euro Dollar / Sudanese Dinar                      	FOREX     
EURSEK    	Euro Dollar / Swedish Krona                       	FOREX     
EURSGD    	Euro Dollar / Singapore Dollar                    	FOREX     
EURSOS    	Euro Dollar / Somali Shilling                     	FOREX     
EURSTD    	Euro Dollar / Dobra                               	FOREX     
EURSVC    	Euro Dollar / El Salvador Colon                   	FOREX     
EURSZL    	Euro Dollar / Lilangeni                           	FOREX     
EURTHB    	Euro Dollar / Thai Baht                           	FOREX     
EURTND    	Euro Dollar / Tunisian Dinar                      	FOREX     
EURTRY    	Euro Dollar / Turkish Lira                        	FOREX     
EURTTD    	Euro Dollar / Trinidad and Tobago Dollar          	FOREX     
EURTWD    	Euro Dollar / New Taiwan Dollar                   	FOREX     
EURTZS    	Euro Dollar / Tanzanian Shilling                  	FOREX     
EURUAH    	Euro Dollar / Hryvnia                             	FOREX     
EURUGX    	Euro Dollar / Uganda Shilling                     	FOREX     
EURUSD    	Euro Dollar / US Dollar                           	FOREX     
EURUYU    	Euro Dollar / Peso Uruguayo                       	FOREX     
EURUZS    	Euro Dollar / Uzbekistan Sum                      	FOREX     
EURVEF    	Euro Dollar / Venezualan bolivar fuerte           	FOREX     
EURVND    	Euro Dollar / Dong                                	FOREX     
EURXAF    	Euro Dollar / CFA Franc BEAC                      	FOREX     
EURXOF    	Euro Dollar / CFA Franc BCEAO                     	FOREX     
EURXPF    	Euro Dollar / CFP Franc                           	FOREX     
EURYER    	Euro Dollar / Yemeni Rial                         	FOREX     
EURZAR    	Euro Dollar / South African Rand                  	FOREX     
FJDGBP    	Fiji Dollar / Pound Sterling                      	FOREX     
FJDUSD    	Fiji Dollar / US Dollar                           	FOREX     
GBPAED    	Pound Sterling / UAE Dirham                       	FOREX     
GBPALL    	Pound Sterling / Lek                              	FOREX     
GBPARS    	Pound Sterling / Argentine Peso                   	FOREX     
GBPAUD    	Pound Sterling / Australian Dollar                	FOREX     
GBPBDT    	Pound Sterling / Taka                             	FOREX     
GBPBGN    	Pound Sterling / Bulgarian Lev                    	FOREX     
GBPBHD    	Pound Sterling / Bahraini Dinar                   	FOREX     
GBPBIF    	Pound Sterling / Burundi Franc                    	FOREX     
GBPBMD    	Pound Sterling / Bermudian Dollar                 	FOREX     
GBPBND    	Pound Sterling / Brunei Dollar                    	FOREX     
GBPBRL    	Pound Sterling / Brazilian Real                   	FOREX     
GBPBWP    	Pound Sterling / Pula                             	FOREX     
GBPCAD    	Pound Sterling / Canadian Dollar                  	FOREX     
GBPCHF    	Pound Sterling / Swiss Franc                      	FOREX     
GBPCLP    	Pound Sterling / Chilean Peso                     	FOREX     
GBPCNH    	Pound Sterling / Renminbi (Offshore)              	FOREX     
GBPCNY    	Pound Sterling / Yuan Renminbi                    	FOREX     
GBPCOP    	Pound Sterling / Colombian Peso                   	FOREX     
GBPCRC    	Pound Sterling / Costa Rican Colon                	FOREX     
GBPCZK    	Pound Sterling / Czech Koruna                     	FOREX     
GBPDJF    	Pound Sterling / Djibouti Franc                   	FOREX     
GBPDKK    	Pound Sterling / Danish Krone                     	FOREX     
GBPDOP    	Pound Sterling / Dominican Peso                   	FOREX     
GBPDZD    	Pound Sterling / Algerian Dinar                   	FOREX     
GBPEGP    	Pound Sterling / Egyptian Pound                   	FOREX     
GBPETB    	Pound Sterling / Ethiopian Birr                   	FOREX     
GBPEUR    	Pound Sterling / Euro Dollar                      	FOREX     
GBPFJD    	Pound Sterling / Fiji Dollar                      	FOREX     
GBPGTQ    	Pound Sterling / Guatemalan Quetzal               	FOREX     
GBPHKD    	Pound Sterling / Hong Kong Dollar                 	FOREX     
GBPHNL    	Pound Sterling / Honduran Lempira                 	FOREX     
GBPHRK    	Pound Sterling / Croatian kuna                    	FOREX     
GBPHTG    	Pound Sterling / Gourde                           	FOREX     
GBPHUF    	Pound Sterling / Hungarian Forint                 	FOREX     
GBPIDR    	Pound Sterling / Indian Rupiah                    	FOREX     
GBPILS    	Pound Sterling / New Israeli Sheqel               	FOREX     
GBPINR    	Pound Sterling / Indian Rupee                     	FOREX     
GBPIQD    	Pound Sterling / Iraqi Dinar                      	FOREX     
GBPISK    	Pound Sterling / Iceland Krona                    	FOREX     
GBPJMD    	Pound Sterling / Jamaican Dollar                  	FOREX     
GBPJOD    	Pound Sterling / Jordanian Dinar                  	FOREX     
GBPJPY    	Pound Sterling / Japanese Yen                     	FOREX     
GBPKES    	Pound Sterling / Kenyan Shilling                  	FOREX     
GBPKRW    	Pound Sterling / Korean Won                       	FOREX     
GBPKWD    	Pound Sterling / Kuwaiti Dinar                    	FOREX     
GBPKZT    	Pound Sterling / Tenge                            	FOREX     
GBPLBP    	Pound Sterling / Lebanese Pound                   	FOREX     
GBPLKR    	Pound Sterling / Sri Lanka Rupee                  	FOREX     
GBPMAD    	Pound Sterling / Moroccan Dirham                  	FOREX     
GBPMUR    	Pound Sterling / Mauritius Rupee                  	FOREX     
GBPMVR    	Pound Sterling / Rufiyaa                          	FOREX     
GBPMWK    	Pound Sterling / Kwacha                           	FOREX     
GBPMXN    	Pound Sterling / Mexican Peso                     	FOREX     
GBPMYR    	Pound Sterling / Malaysian Ringgit                	FOREX     
GBPNGN    	Pound Sterling / Naira                            	FOREX     
GBPNIO    	Pound Sterling / Cordoba Oro                      	FOREX     
GBPNOK    	Pound Sterling / Norwegian Krone                  	FOREX     
GBPNZD    	Pound Sterling / New Zealand Dollar               	FOREX     
GBPOMR    	Pound Sterling / Rial Omani                       	FOREX     
GBPPEN    	Pound Sterling / Nuevo Sol                        	FOREX     
GBPPGK    	Pound Sterling / Papua New Guinea Kina            	FOREX     
GBPPHP    	Pound Sterling / Philippine Peso                  	FOREX     
GBPPKR    	Pound Sterling / Pakistan Rupee                   	FOREX     
GBPPLN    	Pound Sterling / Polish Zloty                     	FOREX     
GBPQAR    	Pound Sterling / Qatari Rial                      	FOREX     
GBPRON    	Pound Sterling / Romanian Leu                     	FOREX     
GBPRSD    	Pound Sterling / Serbian Dinar                    	FOREX     
GBPRUB    	Pound Sterling / Russian Ruble                    	FOREX     
GBPSAR    	Pound Sterling / Saudi Riyal                      	FOREX     
GBPSCR    	Pound Sterling / Seychelles Rupee                 	FOREX     
GBPSEK    	Pound Sterling / Swedish Krona                    	FOREX     
GBPSGD    	Pound Sterling / Singapore Dollar                 	FOREX     
GBPSZL    	Pound Sterling / Lilangeni                        	FOREX     
GBPTHB    	Pound Sterling / Thai Baht                        	FOREX     
GBPTND    	Pound Sterling / Tunisian Dinar                   	FOREX     
GBPTRY    	Pound Sterling / Turkish Lira                     	FOREX     
GBPTTD    	Pound Sterling / Trinidad and Tobago Dollar       	FOREX     
