AGLNY     	Agl Energy Ltd ADR                                	OTCBB     
AGMIF     	Aldridge Minerals In                              	OTCBB     
AGMJF     	Algoma Cent Corp [F]                              	OTCBB     
AGNU      	AG&E Holdings Inc.                                	OTCBB     
AGOAF     	Abengoa S.A.                                      	OTCBB     
AGPDF     	Amer Sports Oyj                                   	OTCBB     
AGPDY     	Amer Sports Cp SP Ad                              	OTCBB     
AGPIF     	Anglo Pacific Res Plc Ord                         	OTCBB     
AGPPF     	Anglo Plati Ord Shs                               	OTCBB     
AGPYF     	Agile Property Holdings Ltd                       	OTCBB     
AGRDF     	Auriga Gold Crp Ord                               	OTCBB     
AGRIP     	Agribank Fcb                                      	OTCBB     
AGRNQ     	America Greener Technologies Inc                  	OTCBB     
AGRPY     	Absa Group Ltd New A                              	OTCBB     
AGRS      	Agristar Inc                                      	OTCBB     
AGSO      	Agrisolar Solutions                               	OTCBB     
AGSVF     	Argentum Silver Corp                              	OTCBB     
AGTEF     	Agtech Holdings Ltd                               	OTCBB     
AGTK      	Agritek Holdings Inc                              	OTCBB     
AGTT      	Angstrom Technologies Inc                         	OTCBB     
AGUNF     	Arctic Glacier TR Ut                              	OTCBB     
AGXKF     	Anglo Asian Mining P                              	OTCBB     
AGXXF     	All Grain Traders                                 	OTCBB     
AGYP      	Allied Energy Corp                                	OTCBB     
AHAG      	Alpha Techs Grp Inc                               	OTCBB     
AHCHF     	Anhui Conch Cement C                              	OTCBB     
AHCHY     	Anhui Conch Cem ADR                               	OTCBB     
AHCP      	Anchorage International Holdings Corp             	OTCBB     
AHEXF     	Adecco Sa Cheserex                                	OTCBB     
AHEXY     	Adecco Sa ADR                                     	OTCBB     
AHFD      	Active Health Foods                               	OTCBB     
AHFP      	American Home Food Products Inc                   	OTCBB     
AHGIF     	Alternate Health Corp                             	OTCBB     
AHII      	American Heritage International Inc               	OTCBB     
AHIX      	Aluf Holdings Inc.                                	OTCBB     
AHKSF     	Asahi Kaisai Corp                                 	OTCBB     
AHKSY     	Asahi Kaisai Cp ADR                               	OTCBB     
AHNR      	Athena Silver Corp                                	OTCBB     
AHODF     	Koninklijke Ahold Nv                              	OTCBB     
AHOTF     	American Hotel                                    	OTCBB     
AHROQ     	Atheronova Inc                                    	OTCBB     
AIABF     	Airasia Bhd                                       	OTCBB     
AIAGY     	Aurubis Ag ADR                                    	OTCBB     
AIBEF     	Air Berlin Plc Ord                                	OTCBB     
AIBSF     	Allied Irish Banks O                              	OTCBB     
AICAF     	Air China Ltd                                     	OTCBB     
AIDA      	Aida Pharmaceuticals                              	OTCBB     
AIERF     	Asian Mineral Res Ltd Com                         	OTCBB     
AIFLY     	Aiful Corp ADR                                    	OTCBB     
AIFS      	Agent Info Software                               	OTCBB     
AIGI      	Artistmss Intl Group Inc                          	OTCBB     
AIKO      	Alternative Investment Corp.                      	OTCBB     
AILIH     	Ameren Ill 4.08 Pfd                               	OTCBB     
AILLL     	Central Illinois Public Service Company           	OTCBB     
AILLM     	Central Ill Pub 4.92                              	OTCBB     
AILLN     	Ameren Illinois Co Pfd 4.9%                       	OTCBB     
AILLO     	Ameren Ill Pub 4.25                               	OTCBB     
AILLP     	Ameren Ill Co                                     	OTCBB     
AIMH      	Aimrite Holdings Cor                              	OTCBB     
AINSF     	Ainsworth Game Tech                               	OTCBB     
AIOAF     	Antisoma Plc                                      	OTCBB     
AIOCF     	Avigilon Corp                                     	OTCBB     
AIOM      	Axiom Holdings Inc.                               	OTCBB     
AIPUY     	Airports of Thailand Public Co Ltd ADR            	OTCBB     
AIQUF     	L'Air Liquide Ord EU                              	OTCBB     
AIQUY     	L'Air Liquide ADR                                 	OTCBB     
AIRO      	Airspan Networks I                                	OTCBB     
AIRRF     	Aurion Res Ltd                                    	OTCBB     
AIRW      	Airware Labs Corp                                 	OTCBB     
AIRYY     	Air China Ltd ADR                                 	OTCBB     
AISSF     	Aisoftware Spa                                    	OTCBB     
AITB      	Ait Therapeutics Inc                              	OTCBB     
AITG      	Air Transport Grp Hldgs                           	OTCBB     
AIVAF     	Aviva Plc                                         	OTCBB     
AIVI      	Aivtech Internationa                              	OTCBB     
AIVN      	American International Ventures Inc               	OTCBB     
AIXXF     	Aixtron Se                                        	OTCBB     
AJBI      	Ami James Brands Inc.                             	OTCBB     
AJINY     	Ajinomoto Co Inc ADR                              	OTCBB     
AJMPF     	Ashmore Group Plc                                 	OTCBB     
