C5        	Butter Grade AA                                   	CME       
C5X17     	Butter Grade AA {Nov 17}                          	CME       
CD        	Canadian Dollar (Pit                              	CME       
CD.C      	Canadian Dollar (Pit Continuation                 	CME       
CDH18     	Canadian Dollar (Pit {Mar 18}                     	CME       
CDH19     	Canadian Dollar (Pit {Mar 19}                     	CME       
CDH20     	Canadian Dollar (Pit {Mar 20}                     	CME       
CDH21     	Canadian Dollar (Pit {Mar 21}                     	CME       
CDH22     	Canadian Dollar (Pit {Mar 22}                     	CME       
CDJ17     	Canadian Dollar (Pit {Apr 17}                     	CME       
CDK17     	Canadian Dollar (Pit {May 17}                     	CME       
CDM17     	Canadian Dollar (Pit {Jun 17}                     	CME       
CDM18     	Canadian Dollar (Pit {Jun 18}                     	CME       
CDM19     	Canadian Dollar (Pit {Jun 19}                     	CME       
CDM20     	Canadian Dollar (Pit {Jun 20}                     	CME       
CDM21     	Canadian Dollar (Pit {Jun 21}                     	CME       
CDN17     	Canadian Dollar (Pit {Jul 17}                     	CME       
CDQ17     	Canadian Dollar (Pit {Aug 17}                     	CME       
CDU17     	Canadian Dollar (Pit {Sep 17}                     	CME       
CDU18     	Canadian Dollar (Pit {Sep 18}                     	CME       
CDU19     	Canadian Dollar (Pit {Sep 19}                     	CME       
CDU20     	Canadian Dollar (Pit {Sep 20}                     	CME       
CDU21     	Canadian Dollar (Pit {Sep 21}                     	CME       
CDZ17     	Canadian Dollar (Pit {Dec 17}                     	CME       
CDZ18     	Canadian Dollar (Pit {Dec 18}                     	CME       
CDZ19     	Canadian Dollar (Pit {Dec 19}                     	CME       
CDZ20     	Canadian Dollar (Pit {Dec 20}                     	CME       
CDZ21     	Canadian Dollar (Pit {Dec 21}                     	CME       
CU.C      	Crude Palm Oil Continuation                       	CME       
CUF18     	Crude Palm Oil {Jan 18}                           	CME       
CUF19     	Crude Palm Oil {Jan 19}                           	CME       
CUF20     	Crude Palm Oil {Jan 20}                           	CME       
CUF21     	Crude Palm Oil {Jan 21}                           	CME       
CUF22     	Crude Palm Oil {Jan 22}                           	CME       
CUG18     	Crude Palm Oil {Feb 18}                           	CME       
CUG19     	Crude Palm Oil {Feb 19}                           	CME       
CUG20     	Crude Palm Oil {Feb 20}                           	CME       
CUG21     	Crude Palm Oil {Feb 21}                           	CME       
CUG22     	Crude Palm Oil {Feb 22}                           	CME       
CUH18     	Crude Palm Oil {Mar 18}                           	CME       
CUH19     	Crude Palm Oil {Mar 19}                           	CME       
