14D       	1414 Degrees Limited                              	ASX       
SDAKOA    	Speedcast International Limited                   	ASX       
SDAKOD    	Speedcast International Limited                   	ASX       
SDF       	Steadfast Group Limited                           	ASX       
SDG       	Sunland Group Ltd                                 	ASX       
SDI       	SDI Ltd                                           	ASX       
SDL       	Sundance Resources Ltd                            	ASX       
SDV       	Scidev Ltd                                        	ASX       
SDX       	Sienna Cancer Diagnostics Limited                 	ASX       
SE1       	Sensera Limited                                   	ASX       
SEA       	Sundance Energy Australia Ltd                     	ASX       
SEC       	Spheria Emerging Companies Limited                	ASX       
SEI       	Speciality Metals International Limited           	ASX       
SEK       	Seek Ltd                                          	ASX       
SEKKOA    	Seek Limited                                      	ASX       
SEKKOB    	Seek Limited                                      	ASX       
SEKKOP    	Seek Limited                                      	ASX       
SEKKOR    	Seek Limited                                      	ASX       
SEKKOS    	Seek Limited                                      	ASX       
SEKQOA    	Seek Limited                                      	ASX       
SEN       	Senetas Corporation Ltd                           	ASX       
SEQ       	Southern Equity Holdings                          	ASX       
SER       	Strategic Energy Resources Ltd                    	ASX       
SES       	Solar Energy Systems                              	ASX       
SF1       	Stemify Limited                                   	ASX       
SFC       	Schaffer Corporation Ltd                          	ASX       
SFG       	St Francis Group Ltd                              	ASX       
SFGO      	Seafarms Group Limited                            	ASX       
SFH       	Specialty Fashion Group Ltd                       	ASX       
SFI       	Spookfish Limited                                 	ASX       
SFL       	Spring Fg Limited                                 	ASX       
SFM       	Santa Fe Minerals Ltd                             	ASX       
SFR       	Sandfire Resources NL                             	ASX       
SFRKOC    	Sandfire Resources Nl                             	ASX       
SFRKOF    	Sandfire Resources Nl                             	ASX       
SFRKOJ    	Sandfire Resources Nl                             	ASX       
SFRKOL    	Sandfire Resources Nl                             	ASX       
SFRKOR    	Sandfire Resources Nl                             	ASX       
SFRKOS    	Sandfire Resources Nl                             	ASX       
SFRKOT    	Sandfire Resources Nl                             	ASX       
SFRKOV    	Sandfire Resources Nl                             	ASX       
SFX       	Sheffield Resources Limited                       	ASX       
SFY       	StreetTracks S&P/ASX 50 Fund                      	ASX       
SGC       	Sydney Gas Company Nl                             	ASX       
SGF       	Sg Fleet Group Limited                            	ASX       
SGH       	Slater & Gordon Ltd                               	ASX       
SGI       	Signature Capital Investments Limited             	ASX       
SGM       	Sims Group Ltd                                    	ASX       
SGMKOF    	Sims Metal Management Limited                     	ASX       
SGMKOI    	Sims Metal Management Limited                     	ASX       
SGMKOP    	Sims Metal Management Limited                     	ASX       
SGMKOR    	Sims Metal Management Limited                     	ASX       
SGMKOT    	Sims Metal Management Limited                     	ASX       
SGMKOV    	Sims Metal Management Limited                     	ASX       
SGMMOA    	Sims Metal Management Limited                     	ASX       
SGO       	Stream Group Limited                              	ASX       
SGP       	Stockland                                         	ASX       
SGPBOA    	Stockland                                         	ASX       
SGPKOC    	Stockland                                         	ASX       
SGPKOF    	Stockland                                         	ASX       
SGPKOQ    	Stockland                                         	ASX       
SGPKOR    	Stockland                                         	ASX       
SGPKOS    	Stockland                                         	ASX       
SGQ       	St George Mining Limited                          	ASX       
SGQOB     	St George Mining Limited                          	ASX       
SGR       	The Star Entertainment Group Limited              	ASX       
SGRBOD    	The Star Entertainment Group Limited              	ASX       
SGRKOA    	The Star Entertainment Group Limited              	ASX       
SGRKOD    	The Star Entertainment Group Limited              	ASX       
SGRKOE    	The Star Entertainment Group Limited              	ASX       
SGRKOQ    	The Star Entertainment Group Limited              	ASX       
SGRKOR    	The Star Entertainment Group Limited              	ASX       
SGU       	Success Resources Global Ltd                      	ASX       
SHH       	Shree Minerals Limited                            	ASX       
SHI       	Shine Metals Limited                              	ASX       
SHJ       	Shine Corporate Ltd                               	ASX       
SHK       	Stone Resources Australia Limited                 	ASX       
SHL       	Sonic Healthcare Ltd                              	ASX       
SHLKOB    	Sonic Healthcare Limited                          	ASX       
SHLKOC    	Sonic Healthcare Limited                          	ASX       
SHLKOP    	Sonic Healthcare Limited                          	ASX       
SHLKOQ    	Sonic Healthcare Limited                          	ASX       
SHM       	Shriro Holdings Limited                           	ASX       
SHO       	Sportshero Limited                                	ASX       
SHU       	Shenhua International Limited                     	ASX       
SHV       	Select Harvests Ltd                               	ASX       
SI6       	Six Sigma Metals Limited                          	ASX       
SI6OC     	Six Sigma Metals Limited                          	ASX       
SIG       	Sigma Company Ltd                                 	ASX       
SIGKOB    	Sigma Healthcare Limited                          	ASX       
SIH       	Sihayo Gold Limited                               	ASX       
SIL       	Smiles Inclusive Limited                          	ASX       
SIO       	Simonds Group Limited                             	ASX       
SIQ       	Smartgroup Corporation Ltd                        	ASX       
SIQKOA    	Smartgroup Corporation Ltd                        	ASX       
SIS       	Simble Solutions Limited                          	ASX       
SIT       	SIT                                               	ASX       
SIV       	Silver Chef Ltd                                   	ASX       
SIX       	Sprintex Limited                                  	ASX       
SKC       	Sky City Entertainment Group Ltd                  	ASX       
SKF       	Skyfii Ltd                                        	ASX       
SKI       	Spark Infrastructure Group                        	ASX       
SKIKOB    	Spark Infrastructure Group                        	ASX       
SKIKOD    	Spark Infrastructure Group                        	ASX       
SKIKOQ    	Spark Infrastructure Group                        	ASX       
SKIKOR    	Spark Infrastructure Group                        	ASX       
SKN       	Skansen Holdings                                  	ASX       
SKO       	Serko Limited                                     	ASX       
SKP       	Skyland Petroleum Limited                         	ASX       
SKT       	Sky Network Television Ltd                        	ASX       
SL1       	Symbol Mining Limited                             	ASX       
SL1O      	Symbol Mining Limited                             	ASX       
SLC       	Softlaw Corporation Ltd                           	ASX       
SLF       	StreetTracks 200 Listed Proprty Fund              	ASX       
SLK       	Sealink Travel Group Limited                      	ASX       
SLM       	Salmat Ltd                                        	ASX       
SLR       	Silver Lake Resources Ltd                         	ASX       
SLX       	Silex Systems Ltd                                 	ASX       
SLZ       	Sultan Resources Ltd                              	ASX       
SM1       	Synlait Milk Limited                              	ASX       
SM8       	Shark Mitigation Systems Limited                  	ASX       
SMC       	Strategic Minerals Corporation NL                 	ASX       
SMD       	Syndicated Metals Ltd                             	ASX       
SMG       	Soon Mining Limited                               	ASX       
SMI       	Santana Minerals Limited                          	ASX       
SMIO      	Santana Minerals Limited                          	ASX       
SMLL      	SMLL                                              	ASX       
SMN       	Structural Monitoring Systems Plc                 	ASX       
SMP       	Smartpay Holdings Limited                         	ASX       
SMR       	Stanmore Coal Limited                             	ASX       
SMX       	SMS Management & Technology Ltd                   	ASX       
SNC       	Sandon Capital Investments Limited                	ASX       
SND       	Saunders International Ltd                        	ASX       
SNL       	Supply Network Ltd                                	ASX       
SNS       	Sensen Networks Limited                           	ASX       
SNV       	Sinovus Mining Ltd                                	ASX       
SNZ       	Summerset Group Holdings Limited                  	ASX       
SO4       	Salt Lake Potash Limited                          	ASX       
SOL       	Washington H Soul Pattison & Co Ltd               	ASX       
SOM       	SomnoMed Ltd                                      	ASX       
SOP       	Sml Corporation Limited                           	ASX       
SOPOA     	Synertec Corporation Limited                      	ASX       
SOR       	Strategic Elements Limited                        	ASX       
SP3       	Spectur Limited                                   	ASX       
SP3O      	Spectur Limited                                   	ASX       
SPB       	South Pacific Resources Limited                   	ASX       
SPFKOH    	S&p 500 Emini Futures                             	ASX       
SPFKOJ    	SPFKOJ                                            	ASX       
SPFKOK    	SPFKOK                                            	ASX       
SPFKOL    	SPFKOL                                            	ASX       
SPFKOM    	SPFKOM                                            	ASX       
SPFKON    	SPFKON                                            	ASX       
SPFKOO    	SPFKOO                                            	ASX       
SPFKOV    	S&p 500 Emini Futures                             	ASX       
SPFKOZ    	S&p 500 Emini Futures                             	ASX       
SPFMOP    	SPFMOP                                            	ASX       
SPFMOS    	SPFMOS                                            	ASX       
SPFMOT    	SPFMOT                                            	ASX       
SPFMOW    	SPFMOW                                            	ASX       
SPI       	Spitfire Resources Ltd                            	ASX       
SPK       	Spark New Zealand Limited                         	ASX       
SPL       	Starpharma Holdings Ltd                           	ASX       
SPO       	Spotless Group Holdings Limited                   	ASX       
SPQ       	Superior Resources Ltd                            	ASX       
SPQO      	Superior Resources Limited                        	ASX       
SPX       	Spinifex Gold Nl                                  	ASX       
SPY       	SPY                                               	ASX       
SPZ       	Smart Parking Limited                             	ASX       
SRF       	Surfstitch Group Limited                          	ASX       
SRG       	Sydney Roads Group                                	ASX       
SRH       	Saferoads Holdings Ltd                            	ASX       
SRI       	Sipa Resources Ltd                                	ASX       
SRK       	Strike Resources Ltd                              	ASX       
SRN       	Surefire Resources Nl                             	ASX       
SRNOB     	Surefire Resources Nl                             	ASX       
SRO       	Shareroot Ltd                                     	ASX       
SRS       	Spicers Limited                                   	ASX       
SRV       	Servcorp Ltd                                      	ASX       
SRY       	Story-i Limited                                   	ASX       
SRYO      	Story-i Limited                                   	ASX       
SRZ       	Stellar Resources Ltd                             	ASX       
SRZO      	Stellar Resources Limited                         	ASX       
SSG       	Shaver Shop Group Limited                         	ASX       
SSL       	Sietel Ltd                                        	ASX       
SSLPA     	Sietel PA                                         	ASX       
SSM       	Service Stream Ltd                                	ASX       
SSN       	Samson Oil & Gas NL                               	ASX       
SSO       	Spdr S&p/asx Small Ordinaries Fund                	ASX       
SST       	Steamships Trading Company Ltd (PNG)              	ASX       
ST1       	Spirit Telecom Limited                            	ASX       
ST1O      	Spirit Telecom Limited                            	ASX       
STA       	Strandline Resources Limited                      	ASX       
STC       	Stem Cell Sciences PLC                            	ASX       
STG       	Staging Connections Group Ltd                     	ASX       
STM       	Sunstone Metals Ltd                               	ASX       
STMO      	Sunstone Metals Ltd                               	ASX       
STN       	Southern Titanium Nl                              	ASX       
STO       	Santos Ltd                                        	ASX       
STOKOA    	Santos Limited                                    	ASX       
STOKOB    	Santos Limited                                    	ASX       
STOKOC    	Santos Limited                                    	ASX       
STOKOD    	Santos Limited                                    	ASX       
STOKOE    	Santos Limited                                    	ASX       
STOKOP    	Santos Limited                                    	ASX       
STOKOQ    	Santos Limited                                    	ASX       
STOKOR    	Santos Limited                                    	ASX       
STOKOT    	Santos Limited                                    	ASX       
STOKOV    	Santos Limited                                    	ASX       
STW       	StreetTracks S&P/ASX 200 Fund                     	ASX       
STWBOD    	Spdr S&p/asx 200 Fund                             	ASX       
STX       	Strike Oil Ltd                                    	ASX       
SUD       	Suda Ltd                                          	ASX       
SUDOC     	Suda Pharmaceuticals Ltd                          	ASX       
SUH       	Southern Hemisphere Mining Limited                	ASX       
SUL       	Super Cheap Auto Group Ltd                        	ASX       
SULKOQ    	Super Retail Group Limited                        	ASX       
SULKOR    	Super Retail Group Limited                        	ASX       
SUM       	Sumatra Copper & Gold Plc                         	ASX       
SUN       	Suncorp-Metway Ltd                                	ASX       
SUNBOA    	Suncorp Group Limited                             	ASX       
SUNBOB    	Suncorp Group Limited                             	ASX       
SUNBOD    	Suncorp Group Limited                             	ASX       
SUNKOB    	Suncorp Group Limited                             	ASX       
SUNKOC    	Suncorp Group Limited                             	ASX       
SUNKOE    	Suncorp Group Limited                             	ASX       
SUNKOQ    	Suncorp Group Limited                             	ASX       
SUNPE     	Suncorp Group Limited                             	ASX       
SUNPF     	Suncorp Group Limited                             	ASX       
SUNPG     	Suncorp Group Limited                             	ASX       
SUP       	SuperSorb Environmental NL                        	ASX       
SUR       	Sun Resources NL                                  	ASX       
SUROA     	Sun Resources Nl                                  	ASX       
SUROC     	Sun Resources Nl                                  	ASX       
SVA       	Simavita Limited                                  	ASX       
SVD       	Scandivanadium Ltd                                	ASX       
SVH       	Silver Heritage Group Limited                     	ASX       
SVL       	Silver Mines Ltd                                  	ASX       
SVLOB     	Silver Mines Limited                              	ASX       
SVM       	Sovereign Metals Ltd                              	ASX       
SVS       	Sunvest Corporation Ltd                           	ASX       
SVT       	Servtech Global Holdings Ltd                      	ASX       
SVW       	Seven Group Holdings Limited                      	ASX       
SVY       	Stavely Minerals Limited                          	ASX       
SW1       	Swift Networks Group Limited                      	ASX       
SWF       	Selfwealth Limited                                	ASX       
SWJ       	Stonewall Resources Limited                       	ASX       
SWJO      	Stonewall Resources Limited                       	ASX       
SWK       	Swick Mining Services Ltd                         	ASX       
SWM       	Seven West Media Limited                          	ASX       
SWMKOE    	Seven West Media Limited                          	ASX       
SWMKOR    	Seven West Media Limited                          	ASX       
SWTZ      	SWTZ                                              	ASX       
SXA       	Strata-x Energy Limited                           	ASX       
SXE       	Southern Cross Electrical Engineering Ltd         	ASX       
SXL       	Southern Cross Media Group                        	ASX       
SXLKOA    	Southern Cross Media Group Limited                	ASX       
SXLKOB    	Southern Cross Media Group Limited                	ASX       
SXLKOC    	Southern Cross Media Group Limited                	ASX       
SXX       	Southern Cross Exploration NL                     	ASX       
SXY       	Senex Energy Limited                              	ASX       
SYA       	Sayona Mining Limited                             	ASX       
SYAOB     	Sayona Mining Limited                             	ASX       
SYD       	Sydney Airport                                    	ASX       
SYDBOA    	Sydney Airport                                    	ASX       
SYDBOD    	Sydney Airport                                    	ASX       
SYDKOA    	Sydney Airport                                    	ASX       
SYDKOB    	Sydney Airport                                    	ASX       
SYDKOD    	Sydney Airport                                    	ASX       
SYDKOQ    	Sydney Airport                                    	ASX       
SYDKOS    	Sydney Airport                                    	ASX       
SYDKOT    	Sydney Airport                                    	ASX       
SYI       	Spdr Msci Australia Select High Dividend Yield Fund	ASX       
SYIBOR    	SYIBOR                                            	ASX       
SYR       	Syrah Resources Ltd                               	ASX       
SYS       	Syngas Ltd                                        	ASX       
SYT       	Syntonic Limited                                  	ASX       
T3D       	333d Limited                                      	ASX       
TAG       	Tag Pacific Ltd                                   	ASX       
TAH       	Tabcorp Holdings Ltd                              	ASX       
TAHBOA    	Tabcorp Holdings Limited                          	ASX       
TAHBOB    	Tabcorp Holdings Limited                          	ASX       
TAHBOD    	Tabcorp Holdings Limited                          	ASX       
TAHBOR    	Tabcorp Holdings Limited                          	ASX       
TAHBOZ    	Tabcorp Holdings Limited                          	ASX       
TAHKOA    	Tabcorp Holdings Limited                          	ASX       
TAHKOC    	Tabcorp Holdings Limited                          	ASX       
TAHKOD    	Tabcorp Holdings Limited                          	ASX       
TAHKOP    	Tabcorp Holdings Limited                          	ASX       
TAHKOS    	Tabcorp Holdings Limited                          	ASX       
TAHKOT    	Tabcorp Holdings Limited                          	ASX       
TAM       	Tanami Gold NL                                    	ASX       
TAO       	Tao Commodities Ltd                               	ASX       
TAOO      	Tao Commodities Ltd                               	ASX       
TAP       	Tap Oil Ltd                                       	ASX       
TAR       	Taruga Gold Limited                               	ASX       
TAS       	Tasman Resources NL                               	ASX       
TASOC     	Tasman Resources Ltd                              	ASX       
TAU       	Trustees Australia Limited                        	ASX       
TAW       	Tawana Resources NL                               	ASX       
TB8       	Tianmei Beverage Group Corporation Limited        	ASX       
TBH       	Topbetta Holdings Limited                         	ASX       
TBL       	3D Global                                         	ASX       
TBR       	Tribune Resources NL                              	ASX       
TCL       	Transurban Group                                  	ASX       
TCLKOB    	Transurban Group                                  	ASX       
TCLKOD    	Transurban Group                                  	ASX       
TCLKOP    	Transurban Group                                  	ASX       
TCLKOQ    	Transurban Group                                  	ASX       
TCN       	Techniche Ltd                                     	ASX       
TCO       	Transmetro Corporation Ltd                        	ASX       
TDL       	Tbg Diagnostics Limited                           	ASX       
TDO       	3D Oil Ltd                                        	ASX       
TECH      	TECH                                              	ASX       
TEG       	Triangle Energy (global) Limited                  	ASX       
TEK       	Thorney Technologies Ltd                          	ASX       
TER       	Terrain Australia Ltd                             	ASX       
TEX       	Target Energy Ltd                                 	ASX       
TFG       	Total Face Group Limited                          	ASX       
TFL       	Tasfoods Limited                                  	ASX       
TGA       	Thorn Group Limited                               	ASX       
TGF       	Tianshan Goldfields Ltd                           	ASX       
TGG       	Templeton Global Growth Fund Ltd                  	ASX       
TGM       	Theta Gold Mines Limited                          	ASX       
TGMO      	Theta Gold Mines Limited                          	ASX       
TGN       	Tungsten Mining Nl                                	ASX       
TGO       	Trimantium Growthops Limited                      	ASX       
TGP       	Trafalgar Corporate Group                         	ASX       
TGR       	Tassal Group Ltd                                  	ASX       
TGS       	Tiger Resources Ltd                               	ASX       
THC       	The Hydroponics Company Limited                   	ASX       
THCO      	The Hydroponics Company Limited                   	ASX       
THD       	Thred Limited                                     	ASX       
THR       	Thor Mining Plc                                   	ASX       
THX       	Thundelarra Explrn Ltd (Canada CUFS)              	ASX       
THXOB     	Thundelarra Limited                               	ASX       
TIA       	Tian An Australia Limited                         	ASX       
TIE       	Tietto Minerals Limited                           	ASX       
TIG       	Tigers Realm Coal Limited                         	ASX       
TIN       	Tnt Mines Limited                                 	ASX       
TKF       	Tikforce Limited                                  	ASX       
TKL       	Traka Resources Ltd                               	ASX       
TKM       	Trek Metals Limited                               	ASX       
TLG       	Talga Gold Limited                                	ASX       
TLGOA     	Talga Resources Ltd                               	ASX       
TLM       	Talisman Mining Ltd                               	ASX       
TLS       	Telstra Corporation Ltd                           	ASX       
TLSBOA    	Telstra Corporation Limited.                      	ASX       
TLSBOD    	Telstra Corporation Limited.                      	ASX       
TLSBOE    	Telstra Corporation Limited.                      	ASX       
TLSBOF    	Telstra Corporation Limited.                      	ASX       
TLSBOG    	Telstra Corporation Limited.                      	ASX       
TLSKOB    	Telstra Corporation Limited.                      	ASX       
TLSKOC    	Telstra Corporation Limited.                      	ASX       
TLSKOD    	Telstra Corporation Limited.                      	ASX       
TLSKOG    	Telstra Corporation Limited.                      	ASX       
TLSKOH    	Telstra Corporation Limited.                      	ASX       
TLSKOJ    	Telstra Corporation Limited.                      	ASX       
TLSKOK    	Telstra Corporation Limited.                      	ASX       
TLSKOL    	Telstra Corporation Limited.                      	ASX       
TLSKOM    	Telstra Corporation Limited.                      	ASX       
TLSKOQ    	Telstra Corporation Limited.                      	ASX       
TLSKOR    	Telstra Corporation Limited.                      	ASX       
TLSKOS    	Telstra Corporation Limited.                      	ASX       
TLSKOT    	Telstra Corporation Limited.                      	ASX       
TLSKOV    	Telstra Corporation Limited.                      	ASX       
TLSKOW    	Telstra Corporation Limited.                      	ASX       
TLSKOX    	Telstra Corporation Limited.                      	ASX       
TLSLOA    	Telstra Corporation Limited.                      	ASX       
TLSLOD    	Telstra Corporation Limited.                      	ASX       
TLSLOG    	Telstra Corporation Limited.                      	ASX       
TLSLOH    	Telstra Corporation Limited.                      	ASX       
TLSLOP    	Telstra Corporation Limited.                      	ASX       
TLSLOQ    	Telstra Corporation Limited.                      	ASX       
TLSLOS    	Telstra Corporation Limited.                      	ASX       
TLSLOU    	Telstra Corporation Limited.                      	ASX       
TLSLOV    	Telstra Corporation Limited.                      	ASX       
TLSQOQ    	Telstra Corporation Limited.                      	ASX       
TLT       	Tourism & Leisure Trust                           	ASX       
TLX       	Telix Pharmaceuticals Limited                     	ASX       
TME       	Trade Me Group Limited                            	ASX       
TMEKOB    	Trade Me Group Limited                            	ASX       
TMEKOC    	Trade Me Group Limited                            	ASX       
TMK       	Tamaska Oil And Gas Ltd                           	ASX       
TML       	Timah Resources Limited                           	ASX       
TMP       	Tech Mpire Limited                                	ASX       
TMPO      	Tech Mpire Limited                                	ASX       
TMR       	Tamaya Resources Ltd                              	ASX       
TMT       	Tyndall Meridian Trust                            	ASX       
TMTO      	Technology Metals Australia Limited               	ASX       
TMX       	Terrain Minerals Ltd                              	ASX       
TMZ       	Thomson Resources Limited                         	ASX       
TNE       	Technology One Ltd                                	ASX       
TNEKOB    	Technology One Limited                            	ASX       
TNEKOC    	Technology One Limited                            	ASX       
TNG       	Tennant Creek Gold Ltd                            	ASX       
TNK       	Think Childcare And Education Limited             	ASX       
TNO       	Tando Resources Limited                           	ASX       
TNOO      	Tando Resources Limited                           	ASX       
TNP       	Tango Petroleum Limited                           	ASX       
TNR       	Torian Resources Nl                               	ASX       
TNT       	Tesserent Limited                                 	ASX       
TNY       	Tennyson Networks Holdings                        	ASX       
TOE       	Toro Energy Ltd                                   	ASX       
TOM       	Tomizone Ltd                                      	ASX       
TON       	Triton Gold Limited                               	ASX       
TONOB     	Triton Minerals Ltd                               	ASX       
TONOC     	Triton Minerals Ltd                               	ASX       
TONOD     	Triton Minerals Ltd                               	ASX       
TOP       	Thorney Opportunities Ltd                         	ASX       
TOT       	360 Capital Total Return Fund                     	ASX       
TOU       	Tlou Energy Limited                               	ASX       
TPC       	Tel Pacific Ltd                                   	ASX       
TPD       	Talon Petroleum Limited                           	ASX       
TPE       	Tpi Enterprises Limited                           	ASX       
TPM       	Tpg Telecom Limited                               	ASX       
TPMKOA    	Tpg Telecom Limited                               	ASX       
TPMKOB    	Tpg Telecom Limited                               	ASX       
TPMKOC    	Tpg Telecom Limited                               	ASX       
TPMKOD    	Tpg Telecom Limited                               	ASX       
TPMKOE    	Tpg Telecom Limited                               	ASX       
TPO       	Tian Poh Resources Limited                        	ASX       
TPP       	Tempo Australia Ltd                               	ASX       
TPS       	Threat Protect Australia Limited                  	ASX       
TPW       	Temple & Webster Group Ltd                        	ASX       
TRA       	Turners Automotive Group Limited                  	ASX       
TRL       	Tanga Resources Limited                           	ASX       
TRLOC     	Tanga Resources Limited                           	ASX       
TRM       	Truscott Mining Corporation Ltd                   	ASX       
TRS       	Reject Shop Ltd (The)                             	ASX       
TRSKOQ    	The Reject Shop Limited                           	ASX       
TRT       	Tuart Resources                                   	ASX       
TRTO      	Todd River Resources Limited                      	ASX       
TRY       	Troy Resources NL                                 	ASX       
TSC       	Twenty Seven Co. Limited                          	ASX       
TSL       	Titanium Sands Limited                            	ASX       
TSN       	TSN                                               	ASX       
TTA       	TTA Holdings Ltd                                  	ASX       
TTB       	Total Brain Limited                               	ASX       
TTC       	Traditional Therapy Clinics Limited               	ASX       
TTI       	Traffic Technologies Ltd                          	ASX       
TTL       	Thin Technologies                                 	ASX       
TTLO      	Transcendence Technologies Limited                	ASX       
TTM       	Titan Minerals Limited                            	ASX       
TTSHA     	Tatts Group Limited                               	ASX       
TTT       	Tritton Resources Ltd                             	ASX       
TTW       	Toptung Ltd                                       	ASX       
TV2       	Tv2u International Limited                        	ASX       
TV2O      	Tv2u International Limited                        	ASX       
TWD       	Tamawood Ltd                                      	ASX       
TWE       	Treasury Wine Estates Limited                     	ASX       
TWEKOA    	Treasury Wine Estates Limited                     	ASX       
TWEKOC    	Treasury Wine Estates Limited                     	ASX       
TWEKOP    	Treasury Wine Estates Limited                     	ASX       
TWEKOS    	Treasury Wine Estates Limited                     	ASX       
TWR       	Tower Ltd                                         	ASX       
TYK       	Tychean Resources Ltd                             	ASX       
TYM       	Tymlez Group Limited                              	ASX       
TYX       	Tyranna Resources Limited                         	ASX       
TYXOC     	Tyranna Resources Limited                         	ASX       
TZL       	TZ Ltd                                            	ASX       
TZN       	Terramin Australia Ltd                            	ASX       
UBA       	UBA                                               	ASX       
UBE       	UBE                                               	ASX       
UBI       	Universal Biosensors Ltd                          	ASX       
UBJ       	UBJ                                               	ASX       
UBN       	Urbanise.com Limited                              	ASX       
UBP       	UBP                                               	ASX       
UBU       	UBU                                               	ASX       
UBW       	UBW                                               	ASX       
UCM       	USCOM Ltd                                         	ASX       
UCW       	Undercoverwear Ltd                                	ASX       
UIL       	Uil Energy Ltd                                    	ASX       
UNL       	United Networks Limited                           	ASX       
UNV       	Universal Coal Plc                                	ASX       
UOS       	United Overseas Australia Ltd                     	ASX       
URB       	Urb Investments Limited                           	ASX       
URF       	Us Masters Residential Property Fund              	ASX       
URFHB     	Us Masters Residential Property Fund              	ASX       
URFHC     	Us Masters Residential Property Fund              	ASX       
URFPA     	Us Masters Residential Property Fund              	ASX       
URW       	Unibail-rodamco-westfield                         	ASX       
USD       	Betashares U.s. Dollar Etf                        	ASX       
USR       	Us Residential Fund                               	ASX       
UTR       	Ultracharge Limited                               	ASX       
UUL       	United Uranium Ltd                                	ASX       
UUV       	Uuv Aquabotix Ltd                                 	ASX       
UUVO      	Uuv Aquabotix Ltd                                 	ASX       
VACF      	VACF                                              	ASX       
VAE       	VAE                                               	ASX       
VAF       	VAF                                               	ASX       
VAH       	Virgin Australia Holdings Limited                 	ASX       
VAL       	Valor Resources Limited                           	ASX       
VALOA     	Valor Resources Limited                           	ASX       
VALOB     	Valor Resources Limited                           	ASX       
VAN       	Vango Mining Limited                              	ASX       
VANOB     	Vango Mining Limited                              	ASX       
VAP       	Vanguard Australian Property Securities Index Etf 	ASX       
VAR       	Variscan Mines Limited                            	ASX       
VAROA     	Variscan Mines Limited                            	ASX       
VAS       	VAS                                               	ASX       
VASBOR    	VASBOR                                            	ASX       
VBS       	Vectus Biosystems Limited                         	ASX       
VCF       	VCF                                               	ASX       
VCX       	Vicinity Centres                                  	ASX       
VCXKOB    	Vicinity Centres                                  	ASX       
VCXKOC    	Vicinity Centres                                  	ASX       
VCXKOD    	Vicinity Centres                                  	ASX       
VDBA      	VDBA                                              	ASX       
VDCO      	VDCO                                              	ASX       
VDGR      	VDGR                                              	ASX       
VDHG      	VDHG                                              	ASX       
VEA       	Veda Advantage Ltd                                	ASX       
VEC       	Vector Capital Ltd                                	ASX       
VEE       	Veem Ltd                                          	ASX       
VELCP     	Vealls CP                                         	ASX       
VELPA     	Vealls PA                                         	ASX       
VEN       	Vintage Energy Ltd                                	ASX       
VEQ       	VEQ                                               	ASX       
VESG      	VESG                                              	ASX       
VEU       	VEU                                               	ASX       
VG1       	Vgi Partners Global Investments Limited           	ASX       
VGB       	Vanguard Australian Government Bond Index Etf     	ASX       
VGE       	VGE                                               	ASX       
VGL       	Volante Group Ltd                                 	ASX       
VGS       	VGS                                               	ASX       
VHT       	Volpara Health Technologies Limited               	ASX       
VHY       	Vanguard Australian Shares High Yield Etf         	ASX       
VHYBOA    	VHYBOA                                            	ASX       
VHYBOB    	VHYBOB                                            	ASX       
VHYBOC    	VHYBOC                                            	ASX       
VHYBOF    	VHYBOF                                            	ASX       
VHYBOG    	VHYBOG                                            	ASX       
VHYBOM    	VHYBOM                                            	ASX       
VHYBOR    	VHYBOR                                            	ASX       
VIA       	ViaGold Capital Ltd                               	ASX       
VIC       	Victory Mines Limited                             	ASX       
VICOA     	Victory Mines Limited                             	ASX       
VIF       	VIF                                               	ASX       
VIG       	Victor Group Holdings Limited                     	ASX       
VII       	Vietnam Industrial Investments Ltd                	ASX       
VIP       	Voltage IP Ltd                                    	ASX       
VISM      	VISM                                              	ASX       
VIV       	Vivid Technology Limited                          	ASX       
VKA       	Viking Ashanti Limited                            	ASX       
VLC       	Vanguard Msci Australian Large Companies Index Etf	ASX       
VLS       	Vita Life Sciences                                	ASX       
VLT       	Vault Intelligence Limited                        	ASX       
VLW       	Villa World Group                                 	ASX       
VLWHA     	Villa World Limited.                              	ASX       
VMC       	Venus Metals Corporation Limited                  	ASX       
VMCOA     	Venus Metals Corporation Limited                  	ASX       
VMG       	VDM Group Ltd                                     	ASX       
VMIN      	VMIN                                              	ASX       
VML       	Vital Metals Ltd                                  	ASX       
VMS       	Venture Minerals Ltd                              	ASX       
VMT       	Vmoto Ltd                                         	ASX       
VMX       	Valmec Limited                                    	ASX       
VMY       	Vimy Resources Limited                            	ASX       
VN8       	Vonex Limited..                                   	ASX       
VN8O      	Vonex Limited..                                   	ASX       
VOC       	Vocus Communications Limited                      	ASX       
VOCKOA    	Vocus Communications Limited                      	ASX       
VOCKOB    	Vocus Communications Limited                      	ASX       
VOCKOD    	Vocus Communications Limited                      	ASX       
VOCKOE    	Vocus Communications Limited                      	ASX       
VOCKOF    	Vocus Communications Limited                      	ASX       
VOCKOG    	Vocus Group Limited                               	ASX       
VOCKOQ    	Vocus Communications Limited                      	ASX       
VOCKOR    	Vocus Group Limited                               	ASX       
VOCKOS    	Vocus Group Limited                               	ASX       
VP7       	Velocity Property Group Limited                   	ASX       
VPC       	Velpic Limited                                    	ASX       
VPCOA     	Velpic Limited                                    	ASX       
VPR       	Volt Power Group Limited                          	ASX       
