NSWX      	FTSE Sweden 30 Index                              	LSE       
NSX       	FTSE Actuaries Fledgling                          	LSE       
NTA       	Northacre Plc                                     	LSE       
NTBR      	Northern Bear Plc                                 	LSE       
NTEA      	Northern Electric Plc                             	LSE       
NTG       	Northgate Plc                                     	LSE       
NTLG      	New Trend Lifestyle Group Plc                     	LSE       
NTN       	Northern 3 Vct Plc                                	LSE       
NTOG      	Nostra Terra Oil and Gas Company Plc              	LSE       
NTQ       	Enteq Upstream Plc                                	LSE       
NTV       	Northern 2 Vct Plc                                	LSE       
NUM       	Numis Corporation Plc                             	LSE       
NUOG      	Nu-Oil and Gas Plc                                	LSE       
NVA       	Novae Group Plc                                   	LSE       
NVT       	Northern Venture Trust Plc                        	LSE       
NVTK      	Oao Novatek                                       	LSE       
NWBD      	National Westminster Bank Plc                     	LSE       
NWF       	Nwf Group Plc                                     	LSE       
NWT       	Newmark Security Plc                              	LSE       
NXKE      	Nomura Next Funds Irelan                          	LSE       
NXKU      	Nomura Next Funds Irelan                          	LSE       
NXR       	Norcros Plc                                       	LSE       
NXT       	Next Plc                                          	LSE       
NYO       	Nyota Minerals Ld                                 	LSE       
NZDP      	ETFS Foreign Exchange Limited                     	LSE       
OAP3      	Octopus Apollo Vct Plc                            	LSE       
OAPD      	Octopus Apollo Vct Plc                            	LSE       
OBT       	Obtala Resources Limited                          	LSE       
OCDO      	Ocado Group Plc                                   	LSE       
OCL       	Oakley Capital Investments Limited                	LSE       
OCN       	Ocean Wilsons [Holdings] Ld                       	LSE       
OCT       	Octagonal Plc                                     	LSE       
ODX       	Omega Diagnostics Group Plc                       	LSE       
OEC1      	Octopus Eclipse Vct Plc                           	LSE       
OEX       	Oilex Ld                                          	LSE       
OGDC      	Oil and Gas Development                           	LSE       
OGN       	Origin Enterprises Plc                            	LSE       
OGZD      	Oao Gazprom                                       	LSE       
OIG       	Oryx International Growth Fund Ltd                	LSE       
OILB      	ETFS Oil Securities Ld                            	LSE       
OILD      	UBS Ag                                            	LSE       
OILL      	UBS Ag                                            	LSE       
OILW      	ETFS Oil Securities Ld                            	LSE       
OKEY      	O'Key Group S.A.                                  	LSE       
OLBP      	ETFS Oil Securities Ld                            	LSE       
OLWP      	ETFS Oil Securities Ld                            	LSE       
OMG       	Omg Plc                                           	LSE       
OMI       	Orosur Mining Inc                                 	LSE       
OMIP      	One Media Ip Group Plc                            	LSE       
OML       	Old Mutual Plc                                    	LSE       
ONC       	Oncimmune Holdings Plc                            	LSE       
ONEV      	Oneview Group Plc                                 	LSE       
ONL       	On-Line Plc                                       	LSE       
ONZ       	Onzima Ventures                                   	LSE       
OOA       	Octopus Aim Vct Plc                               	LSE       
OPG       	Opg Power Ventures Plc                            	LSE       
OPHR      	Ophir Energy Plc                                  	LSE       
OPM       	1Pm Plc                                           	LSE       
OPRA      	Opera Investments Plc                             	LSE       
OPTG      	Multi Units Luxembourg                            	LSE       
OPTI      	Optibiotix Health Plc                             	LSE       
ORCH      	Orchard Funding Group Pl                          	LSE       
ORCP      	Oracle Coalfields Plc                             	LSE       
ORE       	Orogen Gold Plc                                   	LSE       
ORM       	Ormonde Mining Plc                                	LSE       
OSB       	Onesavings Bank Plc                               	LSE       
OSB1      	ETFS Oil Securities Limi                          	LSE       
OSB2      	ETFS Oil Securities Limi                          	LSE       
OSB3      	ETFS Oil Securities Limi                          	LSE       
OSEC      	Octopus Second Aim Vct Plc                        	LSE       
OSI       	Osirium Technologies Plc                          	LSE       
OSU       	Orsu Metals Corporation                           	LSE       
OSW1      	ETFS Oil Securities Limi                          	LSE       
OSW2      	ETFS Oil Securities Limi                          	LSE       
OSW3      	ETFS Oil Securities Limi                          	LSE       
OTB       	On The Beach Group Plc                            	LSE       
OTC       	Ortac Resources Limited                           	LSE       
OTMT      	Orascom Telecom Media An                          	LSE       
OTPD      	Otp Bank Plc                                      	LSE       
OTT       	Oxford Technology 3 Venture Capital Trus          	LSE       
OTV2      	Octopus Titan Vct Plc                             	LSE       
OUT       	Outsourcery Plc                                   	LSE       
OVG       	Ovoca Gold Plc                                    	LSE       
OXB       	Oxford Biomedica Plc                              	LSE       
OXF       	Oxford Technology 4 Venture Capital Trus          	LSE       
OXH       	Oxford Technology 2 Venture Capital Trus          	LSE       
OXIG      	Oxford Instruments Plc                            	LSE       
OXP       	Oxford Pharmascience Group Plc                    	LSE       
OXT       	Oxford Technology Venture Capital Trust           	LSE       
P2P       	P2P Global Investments P                          	LSE       
PAA       	Parallel Media Group Plc                          	LSE       
PAC       	Pacific Assets Trust Plc                          	LSE       
PACL      	Pacific Alliance China Land Limited               	LSE       
PADV      	SSGA SPDR ETFS Europe I                           	LSE       
PAF       	Pan African Resources Plc                         	LSE       
PAG       	Paragon Group of Companies Plc                    	LSE       
PAG1      	Paragon Group of Compani                          	LSE       
PAG2      	Paragon Group of Compani                          	LSE       
PAG3      	Paragon Group of Compani                          	LSE       
PAGR      	ETFS Hedged Commodity Securities Limited          	LSE       
PAL       	Equatorial Palm Oil Plc                           	LSE       
PALL      	ETFS Hedged Commodity Securities Limited          	LSE       
PANR      	Pantheon Resources Plc                            	LSE       
PAY       	Paypoint Plc                                      	LSE       
PAYS      	Paysafe Group Plc                                 	LSE       
PBRT      	ETFS Hedged Commodity Securities Limited          	LSE       
PBUL      	ETFS Hedged Commodity Securities Limited          	LSE       
PCA       	Palace Capital Plc                                	LSE       
PCF       	Private & Commercial Finance Group Plc            	LSE       
PCFS      	Polar Capital Global Fin                          	LSE       
PCFT      	Polar Capital Global Fin                          	LSE       
PCGE      	Pcg Entertainment Plc                             	LSE       
PCGH      	Polar Cap Glbl Health Gwth&Inc Tst Plc            	LSE       
PCOP      	ETFS Hedged Commodity Securities Limited          	LSE       
PCRD      	ETFS Hedged Commodity Securities Limited          	LSE       
PCT       	Polar Capital Technology Trust Plc                	LSE       
PCTN      	Picton Property Income Ld                         	LSE       
PCTZ      	Picton Zdp Limited                                	LSE       
PDG       	Pendragon Plc                                     	LSE       
PDL       	Petra Diamonds Limited                            	LSE       
PEBI      	Port Erin Biopharma Investments Limited           	LSE       
PEG       	Petards Group Plc                                 	LSE       
PEL       	Paragon Entertainment Limited                     	LSE       
PEN       	Pennant International Group Plc                   	LSE       
PENR      	ETFS Hedged Commodity Securities Limited          	LSE       
PEQ       	Private Equity Investor Plc                       	LSE       
PET       	Petrel Resources Plc                              	LSE       
PETS      	Pets At Home Group Plc                            	LSE       
PEW       	Premier Energy & Water Trust Plc                  	LSE       
PEY       	Princess Private Equity Holding Limited           	LSE       
PEZ       	Pewt Securities 2020 Plc                          	LSE       
PF16      	Provident Financial Plc                           	LSE       
PF17      	Provident Financial Plc                           	LSE       
PF21      	Provident Financial Plc                           	LSE       
PFAG      	ETFS Hedged Commodity Securities Limited          	LSE       
PFAND01   	FTSE Pfandbrief Total Pr                          	LSE       
PFAND03   	FTSE Pfandbrief Price In                          	LSE       
PFAND05   	FTSE Pfandbrief Price In                          	LSE       
PFAND07   	FTSE Pfandbrief Price In                          	LSE       
PFAND10   	FTSE Pfandbrief Price In                          	LSE       
PFAND30   	FTSE Pfandbrief Price In                          	LSE       
PFC       	Petrofac Limited                                  	LSE       
PFD       	Premier Foods Plc                                 	LSE       
PFEN      	ETFS Hedged Commodity Securities Limited          	LSE       
PFG       	Provident Financial Plc                           	LSE       
PFG7      	Provident Financial Plc                           	LSE       
PFL       	Premier Farnell Plc                               	LSE       
PFP       	Pathfinder Minerals Plc                           	LSE       
PFP1      	Places For People Capita                          	LSE       
PFP5      	Places For People Capita                          	LSE       
PFZ       	Pfizer Incorporated                               	LSE       
PGD       	Patagonia Gold Plc                                	LSE       
PGH       	Personal Group Holdings Plc                       	LSE       
PGOO      	Proven Growth & Income Vct Plc                    	LSE       
PGY       	Progility Plc                                     	LSE       
PHAG      	ETFS Metal Securities Ld                          	LSE       
PHAU      	ETFS Metal Securities Limited                     	LSE       
PHC       	Plant Health Care Plc                             	LSE       
PHD       	Proactis Holdings Plc                             	LSE       
PHE       	Powerhouse Energy Group Plc                       	LSE       
PHGP      	ETFS Metal Securities Ld                          	LSE       
PHI       	Pacific Horizon Investment Trust Plc              	LSE       
PHNX      	Phoenix Group Holdings                            	LSE       
PHO       	Peel Hotels Plc                                   	LSE       
PHOR      	Ojsc Phosagro                                     	LSE       
PHP       	Primary Health Properties Plc                     	LSE       
PHP1      	Primary Health Propertie                          	LSE       
PHPD      	ETFS Metal Securities Ld                          	LSE       
PHPM      	ETFS Metal Securities Ld                          	LSE       
PHPP      	ETFS Metal Securities Ld                          	LSE       
PHPT      	ETFS Metal Securities Ld                          	LSE       
PHSC      	Phsc Plc                                          	LSE       
PHSP      	ETFS Metal Securities Ld                          	LSE       
PHST      	Ojsc Pharmstandard                                	LSE       
PHTM      	Photo-Me International Plc                        	LSE       
PIER      	Brighton Pier Group Plc (The)                     	LSE       
PIK       	Pik Group                                         	LSE       
PIL       	Produce Investments Plc                           	LSE       
PILR      	Pacific Industrial & Logistics REIT Plc           	LSE       
PIM       	Plant Impact Plc                                  	LSE       
PIMT      	ETFS Hedged Commodity Securities Limited          	LSE       
PIN       	Pantheon International Participations Pl          	LSE       
PINN      	Pinnacle Technology Group Plc                     	LSE       
PINR      	Pantheon International Participations Pl          	LSE       
PIP       	Pipehawk Plc                                      	LSE       
PIRI      	Pires Investments Plc                             	LSE       
PJF       	Prospect Japan Fund Ld                            	LSE       
PKG       	Park Group Plc                                    	LSE       
PLA       	Plastics Capital Plc                              	LSE       
PLAZ      	Plaza Centers N.V.                                	LSE       
PLI       	Perpetual Income and Growth Investment T          	LSE       
PLMO      	Polemos Plc                                       	LSE       
PLND      	Poundland Group Plc                               	LSE       
PLP       	Polypipe Group Plc                                	LSE       
PLTM      	ETFS Commodity Securities Limited                 	LSE       
PLUS      	Plus500 Ltd                                       	LSE       
PMEA      	Pme African Infrastructure Opportunities          	LSE       
PMG       	Parkmead Group [The] Plc                          	LSE       
PML       	Papua Mining Plc                                  	LSE       
PMO       	Premier Oil Plc                                   	LSE       
PMO1      	Premier Oil Plc                                   	LSE       
PMP       	Portmeirion Group Plc                             	LSE       
PMR       	Panmure Gordon & Co. Plc                          	LSE       
PNA       	Penna Consulting Plc                              	LSE       
PNGA      	ETFS Hedged Commodity Securities Limited          	LSE       
PNL       	Personal Assets Trust Plc                         	LSE       
PNN       	Pennon Group Plc                                  	LSE       
PNS       	Panther Securities Plc                            	LSE       
POBA      	Nationwide Building Society                       	LSE       
POG       	Petropavlovsk Plc                                 	LSE       
POL       	Polo Resources Limited                            	LSE       
POLR      	Polar Capital Holdings Plc                        	LSE       
POLY      	Polymetal International Plc                       	LSE       
POS       	Plexus Holdings Plc                               	LSE       
POWR      	Powerflute Oyj                                    	LSE       
PPB       	Paddy Power Betfair Plc                           	LSE       
PPC       	President Petroleum Company Plc                   	LSE       
PPG       	Plutus Powergen Plc                               	LSE       
PPH       	Pphe Hotel Group Limited                          	LSE       
PPIX      	Prophotonix Limited                               	LSE       
PPMT      	ETFS Hedged Commodity Securities Limited          	LSE       
PPS       	Proton Power Systems Plc                          	LSE       
PREM      	Premier African Minerals                          	LSE       
PRES      	Pressure Technologies Plc                         	LSE       
PRJC      	Project Finance Investments Ltd                   	LSE       
PRM       	Proteome Sciences Plc                             	LSE       
PROG      	Pro Global Insurance Sol                          	LSE       
PROJ      	Project Finance Investments Ltd                   	LSE       
PROX      	Proxama Plc                                       	LSE       
PRP       	Prime People Plc                                  	LSE       
PRS       	Paternoster Resources Plc                         	LSE       
PRSM      	Blue Prism Group Plc                              	LSE       
PRTC      	Puretech Health Plc                               	LSE       
PRU       	Prudential Plc                                    	LSE       
PRUD      	Prudential Plc                                    	LSE       
PRUS      	Powershares Glbal Funds                           	LSE       
PRV       	Porvair Plc                                       	LSE       
PSBW      	Powershares Glbal Funds Ireland Plc Powershares   	LSE       
PSDL      	Phoenix Spree Deutschlan                          	LSE       
PSES      	Powershares Glbal Funds Ireland Plc               	LSE       
PSGA      	Powershares Glbal Funds Ireland Plc               	LSE       
PSHO      	Powershares Glbal Funds Ireland Plc               	LSE       
PSL       	Photonstar Led Group Plc                          	LSE       
PSN       	Persimmon Plc                                     	LSE       
PSON      	Pearson Plc                                       	LSE       
PSPI      	Public Service Properties Investments Li          	LSE       
PSRE      	Powershares Glbal Funds Ireland Plc               	LSE       
PSRF      	Powershares Glbal Funds Ireland Plc               	LSE       
PSRM      	Powershares Glbal Funds Ireland Plc               	LSE       
PSRU      	Powershares Glbal Funds Ireland Plc               	LSE       
PSRW      	Powershares Glbal Funds Ireland Plc               	LSE       
PSSP      	Powershares Glbal Funds Ireland Plc               	LSE       
PSVR      	ETFS Hedged Commodity Securities Limited          	LSE       
PSWC      	Powershares Glbal Funds Ireland Plc               	LSE       
PTCM      	Porta Communications Plc                          	LSE       
PTD       	Pittards Plc                                      	LSE       
PTEC      	Playtech Limited                                  	LSE       
PTF       	Phaunos Timber Fund Limited                       	LSE       
PTGOV01   	FTSE Portugal Government                          	LSE       
PTO       	Publishing Technology Plc                         	LSE       
PTR       	Petroneft Resources Plc                           	LSE       
PTSG      	Premier Technical Servic                          	LSE       
PTY       	Parity Group Plc                                  	LSE       
PUB       	Punch Taverns Plc                                 	LSE       
PUM9      	Puma Vct 9 Plc                                    	LSE       
PURE      	Purecircle Limited                                	LSE       
PURI      	Puricore Plc                                      	LSE       
PURP      	Purplebricks Group Plc                            	LSE       
PUS3      	ETFS Foreign Exchange Li                          	LSE       
PUS5      	ETFS Foreign Exchange Limited                     	LSE       
PVCS      	Pv Crystalox Solar Plc                            	LSE       
PVG       	Premier Veterinary Group                          	LSE       
PVN       	Proven Vct Plc                                    	LSE       
PWS       	Pinewood Shepperton Plc                           	LSE       
PXOG      	Prospex Oil and Gas Plc                           	LSE       
PXS       	Provexis Plc                                      	LSE       
PYC       	Physiomics Plc                                    	LSE       
PZC       	Pz Cussons Plc                                    	LSE       
QDII1     	Ftse/Xinhua Hong Kong In                          	LSE       
QDII2     	Ftse/Xinhua Hong Kong In                          	LSE       
QDIV      	Ishares II Plc                                    	LSE       
QFI       	Quadrise Fuels International Plc                  	LSE       
QIF       	Qatar Investment Fund Plc                         	LSE       
QP        	Quantum Pharma                                    	LSE       
QQ        	qinetiq group ord gbp0                            	LSE       
QQQ3      	Boost Issuer Public Limi                          	LSE       
QQQS      	Boost Issuer Public Limi                          	LSE       
QRT       	Quarto Group Incorporated                         	LSE       
QTX       	Quartix Holdings Plc                              	LSE       
QUID      	Pimco Fixed Income Source ETFS Plc                	LSE       
QXT       	Quixant Plc                                       	LSE       
R0UK      	FTSE E/N Deexukcap                                	LSE       
R1CPF     	Russell 1000 Comprehensive Factor Index           	LSE       
R1LB      	Russell 1000 Low Beta Equal Weight Index          	LSE       
R1MFF     	Russell 1000 Momentum Focused Factor Ind          	LSE       
R1MFFR    	Russell 1000 Momentum Focused Factor Net          	LSE       
R1VFF     	Russell 1000 Low Volatility Focused Fact          	LSE       
R1VFFR    	Russell 1000 Low Volatility Focused Fact          	LSE       
R1YFF     	Russell 1000 Yield Focused Factor Index           	LSE       
R1YFFR    	Russell 1000 Yield Focused Factor Net Ta          	LSE       
R2SC      	SSGA SPDR ETFS Europe II                          	LSE       
R2US      	SSGA SPDR ETFS Europe II                          	LSE       
R3TM      	SSGA SPDR ETFS Europe II                          	LSE       
R4E       	Reach4Entertainment Ente                          	LSE       
RAME      	Rame Energy Plc                                   	LSE       
RAT       	Rathbone Brothers Plc                             	LSE       
RB        	Reckitt Benckiser                                 	LSE       
RB15      	Royal Bank of Scotland P                          	LSE       
RB51      	Royal Bank of Scotland P                          	LSE       
RB81      	Royal Bank of Scotland P                          	LSE       
RBD       	Reabold Resources Plc                             	LSE       
RBG       	Revolution Bars Group Pl                          	LSE       
RBN       	Robinson Plc                                      	LSE       
RBPI      	Royal Bank of Scotland Plc                        	LSE       
RBPX      	Royal Bank of Scotland Plc                        	LSE       
RBRP      	Royal Bank of Scotland Plc                        	LSE       
RBS       	Royal Bank of Scotland Group Plc                  	LSE       
RC2       	Reconstruction Capital I                          	LSE       
RCDO      	Ricardo Plc                                       	LSE       
RCHA      	Rothschilds Continuation Finance [C.I.]           	LSE       
RCI       	Rapidcloud International                          	LSE       
RCN       	Redcentric Plc                                    	LSE       
RCP       	Rit Capital Partners Plc                          	LSE       
RDI       	Redefine International P.L.C.                     	LSE       
RDL       	Ranger Direct Lending Fu                          	LSE       
RDSA      	Royal Dutch Shell Plc                             	LSE       
RDSB      	Royal Dutch Shell Plc                             	LSE       
RDT       	Rosslyn Data Technologie                          	LSE       
RDW       	Redrow Plc                                        	LSE       
RDXS      	Source Markets Public Limited Company             	LSE       
RE        	R.e.a. Holdings                                   	LSE       
RE.B      	R.E.A. Holdings Plc                               	LSE       
REAC      	React Energy Plc                                  	LSE       
REAT      	React Group Plc                                   	LSE       
REC       	Record Plc                                        	LSE       
RECI      	Real Estate Credit Investments Pcc Limit          	LSE       
RECP      	Real Estate Credit Investments Pcc Limit          	LSE       
RED       	Redt Energy Plc                                   	LSE       
REDD      	Redde Plc                                         	LSE       
REDT      	Red24 Plc                                         	LSE       
REDX      	Redx Pharma Plc                                   	LSE       
REL       	Reed Elsevier Plc                                 	LSE       
REM       	Rare Earth Minerals Plc                           	LSE       
RENE      	Reneuron Group Plc                                	LSE       
REVO      	Revolymer Plc                                     	LSE       
REX       	Rexam Plc                                         	LSE       
RGD       	The Real Good Food Company Plc                    	LSE       
RGL       	Regional REIT Limited                             	LSE       
RGM       	Regency Mines Plc                                 	LSE       
RGP       	Ross Group Plc                                    	LSE       
RGU       	Regus Plc                                         	LSE       
RHL       	Redhall Group Plc                                 	LSE       
RIC       	Richoux Group Plc                                 	LSE       
RICA      	Ruffer Investment Company Ltd                     	LSE       
RICO      	Ricoh Co Ltd                                      	LSE       
RIFS      	Reliance Infrastructure                           	LSE       
RIGD      	Reliance Industries Limi                          	LSE       
RIIC      	Rights & Issues Investment Trust Plc              	LSE       
RIII      	Rights & Issues Investment Trust Plc              	LSE       
RIO       	Rio Tinto Plc                                     	LSE       
RIOB      	FTSE Russia Iob Index                             	LSE       
RIOL      	Lyxor International Asse                          	LSE       
RIOU      	Lyxor International Asse                          	LSE       
RIV       	River and Mercantile Gro                          	LSE       
RKH       	Rockhopper Exploration Plc                        	LSE       
RKMD      	Ojsc Rostelecom                                   	LSE       
RLD       	Richland Resources Ltd                            	LSE       
RLE       	Real Estate Investors Plc                         	LSE       
RLH       	Red Leopard Holdings Plc                          	LSE       
RM        	RM Plc                                            	LSE       
RM2       	Rm2 International S.A.                            	LSE       
RM38      	Royal Bank of Scotland P                          	LSE       
RMA       	Rasmala Plc                                       	LSE       
RMG       	Royal Mail Plc                                    	LSE       
RMM       	Rambler Metals & Mining Plc                       	LSE       
RMMC      	River and Mercantile UK                           	LSE       
RMP       	Red Emperor Resources NL                          	LSE       
RMV       	Rightmove Plc                                     	LSE       
RNK       	Rank Group Plc                                    	LSE       
RNO       	Renold Plc                                        	LSE       
RNWH      	Renew Holdings Plc                                	LSE       
RNXGUS    	FTSE  Epra/Nareit Global                          	LSE       
ROBE      	Go Ucits ETF Solutions P                          	LSE       
ROBG      	Go Ucits ETF Solutions P                          	LSE       
ROBO      	Go Ucits ETF Solutions P                          	LSE       
ROL       	Rotala Plc                                        	LSE       
ROR       	Rotork Plc                                        	LSE       
ROSE      	Rose Petroleum Plc                                	LSE       
ROSN      	Ojsc Oc Rosneft                                   	LSE       
RPC       	RPC Group Plc                                     	LSE       
RPO       	Ruspetro Plc                                      	LSE       
RPS       	Rps Group Plc                                     	LSE       
RPT       	Regal Petroleum Plc                               	LSE       
RQFI      	DB X-Trackers                                     	LSE       
RQIH      	Randall & Quilter Investment Holdings Pl          	LSE       
RR        	Rolls Royce Group                                 	LSE       
RRE       	Rockrose Energy Plc                               	LSE       
RRL       	Range Resources Limited                           	LSE       
RRR       	Red Rock Resources Plc                            	LSE       
RRS       	Randgold Resources Ld                             	LSE       
RS2G      	Amundi ETF                                        	LSE       
RS2U      	Amundi ETF                                        	LSE       
RS72      	Royal Bank of Scotland P                          	LSE       
RS74      	Royal Bank of Scotland P                          	LSE       
RS98      	Royal Bank of Scotland P                          	LSE       
RSA       	Rsa Insurance Group Plc                           	LSE       
RSAB      	Rsa Insurance Group Plc                           	LSE       
RSE       	Riverstone Energy Limite                          	LSE       
RSS       	Rab Special Situations Company Limited            	LSE       
RST       	Restore Plc                                       	LSE       
RSTI      	Joint Stock Company Ross                          	LSE       
RSTR      	Rightster Group Plc                               	LSE       
RSW       	Renishaw Plc                                      	LSE       
RT40      	Royal Bank of Scotland P                          	LSE       
RT62      	Royal Bank of Scotland P                          	LSE       
RT82      	Royal Bank of Scotland P                          	LSE       
RTC       	Rtc Group Plc                                     	LSE       
RTN       	Restaurant Group Plc                              	LSE       
RTO       	Rentokil Initial Plc                              	LSE       
RTWO      	Etfx Fund Company Plc                             	LSE       
RTWP      	Etfx Fund Company Plc                             	LSE       
RTYS      	Source Markets Public Limited Company             	LSE       
RU13      	Royal Bank of Scotland P                          	LSE       
RU2K      	Lyxor International Asse                          	LSE       
RUR       	Rurelec Plc                                       	LSE       
RUS       	Raven Russia Ltd                                  	LSE       
RUSG      	Lyxor International Asse                          	LSE       
RUSL      	Lyxor International Asse                          	LSE       
RUSP      	Raven Russia Ltd                                  	LSE       
RUSU      	Lyxor International Asse                          	LSE       
RUSV      	Lyxor International Asse                          	LSE       
RUSW      	Raven Russia Ltd                                  	LSE       
RWA       	Robert Walters Plc                                	LSE       
RWS       	Rws Holdings Plc                                  	LSE       
RXB       	Rex Bionics Plc                                   	LSE       
RXP       	Roxi Petroleum Plc                                	LSE       
RYA       	Ryanair Holdings Plc                              	LSE       
S100      	Source Markets Public Li                          	LSE       
S250      	Source Markets Public Li                          	LSE       
S32       	South32 Limited                                   	LSE       
S400      	Source Markets Public Li                          	LSE       
S600      	Source Markets Public Li                          	LSE       
S6EW      	Ossiam Lux                                        	LSE       
S7XP      	Source Markets Public Li                          	LSE       
SAA       	M&C Saatchi Plc                                   	LSE       
SAAA      	Ishares Vi Plc (The Comp                          	LSE       
SAB       	Sabmiller Plc                                     	LSE       
SAC       	Sacoil Holdings Limited                           	LSE       
SAD       	ETFS Foreign Exchange Limited                     	LSE       
SAF       	Safeland Plc                                      	LSE       
SAFE      	Safestore Holdings Plc                            	LSE       
SAG       	Sagentia Group Plc                                	LSE       
SAGA      	Saga Plc                                          	LSE       
SAGR      	ETFS Commodity Securities Limited                 	LSE       
SAL       	Spaceandpeople Plc                                	LSE       
SALL      	ETFS Commodity Securities Limited                 	LSE       
SALV      	Salvarx Group Plc                                 	LSE       
SAN       	Santander UK Plc                                  	LSE       
SANB      	Santander UK Plc                                  	LSE       
SAP3      	ETFS Foreign Exchange Li                          	LSE       
SAPO      	South African Property Opportunities Plc          	LSE       
SAR       	Sareum Holdings Plc                               	LSE       
SAT       	Satellite Solutions Worl                          	LSE       
SAU3      	ETFS Foreign Exchange Li                          	LSE       
SAUP      	ETFS Foreign Exchange Limited                     	LSE       
SAUS      	Ishares III Plc                                   	LSE       
SAV       	Savannah Resources Plc                            	LSE       
SBEG      	UBS ETF                                           	LSE       
SBEM      	UBS ETF                                           	LSE       
SBER      	Sberbank of Russia                                	LSE       
SBID      	State Bank of India                               	LSE       
SBIO      	Source Markets Public Li                          	LSE       
SBLM      	Sable Mining Africa Ld                            	LSE       
SBRT      	ETFS Commodity Securities Limited                 	LSE       
SBRY      	Sainsbury [J] Plc                                 	LSE       
SBS       	Source Bioscience Plc                             	LSE       
SBUL      	ETFS Commodity Securities Limited                 	LSE       
SBUY      	Powershares Glbal Funds                           	LSE       
SC99      	Sga Societe Generale Acc                          	LSE       
SCAD      	ETFS Foreign Exchange Limited                     	LSE       
SCAM      	Scottish American Investment Co. Plc              	LSE       
SCDN      	FTSE Developed Small Cap                          	LSE       
SCDNCH    	FTSE Small Cap Net Chf I                          	LSE       
SCDNEU    	FTSE Small Cap Net EUR I                          	LSE       
SCDNUK    	FTSE Small Cap Net Gbp I                          	LSE       
SCDP      	ETFS Foreign Exchange Limited                     	LSE       
SCE       	Surface Transforms Plc                            	LSE       
SCF       	Schroder Income Growth Fund Plc                   	LSE       
SCFE      	ETFS Commodity Securities Limited                 	LSE       
SCH       	Safecharge International                          	LSE       
SCHF      	ETFS Foreign Exchange Limited                     	LSE       
SCHO      	Scholium Group Plc                                	LSE       
SCHP      	ETFS Foreign Exchange Limited                     	LSE       
SCIN      	Scottish Investment Trust Plc                     	LSE       
SCL       	Schlumberger Ld                                   	LSE       
SCLP      	Scancell Holdings Plc                             	LSE       
SCNY      	ETFS Foreign Exchange Limited                     	LSE       
SCOC      	ETFS Commodity Securities Limited                 	LSE       
SCOM      	ETFS Foreign Exchange Li                          	LSE       
SCOP      	ETFS Commodity Securities Limited                 	LSE       
SCOV      	Ishares III Plc                                   	LSE       
SCP       	Schroder UK Mid Cap Fund Plc                      	LSE       
SCPA      	Scapa Group Plc                                   	LSE       
SCS       	Scs Group Plc                                     	LSE       
SCT       	Softcat Plc                                       	LSE       
SCYP      	ETFS Foreign Exchange Limited                     	LSE       
SD12      	FTSE Dev Small Cap Ex No                          	LSE       
SD13      	FTSE Dev Europe Small CA                          	LSE       
SD22      	Sga Societe Generale Acc                          	LSE       
SDEU      	Ishares V Public Limited Company                  	LSE       
SDHG      	Ishares IV Plc                                    	LSE       
SDHY      	Ishares IV Plc                                    	LSE       
SDI       	Scientific Digital Imaging Plc                    	LSE       
SDIG      	Ishares IV Plc                                    	LSE       
SDL       	Sdl Plc                                           	LSE       
SDM       	Stadium Group Plc                                 	LSE       
SDP       	Schroder Asiapacific Fund Plc                     	LSE       
SDR       	Schroders Plc                                     	LSE       
SDRC      	Schroders Plc                                     	LSE       
SDU       	Schroder UK Growth Fund Plc                       	LSE       
SDV       	Small Companies Dividend Trust Plc                	LSE       
SDVZ      	Small Companies Zdp Plc                           	LSE       
SDX       	Sdx Energy Inc.                                   	LSE       
SDY       	Speedy Hire Plc                                   	LSE       
SE15      	Ishares III Plc                                   	LSE       
SEAG      	Ishares III Plc                                   	LSE       
SEC       	Strategic Equity Capital Plc                      	LSE       
SEDY      	Ishares V Public Limited Company                  	LSE       
SEE       	Seeing Machines Limited                           	LSE       
SEGA      	Ishares III Plc                                   	LSE       
SEMA      	Ishares III Plc                                   	LSE       
SEMB      	Ishares II Plc                                    	LSE       
SEMH      	SSGA SPDR ETFS Europe II                          	LSE       
SEML      	Ishares III Plc                                   	LSE       
SEMS      	Ishares III Plc                                   	LSE       
SEN       	Senterra Energy Plc                               	LSE       
SEP       	Standard Life European Private Equity TR          	LSE       
SEPL      	Seplat Petroleum Develop                          	LSE       
SEPU      	Sepura Plc                                        	LSE       
SEQI      	Sequoia Economic Infrast                          	LSE       
SERE      	Schroder European Real Estate Investment          	LSE       
SERV      	Servelec Group Plc                                	LSE       
SESP      	Ishares V Public Limited Company                  	LSE       
SEU3      	ETFS Foreign Exchange Li                          	LSE       
SEU5      	Sg Issuer                                         	LSE       
SEUC      	SSGA SPDR ETFS Europe I                           	LSE       
SEUP      	ETFS Foreign Exchange Limited                     	LSE       
SEUR      	ETFS Foreign Exchange Limited                     	LSE       
SEV       	Servision Plc                                     	LSE       
SEY       	Sterling Energy Plc                               	LSE       
SF05      	Sga Societe Generale Acc                          	LSE       
SF06      	Sga Societe Generale Acc                          	LSE       
SF47      	Sga Societe Generale Acc                          	LSE       
SF84      	Sga Societe Generale Acc                          	LSE       
SF87      	Sga Societe Generale Acc                          	LSE       
SF99      	Sga Societe Generale Acc                          	LSE       
SFE       	Safestyle UK Plc                                  	LSE       
