0GWG      	WIHLBORG FASTIGHETER AB(PUBL) NPV                 	LSE       
0GWL      	SAAB AB SER`B`NPV                                 	LSE       
0GWS      	BILLERUD AB NPV                                   	LSE       
0GWV      	IFS AB SER`B`NPV                                  	LSE       
0GX4      	BEIJER ALMA AB SER`B`NPV                          	LSE       
0GXJ      	MODERN TIMES GROUP(MTG) SER`B`NPV                 	LSE       
0GY8      	AEFFE SPA EUR0.25                                 	LSE       
0GYM      	ACKERMANS NPV(POST SPLIT)                         	LSE       
0GYX      	ANOTO GROUP AB NPV                                	LSE       
0GZB      	PROBI AB NPV                                      	LSE       
0GZK      	IBA(ION BEAM APPLICATIONS) NPV(POST SPLIT)        	LSE       
0GZV      	GETINGE AB SER`B`NPV                              	LSE       
0GZX      	DIASORIN S.P.A. EUR1                              	LSE       
0H00      	BANCO DE SABADELL SA EUR0.125                     	LSE       
0H0G      	SWECO AB SER`B`NPV                                	LSE       
0H0N      	CONCORDIA MARITIME AB `B`NPV                      	LSE       
0H0U      	SENSYS TRAFFIC AB NPV                             	LSE       
0H13      	INDUSTRIVARDEN AB SER`A`NPV                       	LSE       
0H14      	NET INSIGHT NPV SER`B`                            	LSE       
0H1Z      	QIAGEN NV EUR0.01                                 	LSE       
0H2O      	MELKER SCHORLING AB NPV                           	LSE       
0H2Z      	FASTIGHETS BALDER AB NPV                          	LSE       
0H30      	INDUTRADE AB NPV                                  	LSE       
0H34      	SKISTAR AB SER`B`NPV                              	LSE       
0H38      	PRICER AB SER`B`NPV                               	LSE       
0H3Q      	DEUTSCHE POST AG NPV(REGD)                        	LSE       
0H3T      	DEUTSCHE BOERSE AG NPV                            	LSE       
0H3X      	LINDE AG NPV                                      	LSE       
0H4A      	DEUTSCHE LUFTHANSA AG NPV                         	LSE       
0H4N      	GAMESA CORPORACION TECNOLOGICA SA ORD EUR0.17     	LSE       
0H59      	ACCOR EUR3                                        	LSE       
0H65      	JUVENTUS FOOTBALL CLUB SPA EUR0.10                	LSE       
0H6I      	TELECOM ITALIA SPA(NEW) EUR0.55                   	LSE       
0H6T      	SWEDBANK AB SER`A`NPV                             	LSE       
0H6X      	TELIASONERA AB NPV                                	LSE       
0H7B      	WINCOR NIXDORF NPV                                	LSE       
0H7D      	DEUTSCHE BANK AG ORD NPV(REGD)                    	LSE       
0H7I      	LANXESS AG NPV                                    	LSE       
0H7O      	BANKINTER SA EUR0.30(REGD)                        	LSE       
0H9P      	INTRUM JUSTITIA AB NPV                            	LSE       
0H9X      	FRESENIUS MEDICAL CARE AG & CO.KGAA NPV           	LSE       
0HA0      	RWE AG(NEU) NPV`A`                                	LSE       
0HA8      	CORPORACION FINANCIERA ALBA EUR1                  	LSE       
0HA9      	INDRA SISTEMAS S.A EUR0.20'A'                     	LSE       
0HAA      	FOMENTO DE CONSTRUCCIONES Y CONTRA EUR1           	LSE       
0HAC      	ACS ACTIVIDADES DE CONSTRUCCION Y ORD EUR0.5      	LSE       
0HAF      	NOKIA CORP NPV0.06                                	LSE       
0HAG      	SAMPO SER'A'NPV                                   	LSE       
0HAH      	FORTUM OYJ EUR3.40                                	LSE       
0HAI      	CREDIT AGRICOLE EUR3                              	LSE       
0HAN      	BOUYGUES EUR1                                     	LSE       
0HAR      	AXA EUR2.29                                       	LSE       
0HAT      	PERNOD-RICARD NPV                                 	LSE       
0HAU      	LVMH MOET-HENNESSY LOUIS VUITTON EUR0.30          	LSE       
0HAZ      	CAP GEMINI EUR8                                   	LSE       
0HB1      	CASINO GUICHARD-PERRACHON EUR1.53                 	LSE       
0HB2      	LAGARDERE GROUP S.C.A. EUR6.10(REGD)              	LSE       
0HB4      	DASSAULT SYSTEMES SA EUR1                         	LSE       
0HB5      	BNP PARIBAS EUR2                                  	LSE       
0HBA      	EDF EUR0.50                                       	LSE       
0HBC      	INTESA SANPAOLO SPA EUR0.52                       	LSE       
0HBF      	MEDIOBANCA SPA EUR0.50                            	LSE       
0HBO      	GRUPPO EDITORIALE L'ESPRESSO EUR0.15              	LSE       
0HBP      	HENNES & MAURITZ AB NPV 'B'                       	LSE       
0HBT      	SKANSKA AB SER'B'NPV                              	LSE       
0HBY      	SKANDINAVISKA ENSKILDA BANKEN SER'A'NPV           	LSE       
0HC0      	SANDVIK AB NPV                                    	LSE       
0HDJ      	MEKONOMEN AB NPV                                  	LSE       
0HDL      	HMS NETWORKS AB NPV                               	LSE       
0HDP      	D/S NORDEN DKK1                                   	LSE       
0HDQ      	SYNERGIE EUR5                                     	LSE       
0HEZ      	EAST CAPITAL EXPLORER AB NPV                      	LSE       
0HFD      	GREENTECH ENERGY SYSTEMS DKK5                     	LSE       
0HHI      	SURTECO SE NPV                                    	LSE       
0HI8      	ASIAN BAMBOO AG NPV (BR)                          	LSE       
0HIT      	IBERDROLA SA EUR0.75                              	LSE       
0HJC      	VILMORIN ET CIE EUR15.25                          	LSE       
0HNK      	ABLYNX N.V. NPV                                   	LSE       
0HNZ      	ARSEUS NV NPV                                     	LSE       
0HR3      	DUNI AB SEK10                                     	LSE       
0HTP      	VOLVO(AB) SER`B`NPV                               	LSE       
0HV2      	HERMES INTERNATIONAL NPV                          	LSE       
0HV8      	FONCIER FINANCIERE ET DE PARTICIP EUR2            	LSE       
0HVA      	HAULOTTE GROUP EUR0.13                            	LSE       
0HW0      	KONGSBERG AUTOMOTIVE ASA NOK0.50                  	LSE       
0HW6      	DORO AB NPV                                       	LSE       
0HXB      	TENARIS S.A. USD1                                 	LSE       
0HY2      	CEMENTIR SPA EUR1                                 	LSE       
0HY6      	EURO DISNEY S.C.A. EUR1                           	LSE       
0HYK      	SEADRILL LTD USD2                                 	LSE       
0HZC      	EURAZEO ORD NPV                                   	LSE       
0HZD      	WENDEL INVESTISSEMENT EUR4                        	LSE       
0HZW      	VIEL & CIE EUR0.20                                	LSE       
0I2R      	ATLANTIA SPA EUR1                                 	LSE       
0I3Z      	DEUTSCHE EUROSHOP AG NPV                          	LSE       
0I5O      	BERGMAN & BEVING AB SER B NPV                     	LSE       
0I8Y      	ELISA OYJ NPV                                     	LSE       
0IAH      	SECURITAS AB SER`B`NPV                            	LSE       
0IAX      	DASSAULT AVIATION EUR8                            	LSE       
0IB0      	ARKEMA EUR10                                      	LSE       
0IE3      	MOLMED SPA NPV                                    	LSE       
0IE9      	SEMAPA SOC INVEST E GESTAO SGPS EUR1              	LSE       
0IEB      	TECHNIP NPV                                       	LSE       
0IGF      	NEXANS EUR1                                       	LSE       
0IHK      	NATIXIS EUR1.6 (POST SUBDV)                       	LSE       
0IHM      	ATRIUM LJUNGBERG SER`B`NPV (POST SPLIT)           	LSE       
0II2      	KONE OYJ NPV ORD `B`                              	LSE       
0IIF      	VIVENDI EUR5.5                                    	LSE       
0IIH      	PPR EUR4                                          	LSE       
0IIO      	SARANTIS SA EUR1.53                               	LSE       
0IKH      	KOMERCNI BANKA CZK500                             	LSE       
0IKJ      	WARTSILA OYJ ABP EUR3.5                           	LSE       
0ILI      	FLUIDRA SA EUR1                                   	LSE       
0ILL      	LABORATORIOS FARMACEUTOCOS ROVI SA EUR0.06        	LSE       
0IMT      	PHOTOCURE ASA NOK0.5                              	LSE       
0IMY      	MARFIN INVESTMENT GROUP HLDGS SA EUR7.89          	LSE       
0IN0      	CREDIT AGRICOLE D` ILLE ET VILAINE EUR15.25       	LSE       
0IN2      	GROUPE BRUXELLES LAMBERT(NEW) NPV                 	LSE       
0IN3      	IMS(INTERNATIONAL METAL SERVICE) NPV              	LSE       
0INB      	ST MICROELECTRONICS EUR1.04                       	LSE       
0IPT      	AKER SOLUTIONS ASA NOK2                           	LSE       
0IPZ      	COFITEM-COFIMUR EUR15(REGD)                       	LSE       
0IQU      	MERCIALYS EUR1                                    	LSE       
0IRF      	EVOTEC AG NPV                                     	LSE       
0ISM      	HKSCAN CORP NPV                                   	LSE       
0IT3      	SCOR EUR7.876972                                  	LSE       
0IU8      	SAFRAN S.A. EUR0.20                               	LSE       
0IUJ      	INTER PARFUMS EUR 3                               	LSE       
0IUL      	TRANSELECTRICA SA RON10                           	LSE       
0IUQ      	CNP ASSURANCES EUR4                               	LSE       
0IVM      	SPAREBANKEN MIDT NORGE PRIMARY CAPITAL CERT NOK25 	LSE       
0IW5      	THALES EUR3                                       	LSE       
0IWK      	ALTRAN TECHNOLOGIES EUR0.50                       	LSE       
0IWV      	VAN DE VELDE ORD NPV                              	LSE       
0IX0      	GENERALE LOCATION EUR4                            	LSE       
0IXT      	LATECOERE EUR2                                    	LSE       
0IXZ      	BOLLORE SA EUR16                                  	LSE       
0IY1      	ATRIA EUR1.70                                     	LSE       
0IYN      	MOLOGEN HLDGS AG ORD NPV                          	LSE       
0IZ8      	HENKEL AG & CO KGAA NPV(BR)                       	LSE       
0IZC      	HENKEL AG & CO KGAA NON.V PRF NPV                 	LSE       
0IZM      	ABG SUNDAL COLLIER HLDG ASA NOK0.23`A`            	LSE       
0J04      	ALLGEMEINE BAUGESELLSCHAFT PORR AG NPV(VAR)       	LSE       
0J1N      	SPAREBANKEN NORD NORGE NOK50                      	LSE       
0J1Z      	ZON MULTIMEDIA SERVICIOS EUR0.01                  	LSE       
0J2R      	ALSTOM EUR14                                      	LSE       
0J2W      	BIOTIE THERAPIES CORP EUR1                        	LSE       
0J3F      	SODEXHO EUR4                                      	LSE       
0J3X      	COFINIMMO ORD NPV                                 	LSE       
0J5B      	ELECTROMAGNETIC GEOSERVICES NOK0.25               	LSE       
0J5Y      	PROSAFE SE EUR0.25                                	LSE       
0J6V      	FONCIERE DES REGIONS GFR EUR3                     	LSE       
0J6X      	TELEPERFORMANCE EUR2.50                           	LSE       
0J6Y      	SOCIETE GENERALE EUR1.25                          	LSE       
0J77      	ODFJELL ASA SER`A`NOK2.5                          	LSE       
0J7U      	LE BELIER EUR1.52                                 	LSE       
0J9C      	DUERR AG NPV                                      	LSE       
0J9O      	MANZ AUTOMATION AG NPV                            	LSE       
0JAA      	KINNEVIK INVESTMENTS AB SER`B`NPV                 	LSE       
0JBY      	ELANDERS AB SER`B`NPV                             	LSE       
0JC5      	ALLAMI NYOMDA HUF98                               	LSE       
0JDU      	PRECISE BIOMETRICS NPV                            	LSE       
0JE5      	AMERICAN SHIPPING CO ASA NOK10                    	LSE       
0JE9      	SWEDOL AB SER`B`NPV                               	LSE       
0JG5      	ELEKTROBIT OYJ NPV                                	LSE       
0JH4      	SPAR NORD BANK AS DKK10                           	LSE       
0JHU      	PORSCHE AUTOMOBIL HLDG SE NON VTG PRF NPV         	LSE       
0JI9      	THIN FILM ELECTRONICS ASA NOK0.11                 	LSE       
0JK4      	TAG TEGERNSEE IMMO AG NPV                         	LSE       
0JLQ      	SANOMA CORP NPV                                   	LSE       
0JMU      	TECHNOTRANS AG NPV                                	LSE       
0JN9      	DSV DKK1                                          	LSE       
0JNI      	EUTELSAT COMMUNICATIONS EUR1                      	LSE       
0JNL      	NORDEA BANK AB NPV                                	LSE       
0JOE      	KUKA AG NPV                                       	LSE       
0JVS      	HYPOPORT AG NPV                                   	LSE       
0JWO      	ATEA ASA NOK10                                    	LSE       
0JWU      	GFK AG NPV                                        	LSE       
0JX9      	MARIMEKKO OY NPV                                  	LSE       
0JXF      	PROTECTOR FORSIKRING ASA NOK1                     	LSE       
0JXZ      	GALAPAGOS NV ORD NPV                              	LSE       
0JYO      	BB BIOTECH CHF1                                   	LSE       
0JYZ      	LOOMIS AB NPV`B`                                  	LSE       
0JZ8      	PINGUINLUTOSA NV NPV                              	LSE       
0K11      	WACKER NEUSON SE NPV                              	LSE       
0K1Q      	TELESTE CORP NPV                                  	LSE       
0K4O      	ICADE (NEW) NPV                                   	LSE       
0K4Y      	FUNCOM EUR0.04                                    	LSE       
0K5E      	DRAGERWERK AG NON VTG PREF NPV                    	LSE       
0K78      	ASSICURAZIONI GENERALI SPA EUR1                   	LSE       
0K7F      	AURUBIS AG ORD NPV                                	LSE       
0K7I      	WILLIAM DEMANT HLDGS DKK1                         	LSE       
0K7Y      	AMER SPORTS CORP NPV`A`                           	LSE       
0K82      	AUTOSTRADA TORINO-MILANO-SPA EUR0.50              	LSE       
0K8N      	BENETEAU EUR0.10                                  	LSE       
0K8W      	DERICHEBOURG EUR2                                 	LSE       
0K93      	CREDITO EMILIANO SPA EUR1                         	LSE       
0K96      	GRUPO EMPRESARIAL ENCE SA EUR0.9                  	LSE       
0K9A      	EURONAV NPV                                       	LSE       
0K9H      	FAES FARMA SA EUR0.1                              	LSE       
0K9N      	RALLYE EUR3                                       	LSE       
0K9P      	GN STORE NORD DKK4                                	LSE       
0K9T      	ELLAKTOR SA EUR0.81                               	LSE       
0K9V      	HAL TRUST CERTS(1 UNIT)                           	LSE       
0K9W      	HUHTAMAKI OYJ `I`NPV                              	LSE       
0KA0      	INGENICO EUR1                                     	LSE       
