Sym	Name	Exch
M3DN.IDX	3-Month Hi-Lo NYSE	INDEX
M3DO.IDX	3-Month Hi-Lo S&P 100	INDEX
M3DP.IDX	3-Month Hi-Lo S&P 500	INDEX
M3DQ.IDX	3-Month Hi-Lo Nasdaq	INDEX
M3DR.IDX	3-Month Hi-Lo S&P 500 Real Estate	INDEX
M3DS.IDX	3-Month Hi-Lo S&P 500 Health Care	INDEX
M3DT.IDX	3-Month Hi-Lo S&P 500 Energies	INDEX
M3DU.IDX	3-Month Hi-Lo Volume Lt 100K	INDEX
M3DV.IDX	3-Month Hi-Lo Volume GT 100K	INDEX
M3DW.IDX	3-Month Hi-Lo S&P 500 Telcomm	INDEX
M3DX.IDX	3-Month Hi-Lo Overall	INDEX
M3DY.IDX	3-Month Hi-Lo S&P 500 Consumer Disc	INDEX
M3DZ.IDX	3-Month Hi-Lo Russell 3000	INDEX
M3HA.IDX	3-Month Highs AMEX	INDEX
M3HB.IDX	3-Month Highs S&P 500 Materials	INDEX
M3HC.IDX	3-Month Highs Russell 2000	INDEX
M3HD.IDX	3-Month Highs Otcbb	INDEX
M3HE.IDX	3-Month Highs ETFS	INDEX
M3HF.IDX	3-Month Highs S&P 500 Financials	INDEX
M3HG.IDX	3-Month Highs Russell 1000	INDEX
M3HH.IDX	3-Month Highs Price GT $10	INDEX
M3HI.IDX	3-Month Highs S&P 500 Industrials	INDEX
M3HJ.IDX	3-Month Highs S&P 500 Utilities	INDEX
M3HK.IDX	3-Month Highs S&P 500 Info Tech	INDEX
M3HL.IDX	3-Month Highs Price Lt $10	INDEX
M3HM.IDX	3-Month Highs S&P 500 Consumer Staples	INDEX
M3HN.IDX	3-Month Highs NYSE	INDEX
M3HO.IDX	3-Month Highs S&P 100	INDEX
M3HP.IDX	3-Month Highs S&P 500	INDEX
M3HQ.IDX	3-Month Highs Nasdaq	INDEX
M3HR.IDX	3-Month Highs S&P 500 Real Estate	INDEX
M3HS.IDX	3-Month Highs S&P 500 Health Care	INDEX
M3HT.IDX	3-Month Highs S&P 500 Energies	INDEX
M3HU.IDX	3-Month Highs Volume Lt 100K	INDEX
M3HV.IDX	3-Month Highs Volume GT 100K	INDEX
M3HW.IDX	3-Month Highs S&P 500 Telcomm	INDEX
M3HX.IDX	3-Month Highs Overall	INDEX
M3HY.IDX	3-Month Highs S&P 500 Consumer Disc	INDEX
M3HZ.IDX	3-Month Highs Russell 3000	INDEX
M3LA.IDX	3-Month Lows AMEX	INDEX
M3LB.IDX	3-Month Lows S&P 500 Materials	INDEX
M3LC.IDX	3-Month Lows Russell 2000	INDEX
M3LD.IDX	3-Month Lows Otcbb	INDEX
M3LE.IDX	3-Month Lows ETFS	INDEX
M3LF.IDX	3-Month Lows S&P 500 Financials	INDEX
M3LG.IDX	3-Month Lows Russell 1000	INDEX
M3LH.IDX	3-Month Lows Price GT $10	INDEX
M3LI.IDX	3-Month Lows S&P 500 Industrials	INDEX
M3LJ.IDX	3-Month Lows S&P 500 Utilities	INDEX
M3LK.IDX	3-Month Lows S&P 500 Info Tech	INDEX
M3LL.IDX	3-Month Lows Price Lt $10	INDEX
M3LM.IDX	3-Month Lows S&P 500 Consumer Staples	INDEX
M3LN.IDX	3-Month Lows NYSE	INDEX
M3LO.IDX	3-Month Lows S&P 100	INDEX
M3LP.IDX	3-Month Lows S&P 500	INDEX
M3LQ.IDX	3-Month Lows Nasdaq	INDEX
M3LR.IDX	3-Month Lows S&P 500 Real Estate	INDEX
M3LS.IDX	3-Month Lows S&P 500 Health Care	INDEX
M3LT.IDX	3-Month Lows S&P 500 Energies	INDEX
M3LU.IDX	3-Month Lows Volume Lt 100K	INDEX
M3LV.IDX	3-Month Lows Volume GT 100K	INDEX
M3LW.IDX	3-Month Lows S&P 500 Telcomm	INDEX
M3LX.IDX	3-Month Lows Overall	INDEX
M3LY.IDX	3-Month Lows S&P 500 Consumer Disc	INDEX
M3LZ.IDX	3-Month Lows Russell 3000	INDEX
M5DA.IDX	5-Day Hi-Lo AMEX	INDEX
M5DB.IDX	5-Day Hi-Lo S&P 500 Materials	INDEX
M5DC.IDX	5-Day Hi-Lo Russell 2000	INDEX
M5DD.IDX	5-Day Hi-Lo Otcbb	INDEX
M5DE.IDX	5-Day Hi-Lo ETFS	INDEX
M5DF.IDX	5-Day Hi-Lo S&P 500 Financials	INDEX
M5DG.IDX	5-Day Hi-Lo Russell 1000	INDEX
M5DH.IDX	5-Day Hi-Lo Price GT $10	INDEX
M5DI.IDX	5-Day Hi-Lo S&P 500 Industrials	INDEX
M5DJ.IDX	5-Day Hi-Lo S&P 500 Utilities	INDEX
M5DK.IDX	5-Day Hi-Lo S&P 500 Info Tech	INDEX
M5DL.IDX	5-Day Hi-Lo Price Lt $10	INDEX
M5DM.IDX	5-Day Hi-Lo S&P 500 Consumer Staples	INDEX
M5DN.IDX	5-Day Hi-Lo NYSE	INDEX
M5DO.IDX	5-Day Hi-Lo S&P 100	INDEX
M5DP.IDX	5-Day Hi-Lo S&P 500	INDEX
M5DQ.IDX	5-Day Hi-Lo Nasdaq	INDEX
M5DR.IDX	5-Day Hi-Lo S&P 500 Real Estate	INDEX
M5DS.IDX	5-Day Hi-Lo S&P 500 Health Care	INDEX
M5DT.IDX	5-Day Hi-Lo S&P 500 Energies	INDEX
M5DU.IDX	5-Day Hi-Lo Volume Lt 100K	INDEX
M5DV.IDX	5-Day Hi-Lo Volume GT 100K	INDEX
M5DW.IDX	5-Day Hi-Lo S&P 500 Telcomm	INDEX
M5DX.IDX	5-Day Hi-Lo Overall	INDEX
M5DY.IDX	5-Day Hi-Lo S&P 500 Consumer Disc	INDEX
M5DZ.IDX	5-Day Hi-Lo Russell 3000	INDEX
M5HA.IDX	5-Day Highs AMEX	INDEX
M5HB.IDX	5-Day Highs S&P 500 Materials	INDEX
M5HC.IDX	5-Day Highs Russell 2000	INDEX
M5HD.IDX	5-Day Highs Otcbb	INDEX
M5HE.IDX	5-Day Highs ETFS	INDEX
M5HF.IDX	5-Day Highs S&P 500 Financials	INDEX
M5HG.IDX	5-Day Highs Russell 1000	INDEX
M5HH.IDX	5-Day Highs Price GT $10	INDEX
M5HI.IDX	5-Day Highs S&P 500 Industrials	INDEX
M5HJ.IDX	5-Day Highs S&P 500 Utilities	INDEX
M5HK.IDX	5-Day Highs S&P 500 Info Tech	INDEX
M5HL.IDX	5-Day Highs Price Lt $10	INDEX
M5HM.IDX	5-Day Highs S&P 500 Consumer Staples	INDEX
M5HN.IDX	5-Day Highs NYSE	INDEX
M5HO.IDX	5-Day Highs S&P 100	INDEX
M5HP.IDX	5-Day Highs S&P 500	INDEX
M5HQ.IDX	5-Day Highs Nasdaq	INDEX
M5HR.IDX	5-Day Highs S&P 500 Real Estate	INDEX
M5HS.IDX	5-Day Highs S&P 500 Health Care	INDEX
M5HT.IDX	5-Day Highs S&P 500 Energies	INDEX
M5HU.IDX	5-Day Highs Volume Lt 100K	INDEX
M5HV.IDX	5-Day Highs Volume GT 100K	INDEX
M5HW.IDX	5-Day Highs S&P 500 Telcomm	INDEX
M5HX.IDX	5-Day Highs Overall	INDEX
M5HY.IDX	5-Day Highs S&P 500 Consumer Disc	INDEX
M5HZ.IDX	5-Day Highs Russell 3000	INDEX
M5LA.IDX	5-Day Lows AMEX	INDEX
M5LB.IDX	5-Day Lows S&P 500 Materials	INDEX
M5LC.IDX	5-Day Lows Russell 2000	INDEX
M5LD.IDX	5-Day Lows Otcbb	INDEX
M5LE.IDX	5-Day Lows ETFS	INDEX
M5LF.IDX	5-Day Lows S&P 500 Financials	INDEX
M5LG.IDX	5-Day Lows Russell 1000	INDEX
M5LH.IDX	5-Day Lows Price GT $10	INDEX
M5LI.IDX	5-Day Lows S&P 500 Industrials	INDEX
M5LJ.IDX	5-Day Lows S&P 500 Utilities	INDEX
M5LK.IDX	5-Day Lows S&P 500 Info Tech	INDEX
M5LL.IDX	5-Day Lows Price Lt $10	INDEX
M5LM.IDX	5-Day Lows S&P 500 Consumer Staples	INDEX
M5LN.IDX	5-Day Lows NYSE	INDEX
M5LO.IDX	5-Day Lows S&P 100	INDEX
M5LP.IDX	5-Day Lows S&P 500	INDEX
M5LQ.IDX	5-Day Lows Nasdaq	INDEX
M5LR.IDX	5-Day Lows S&P 500 Real Estate	INDEX
M5LS.IDX	5-Day Lows S&P 500 Health Care	INDEX
M5LT.IDX	5-Day Lows S&P 500 Energies	INDEX
M5LU.IDX	5-Day Lows Volume Lt 100K	INDEX
M5LV.IDX	5-Day Lows Volume GT 100K	INDEX
M5LW.IDX	5-Day Lows S&P 500 Telcomm	INDEX
M5LX.IDX	5-Day Lows Overall	INDEX
M5LY.IDX	5-Day Lows S&P 500 Consumer Disc	INDEX
M5LZ.IDX	5-Day Lows Russell 3000	INDEX
M6DA.IDX	6-Month Hi-Lo AMEX	INDEX
M6DB.IDX	6-Month Hi-Lo S&P 500 Materials	INDEX
M6DC.IDX	6-Month Hi-Lo Russell 2000	INDEX
M6DD.IDX	6-Month Hi-Lo Otcbb	INDEX
M6DE.IDX	6-Month Hi-Lo ETFS	INDEX
M6DF.IDX	6-Month Hi-Lo S&P 500 Financials	INDEX
M6DG.IDX	6-Month Hi-Lo Russell 1000	INDEX
M6DH.IDX	6-Month Hi-Lo Price GT $10	INDEX
M6DI.IDX	6-Month Hi-Lo S&P 500 Industrials	INDEX
M6DJ.IDX	6-Month Hi-Lo S&P 500 Utilities	INDEX
M6DK.IDX	6-Month Hi-Lo S&P 500 Info Tech	INDEX
M6DL.IDX	6-Month Hi-Lo Price Lt $10	INDEX
M6DM.IDX	6-Month Hi-Lo S&P 500 Consumer Staples	INDEX
M6DN.IDX	6-Month Hi-Lo NYSE	INDEX
M6DO.IDX	6-Month Hi-Lo S&P 100	INDEX
M6DP.IDX	6-Month Hi-Lo S&P 500	INDEX
M6DQ.IDX	6-Month Hi-Lo Nasdaq	INDEX
M6DR.IDX	6-Month Hi-Lo S&P 500 Real Estate	INDEX
M6DS.IDX	6-Month Hi-Lo S&P 500 Health Care	INDEX
M6DT.IDX	6-Month Hi-Lo S&P 500 Energies	INDEX
M6DU.IDX	6-Month Hi-Lo Volume Lt 100K	INDEX
M6DV.IDX	6-Month Hi-Lo Volume GT 100K	INDEX
M6DW.IDX	6-Month Hi-Lo S&P 500 Telcomm	INDEX
M6DX.IDX	6-Month Hi-Lo Overall	INDEX
M6DY.IDX	6-Month Hi-Lo S&P 500 Consumer Disc	INDEX
M6DZ.IDX	6-Month Hi-Lo Russell 3000	INDEX
M6HA.IDX	6-Month Highs AMEX	INDEX
M6HB.IDX	6-Month Highs S&P 500 Materials	INDEX
M6HC.IDX	6-Month Highs Russell 2000	INDEX
M6HD.IDX	6-Month Highs Otcbb	INDEX
M6HE.IDX	6-Month Highs ETFS	INDEX
M6HF.IDX	6-Month Highs S&P 500 Financials	INDEX
M6HG.IDX	6-Month Highs Russell 1000	INDEX
M6HH.IDX	6-Month Highs Price GT $10	INDEX
M6HI.IDX	6-Month Highs S&P 500 Industrials	INDEX
M6HJ.IDX	6-Month Highs S&P 500 Utilities	INDEX
M6HK.IDX	6-Month Highs S&P 500 Info Tech	INDEX
M6HL.IDX	6-Month Highs Price Lt $10	INDEX
M6HM.IDX	6-Month Highs S&P 500 Consumer Staples	INDEX
M6HN.IDX	6-Month Highs NYSE	INDEX
M6HO.IDX	6-Month Highs S&P 100	INDEX
M6HP.IDX	6-Month Highs S&P 500	INDEX
M6HQ.IDX	6-Month Highs Nasdaq	INDEX
M6HR.IDX	6-Month Highs S&P 500 Real Estate	INDEX
M6HS.IDX	6-Month Highs S&P 500 Health Care	INDEX
M6HT.IDX	6-Month Highs S&P 500 Energies	INDEX
M6HU.IDX	6-Month Highs Volume Lt 100K	INDEX
M6HV.IDX	6-Month Highs Volume GT 100K	INDEX
M6HW.IDX	6-Month Highs S&P 500 Telcomm	INDEX
M6HX.IDX	6-Month Highs Overall	INDEX
M6HY.IDX	6-Month Highs S&P 500 Consumer Disc	INDEX
M6HZ.IDX	6-Month Highs Russell 3000	INDEX
M6LA.IDX	6-Month Lows AMEX	INDEX
M6LB.IDX	6-Month Lows S&P 500 Materials	INDEX
M6LC.IDX	6-Month Lows Russell 2000	INDEX
M6LD.IDX	6-Month Lows Otcbb	INDEX
M6LE.IDX	6-Month Lows ETFS	INDEX
M6LF.IDX	6-Month Lows S&P 500 Financials	INDEX
M6LG.IDX	6-Month Lows Russell 1000	INDEX
M6LH.IDX	6-Month Lows Price GT $10	INDEX
M6LI.IDX	6-Month Lows S&P 500 Industrials	INDEX
M6LJ.IDX	6-Month Lows S&P 500 Utilities	INDEX
M6LK.IDX	6-Month Lows S&P 500 Info Tech	INDEX
M6LL.IDX	6-Month Lows Price Lt $10	INDEX
M6LM.IDX	6-Month Lows S&P 500 Consumer Staples	INDEX
M6LN.IDX	6-Month Lows NYSE	INDEX
M6LO.IDX	6-Month Lows S&P 100	INDEX
M6LP.IDX	6-Month Lows S&P 500	INDEX
M6LQ.IDX	6-Month Lows Nasdaq	INDEX
M6LR.IDX	6-Month Lows S&P 500 Real Estate	INDEX
M6LS.IDX	6-Month Lows S&P 500 Health Care	INDEX
M6LT.IDX	6-Month Lows S&P 500 Energies	INDEX
M6LU.IDX	6-Month Lows Volume Lt 100K	INDEX
M6LV.IDX	6-Month Lows Volume GT 100K	INDEX
M6LW.IDX	6-Month Lows S&P 500 Telcomm	INDEX
M6LX.IDX	6-Month Lows Overall	INDEX
M6LY.IDX	6-Month Lows S&P 500 Consumer Disc	INDEX
M6LZ.IDX	6-Month Lows Russell 3000	INDEX
MADA.IDX	52-Week Hi-Lo AMEX	INDEX
MADB.IDX	52-Week Hi-Lo S&P 500 Materials	INDEX
MADC.IDX	52-Week Hi-Lo Russell 2000	INDEX
MADD.IDX	52-Week Hi-Lo Otcbb	INDEX
MADE.IDX	52-Week Hi-Lo ETFS	INDEX
MADF.IDX	52-Week Hi-Lo S&P 500 Financials	INDEX
MADG.IDX	52-Week Hi-Lo Russell 1000	INDEX
MADH.IDX	52-Week Hi-Lo Price GT $10	INDEX
MADI.IDX	52-Week Hi-Lo S&P 500 Industrials	INDEX
MADJ.IDX	52-Week Hi-Lo S&P 500 Utilities	INDEX
MADK.IDX	52-Week Hi-Lo S&P 500 Info Tech	INDEX
MADL.IDX	52-Week Hi-Lo Price Lt $10	INDEX
MADM.IDX	52-Week Hi-Lo S&P 500 Consumer Staples	INDEX
MADN.IDX	52-Week Hi-Lo NYSE	INDEX
MADO.IDX	52-Week Hi-Lo S&P 100	INDEX
MADP.IDX	52-Week Hi-Lo S&P 500	INDEX
MADQ.IDX	52-Week Hi-Lo Nasdaq	INDEX
MADR.IDX	52-Week Hi-Lo S&P 500 Real Estate	INDEX
MADS.IDX	52-Week Hi-Lo S&P 500 Health Care	INDEX
MADT.IDX	52-Week Hi-Lo S&P 500 Energies	INDEX
MADU.IDX	52-Week Hi-Lo Volume Lt 100K	INDEX
MADV.IDX	52-Week Hi-Lo Volume GT 100K	INDEX
MADW.IDX	52-Week Hi-Lo S&P 500 Telcomm	INDEX
MADX.IDX	52-Week Hi-Lo Overall	INDEX
MADY.IDX	52-Week Hi-Lo S&P 500 Consumer Disc	INDEX
MADZ.IDX	52-Week Hi-Lo Russell 3000	INDEX
MAHA.IDX	52-Week Highs AMEX	INDEX
MAHB.IDX	52-Week Highs S&P 500 Materials	INDEX
MAHC.IDX	52-Week Highs Russell 2000	INDEX
MAHD.IDX	52-Week Highs Otcbb	INDEX
MAHE.IDX	52-Week Highs ETFS	INDEX
MAHF.IDX	52-Week Highs S&P 500 Financials	INDEX
MAHG.IDX	52-Week Highs Russell 1000	INDEX
MAHH.IDX	52-Week Highs Price GT $10	INDEX
MAHI.IDX	52-Week Highs S&P 500 Industrials	INDEX
MAHJ.IDX	52-Week Highs S&P 500 Utilities	INDEX
MAHK.IDX	52-Week Highs S&P 500 Info Tech	INDEX
MAHL.IDX	52-Week Highs Price Lt $10	INDEX
MAHM.IDX	52-Week Highs S&P 500 Consumer Staples	INDEX
MAHN.IDX	52-Week Highs NYSE	INDEX
MAHO.IDX	52-Week Highs S&P 100	INDEX
MAHP.IDX	52-Week Highs S&P 500	INDEX
MAHQ.IDX	52-Week Highs Nasdaq	INDEX
MAHR.IDX	52-Week Highs S&P 500 Real Estate	INDEX
MAHS.IDX	52-Week Highs S&P 500 Health Care	INDEX
MAHT.IDX	52-Week Highs S&P 500 Energies	INDEX
MAHU.IDX	52-Week Highs Volume Lt 100K	INDEX
MAHV.IDX	52-Week Highs Volume GT 100K	INDEX
MAHW.IDX	52-Week Highs S&P 500 Telcomm	INDEX
MAHX.IDX	52-Week Highs Overall	INDEX
MAHY.IDX	52-Week Highs S&P 500 Consumer Disc	INDEX
MAHZ.IDX	52-Week Highs Russell 3000	INDEX
MALA.IDX	52-Week Lows AMEX	INDEX
MALB.IDX	52-Week Lows S&P 500 Materials	INDEX
MALC.IDX	52-Week Lows Russell 2000	INDEX
MALD.IDX	52-Week Lows Otcbb	INDEX
MALE.IDX	52-Week Lows ETFS	INDEX
MALF.IDX	52-Week Lows S&P 500 Financials	INDEX
MALG.IDX	52-Week Lows Russell 1000	INDEX
MALH.IDX	52-Week Lows Price GT $10	INDEX
MALI.IDX	52-Week Lows S&P 500 Industrials	INDEX
MALJ.IDX	52-Week Lows S&P 500 Utilities	INDEX
MALK.IDX	52-Week Lows S&P 500 Info Tech	INDEX
MALL.IDX	52-Week Lows Price Lt $10	INDEX
MALM.IDX	52-Week Lows S&P 500 Consumer Staples	INDEX
MALN.IDX	52-Week Lows NYSE	INDEX
MALO.IDX	52-Week Lows S&P 100	INDEX
MALP.IDX	52-Week Lows S&P 500	INDEX
MALQ.IDX	52-Week Lows Nasdaq	INDEX
MALR.IDX	52-Week Lows S&P 500 Real Estate	INDEX
MALS.IDX	52-Week Lows S&P 500 Health Care	INDEX
MALT.IDX	52-Week Lows S&P 500 Energies	INDEX
MALU.IDX	52-Week Lows Volume Lt 100K	INDEX
MALV.IDX	52-Week Lows Volume GT 100K	INDEX
MALW.IDX	52-Week Lows S&P 500 Telcomm	INDEX
MALX.IDX	52-Week Lows Overall	INDEX
MALY.IDX	52-Week Lows S&P 500 Consumer Disc	INDEX
MALZ.IDX	52-Week Lows Russell 3000	INDEX
MIXR.IDX	S&P C.S. Fl-Miami Home Price Index	INDEX
MMFD.IDX	Percent of Stocks Above 5-Day Average	INDEX
MMFI.IDX	Percent of Stocks Above 50-Day Average	INDEX
MMOF.IDX	Percent of Stocks Above 150-Day Average	INDEX
MMOH.IDX	Percent of Stocks Above 100-Day Average	INDEX
MMTH.IDX	Percent of Stocks Above 200-Day Average	INDEX
MMTW.IDX	Percent of Stocks Above 20-Day Average	INDEX
MNFD.IDX	Percent Above 5-Day Average Yesterday	INDEX
MNFI.IDX	Percent Above 50-Day Average Yesterday	INDEX
MNOF.IDX	Percent Above 150-Day Average Yesterday	INDEX
MNOH.IDX	Percent Above 100-Day Average Yesterday	INDEX
MNTH.IDX	Percent Above 200-Day Average Yesterday	INDEX
MNTW.IDX	Percent Above 20-Day Average Yesterday	INDEX
MNXR.IDX	S&P C.S. Mn-Minneapolis Home Price Index	INDEX
MOFD.IDX	Percent Above 5-Day Average Last Week	INDEX
MOFI.IDX	Percent Above 50-Day Average Last Week	INDEX
MOOF.IDX	Percent Above 150-Day Average Last Week	INDEX
MOOH.IDX	Percent Above 100-Day Average Last Week	INDEX
MOTH.IDX	Percent Above 200-Day Average Last Week	INDEX
MOTW.IDX	Percent Above 20-Day Average Last Week	INDEX
MPFD.IDX	Percent Above 5-Day Average Last Month	INDEX
MPFI.IDX	Percent Above 50-Day Average Last Month	INDEX
MPOF.IDX	Percent Above 150-Day Average Last Month	INDEX
MPOH.IDX	Percent Above 100-Day Average Last Month	INDEX
MPTH.IDX	Percent Above 200-Day Average Last Month	INDEX
MPTW.IDX	Percent Above 20-Day Average Last Month	INDEX
MTFD.IDX	TSX Percent of Stocks Above 5-Day Average	INDEX
MTFI.IDX	TSX Percent of Stocks Above 50-Day Average	INDEX
MTOF.IDX	TSX Percent of Stocks Above 150-Day Average	INDEX
MTOH.IDX	TSX Percent of Stocks Above 100-Day Average	INDEX
MTTH.IDX	TSX Percent of Stocks Above 200-Day Average	INDEX
MTTW.IDX	TSX Percent of Stocks Above 20-Day Average	INDEX
MUFD.IDX	TSX Percent Above 5-Day Average Yesterday	INDEX
MUFI.IDX	TSX Percent Above 50-Day Average Yesterday	INDEX
MUOF.IDX	TSX Percent Above 150-Day Average Yesterday	INDEX
MUOH.IDX	TSX Percent Above 100-Day Average Yesterday	INDEX
MUTH.IDX	TSX Percent Above 200-Day Average Yesterday	INDEX
MUTW.IDX	TSX Percent Above 20-Day Average Yesterday	INDEX
MVFD.IDX	TSX Percent Above 5-Day Average Last Week	INDEX
MVFI.IDX	TSX Percent Above 50-Day Average Last Week	INDEX
MVOF.IDX	TSX Percent Above 150-Day Average Last Week	INDEX
MVOH.IDX	TSX Percent Above 100-Day Average Last Week	INDEX
MVTH.IDX	TSX Percent Above 200-Day Average Last Week	INDEX
MVTW.IDX	TSX Percent Above 20-Day Average Last Week	INDEX
MWFD.IDX	TSX Percent Above 5-Day Average Last Month	INDEX
MWFI.IDX	TSX Percent Above 50-Day Average Last Month	INDEX
MWOF.IDX	TSX Percent Above 150-Day Average Last Month	INDEX
MWOH.IDX	TSX Percent Above 100-Day Average Last Month	INDEX
MWTH.IDX	TSX Percent Above 200-Day Average Last Month	INDEX
MWTW.IDX	TSX Percent Above 20-Day Average Last Month	INDEX
MYDA.IDX	YTD Hi-Lo AMEX	INDEX
MYDB.IDX	YTD Hi-Lo S&P 500 Materials	INDEX
MYDC.IDX	YTD Hi-Lo Russell 2000	INDEX
MYDD.IDX	YTD Hi-Lo Otcbb	INDEX
MYDE.IDX	YTD Hi-Lo ETFS	INDEX
MYDF.IDX	YTD Hi-Lo S&P 500 Financials	INDEX
MYDG.IDX	YTD Hi-Lo Russell 1000	INDEX
MYDH.IDX	YTD Hi-Lo Price GT $10	INDEX
MYDI.IDX	YTD Hi-Lo S&P 500 Industrials	INDEX
MYDJ.IDX	YTD Hi-Lo S&P 500 Utilities	INDEX
MYDK.IDX	YTD Hi-Lo S&P 500 Info Tech	INDEX
MYDL.IDX	YTD Hi-Lo Price Lt $10	INDEX
MYDM.IDX	YTD Hi-Lo S&P 500 Consumer Staples	INDEX
MYDN.IDX	YTD Hi-Lo NYSE	INDEX
MYDO.IDX	YTD Hi-Lo S&P 100	INDEX
MYDP.IDX	YTD Hi-Lo S&P 500	INDEX
MYDQ.IDX	YTD Hi-Lo Nasdaq	INDEX
MYDR.IDX	YTD Hi-Lo S&P 500 Real Estate	INDEX
MYDS.IDX	YTD Hi-Lo S&P 500 Health Care	INDEX
MYDT.IDX	YTD Hi-Lo S&P 500 Energies	INDEX
MYDU.IDX	YTD Hi-Lo Volume Lt 100K	INDEX
MYDV.IDX	YTD Hi-Lo Volume GT 100K	INDEX
MYDW.IDX	YTD Hi-Lo S&P 500 Telcomm	INDEX
MYDX.IDX	YTD Hi-Lo Overall	INDEX
MYDY.IDX	YTD Hi-Lo S&P 500 Consumer Disc	INDEX
MYDZ.IDX	YTD Hi-Lo Russell 3000	INDEX
MYHA.IDX	YTD Highs AMEX	INDEX
MYHB.IDX	YTD Highs S&P 500 Materials	INDEX
MYHC.IDX	YTD Highs Russell 2000	INDEX
MYHD.IDX	YTD Highs Otcbb	INDEX
MYHE.IDX	YTD Highs ETFS	INDEX
MYHF.IDX	YTD Highs S&P 500 Financials	INDEX
MYHG.IDX	YTD Highs Russell 1000	INDEX
MYHH.IDX	YTD Highs Price GT $10	INDEX
MYHI.IDX	YTD Highs S&P 500 Industrials	INDEX
MYHJ.IDX	YTD Highs S&P 500 Utilities	INDEX
MYHK.IDX	YTD Highs S&P 500 Info Tech	INDEX
MYHL.IDX	YTD Highs Price Lt $10	INDEX
MYHM.IDX	YTD Highs S&P 500 Consumer Staples	INDEX
MYHN.IDX	YTD Highs NYSE	INDEX
MYHO.IDX	YTD Highs S&P 100	INDEX
MYHP.IDX	YTD Highs S&P 500	INDEX
MYHQ.IDX	YTD Highs Nasdaq	INDEX
MYHR.IDX	YTD Highs S&P 500 Real Estate	INDEX
MYHS.IDX	YTD Highs S&P 500 Health Care	INDEX
MYHT.IDX	YTD Highs S&P 500 Energies	INDEX
MYHU.IDX	YTD Highs Volume Lt 100K	INDEX
MYHV.IDX	YTD Highs Volume GT 100K	INDEX
MYHW.IDX	YTD Highs S&P 500 Telcomm	INDEX
MYHX.IDX	YTD Highs Overall	INDEX
MYHY.IDX	YTD Highs S&P 500 Consumer Disc	INDEX
MYHZ.IDX	YTD Highs Russell 3000	INDEX
MYLA.IDX	YTD Lows AMEX	INDEX
MYLB.IDX	YTD Lows S&P 500 Materials	INDEX
MYLC.IDX	YTD Lows Russell 2000	INDEX
MYLD.IDX	YTD Lows Otcbb	INDEX
MYLE.IDX	YTD Lows ETFS	INDEX
MYLF.IDX	YTD Lows S&P 500 Financials	INDEX
MYLG.IDX	YTD Lows Russell 1000	INDEX
MYLH.IDX	YTD Lows Price GT $10	INDEX
MYLI.IDX	YTD Lows S&P 500 Industrials	INDEX
MYLJ.IDX	YTD Lows S&P 500 Utilities	INDEX
MYLK.IDX	YTD Lows S&P 500 Info Tech	INDEX
MYLL.IDX	YTD Lows Price Lt $10	INDEX
MYLM.IDX	YTD Lows S&P 500 Consumer Staples	INDEX
MYLN.IDX	YTD Lows NYSE	INDEX
MYLO.IDX	YTD Lows S&P 100	INDEX
MYLP.IDX	YTD Lows S&P 500	INDEX
MYLQ.IDX	YTD Lows Nasdaq	INDEX
MYLR.IDX	YTD Lows S&P 500 Real Estate	INDEX
MYLS.IDX	YTD Lows S&P 500 Health Care	INDEX
MYLT.IDX	YTD Lows S&P 500 Energies	INDEX
MYLU.IDX	YTD Lows Volume Lt 100K	INDEX
MYLV.IDX	YTD Lows Volume GT 100K	INDEX
MYLW.IDX	YTD Lows S&P 500 Telcomm	INDEX
MYLX.IDX	YTD Lows Overall	INDEX
MYLY.IDX	YTD Lows S&P 500 Consumer Disc	INDEX
MYLZ.IDX	YTD Lows Russell 3000	INDEX
N1DA.IDX	1-Month Hi-Lo S&P 600	INDEX
N1DB.IDX	1-Month Hi-Lo S&P 400	INDEX
N1DC.IDX	1-Month Hi-Lo Nasdaq 100	INDEX
N1DD.IDX	1-Month Hi-Lo DOW Indu	INDEX
N1DE.IDX	1-Month Hi-Lo DOW Comp	INDEX
N1DF.IDX	1-Month Hi-Lo DOW Tran	INDEX
N1DG.IDX	1-Month Hi-Lo DOW Util	INDEX
N1DH.IDX	1-Month Hi-Lo TSX Comp	INDEX
N1DI.IDX	1-Month Hi-Lo TSX 60	INDEX
N1DJ.IDX	1-Month Hi-Lo TSX Venture	INDEX
N1HA.IDX	1-Month Highs S&P 600	INDEX
N1HB.IDX	1-Month Highs S&P 400	INDEX
N1HC.IDX	1-Month Highs Nasdaq 100	INDEX
N1HD.IDX	1-Month Highs DOW Indu	INDEX
N1HE.IDX	1-Month Highs DOW Comp	INDEX
N1HF.IDX	1-Month Highs DOW Tran	INDEX
N1HG.IDX	1-Month Highs DOW Util	INDEX
N1HH.IDX	1-Month Highs TSX Comp	INDEX
N1HI.IDX	1-Month Highs TSX 60	INDEX
N1HJ.IDX	1-Month Highs TSX Venture	INDEX
N1LA.IDX	1-Month Lows S&P 600	INDEX
N1LB.IDX	1-Month Lows S&P 400	INDEX
N1LC.IDX	1-Month Lows Nasdaq 100	INDEX
N1LD.IDX	1-Month Lows DOW Indu	INDEX
N1LE.IDX	1-Month Lows DOW Comp	INDEX
