A9H19     	MSCI EAFE NTR Index {Mar 19}                      	NYBOT     
HDU19     	Turkish Lira/USD {Sep 19}                         	NYBOT     
HDZ18     	Turkish Lira/USD {Dec 18}                         	NYBOT     
HY        	Canadian/Yen                                      	NYBOT     
HYH19     	Canadian/Yen {Mar 19}                             	NYBOT     
HYM19     	Canadian/Yen {Jun 19}                             	NYBOT     
HYU19     	Canadian/Yen {Sep 19}                             	NYBOT     
HYZ18     	Canadian/Yen {Dec 18}                             	NYBOT     
JJ        	New Zealand Dollar                                	NYBOT     
JJH19     	New Zealand Dollar {Mar 19}                       	NYBOT     
JJM19     	New Zealand Dollar {Jun 19}                       	NYBOT     
JJU19     	New Zealand Dollar {Sep 19}                       	NYBOT     
JJZ18     	New Zealand Dollar {Dec 18}                       	NYBOT     
KC        	Coffee                                            	NYBOT     
KCH19     	Coffee {Mar 19}                                   	NYBOT     
KCH20     	Coffee {Mar 20}                                   	NYBOT     
KCH21     	Coffee {Mar 21}                                   	NYBOT     
KCK19     	Coffee {May 19}                                   	NYBOT     
KCK20     	Coffee {May 20}                                   	NYBOT     
KCK21     	Coffee {May 21}                                   	NYBOT     
KCN19     	Coffee {Jul 19}                                   	NYBOT     
KCN20     	Coffee {Jul 20}                                   	NYBOT     
KCN21     	Coffee {Jul 21}                                   	NYBOT     
KCU19     	Coffee {Sep 19}                                   	NYBOT     
KCU20     	Coffee {Sep 20}                                   	NYBOT     
KCU21     	Coffee {Sep 21}                                   	NYBOT     
KCZ18     	Coffee {Dec 18}                                   	NYBOT     
KCZ19     	Coffee {Dec 19}                                   	NYBOT     
KCZ20     	Coffee {Dec 20}                                   	NYBOT     
KJ        	Krona/Yen                                         	NYBOT     
KJH19     	Krona/Yen {Mar 19}                                	NYBOT     
KJM19     	Krona/Yen {Jun 19}                                	NYBOT     
KJU19     	Krona/Yen {Sep 19}                                	NYBOT     
KJZ18     	Krona/Yen {Dec 18}                                	NYBOT     
KU        	Dollar/Krona                                      	NYBOT     
KUH19     	Dollar/Krona {Mar 19}                             	NYBOT     
KUM19     	Dollar/Krona {Jun 19}                             	NYBOT     
KUU19     	Dollar/Krona {Sep 19}                             	NYBOT     
KUZ18     	Dollar/Krona {Dec 18}                             	NYBOT     
KY        	Krone/Yen                                         	NYBOT     
KYH19     	Krone/Yen {Mar 19}                                	NYBOT     
KYM19     	Krone/Yen {Jun 19}                                	NYBOT     
KYU19     	Krone/Yen {Sep 19}                                	NYBOT     
KYZ18     	Krone/Yen {Dec 18}                                	NYBOT     
L0H19     	MSCI ACWI ex-US {Mar 19}                          	NYBOT     
L0M19     	MSCI ACWI ex-US {Jun 19}                          	NYBOT     
L0U19     	MSCI ACWI ex-US {Sep 19}                          	NYBOT     
L0Z18     	MSCI ACWI ex-US {Dec 18}                          	NYBOT     
L0Z19     	MSCI ACWI ex-US {Dec 19}                          	NYBOT     
L1H19     	MSCI ACWI ex-US NTR {Mar 19}                      	NYBOT     
L1M19     	MSCI ACWI ex-US NTR {Jun 19}                      	NYBOT     
L1U19     	MSCI ACWI ex-US NTR {Sep 19}                      	NYBOT     
L1Z18     	MSCI ACWI ex-US NTR {Dec 18}                      	NYBOT     
L1Z19     	MSCI ACWI ex-US NTR {Dec 19}                      	NYBOT     
L2H19     	MSCI ACWI Index {Mar 19}                          	NYBOT     
L2M19     	MSCI ACWI Index {Jun 19}                          	NYBOT     
L2U19     	MSCI ACWI Index {Sep 19}                          	NYBOT     
L2Z18     	MSCI ACWI Index {Dec 18}                          	NYBOT     
L2Z19     	MSCI ACWI Index {Dec 19}                          	NYBOT     
L3H19     	MSCI ACWI NTR Index {Mar 19}                      	NYBOT     
L3M19     	MSCI ACWI NTR Index {Jun 19}                      	NYBOT     
L3U19     	MSCI ACWI NTR Index {Sep 19}                      	NYBOT     
L3Z18     	MSCI ACWI NTR Index {Dec 18}                      	NYBOT     
L3Z19     	MSCI ACWI NTR Index {Dec 19}                      	NYBOT     
L4H19     	MSCI EM Asia Index {Mar 19}                       	NYBOT     
L4M19     	MSCI EM Asia Index {Jun 19}                       	NYBOT     
L4U19     	MSCI EM Asia Index {Sep 19}                       	NYBOT     
L4Z18     	MSCI EM Asia Index {Dec 18}                       	NYBOT     
L4Z19     	MSCI EM Asia Index {Dec 19}                       	NYBOT     
L5H19     	MSCI EM NTR Index {Mar 19}                        	NYBOT     
L5H20     	MSCI EM NTR Index {Mar 20}                        	NYBOT     
L5H21     	MSCI EM NTR Index {Mar 21}                        	NYBOT     
L5M19     	MSCI EM NTR Index {Jun 19}                        	NYBOT     
L5M20     	MSCI EM NTR Index {Jun 20}                        	NYBOT     
L5M21     	MSCI EM NTR Index {Jun 21}                        	NYBOT     
L5U19     	MSCI EM NTR Index {Sep 19}                        	NYBOT     
L5U20     	MSCI EM NTR Index {Sep 20}                        	NYBOT     
L5U21     	MSCI EM NTR Index {Sep 21}                        	NYBOT     
L5Z18     	MSCI EM NTR Index {Dec 18}                        	NYBOT     
L5Z19     	MSCI EM NTR Index {Dec 19}                        	NYBOT     
L5Z20     	MSCI EM NTR Index {Dec 20}                        	NYBOT     
MIH19     	MSCI USA Growth {Mar 19}                          	NYBOT     
MIM19     	MSCI USA Growth {Jun 19}                          	NYBOT     
MIU19     	MSCI USA Growth {Sep 19}                          	NYBOT     
MIZ18     	MSCI USA Growth {Dec 18}                          	NYBOT     
MIZ19     	MSCI USA Growth {Dec 19}                          	NYBOT     
NS        	Dollar/Krone                                      	NYBOT     
NSH19     	Dollar/Krone {Mar 19}                             	NYBOT     
NSM19     	Dollar/Krone {Jun 19}                             	NYBOT     
NSU19     	Dollar/Krone {Sep 19}                             	NYBOT     
NSZ18     	Dollar/Krone {Dec 18}                             	NYBOT     
OJF19     	Orange Juice {Jan 19}                             	NYBOT     
OJF20     	Orange Juice {Jan 20}                             	NYBOT     
OJF21     	Orange Juice {Jan 21}                             	NYBOT     
OJH19     	Orange Juice {Mar 19}                             	NYBOT     
OJH20     	Orange Juice {Mar 20}                             	NYBOT     
OJH21     	Orange Juice {Mar 21}                             	NYBOT     
OJK19     	Orange Juice {May 19}                             	NYBOT     
OJK20     	Orange Juice {May 20}                             	NYBOT     
OJK21     	Orange Juice {May 21}                             	NYBOT     
OJN19     	Orange Juice {Jul 19}                             	NYBOT     
OJN20     	Orange Juice {Jul 20}                             	NYBOT     
OJN21     	Orange Juice {Jul 21}                             	NYBOT     
OJU19     	Orange Juice {Sep 19}                             	NYBOT     
OJU20     	Orange Juice {Sep 20}                             	NYBOT     
OJU21     	Orange Juice {Sep 21}                             	NYBOT     
OJX19     	Orange Juice {Nov 19}                             	NYBOT     
OJX20     	Orange Juice {Nov 20}                             	NYBOT     
OJX21     	Orange Juice {Nov 21}                             	NYBOT     
OL        	Euro/Krone                                        	NYBOT     
OLH19     	Euro/Krone {Mar 19}                               	NYBOT     
OLM19     	Euro/Krone {Jun 19}                               	NYBOT     
OLU19     	Euro/Krone {Sep 19}                               	NYBOT     
OLZ18     	Euro/Krone {Dec 18}                               	NYBOT     
OR        	Dollar/Rand                                       	NYBOT     
ORH19     	Dollar/Rand {Mar 19}                              	NYBOT     
ORH20     	Dollar/Rand {Mar 20}                              	NYBOT     
ORH21     	Dollar/Rand {Mar 21}                              	NYBOT     
ORH22     	Dollar/Rand {Mar 22}                              	NYBOT     
ORH23     	Dollar/Rand {Mar 23}                              	NYBOT     
ORM19     	Dollar/Rand {Jun 19}                              	NYBOT     
ORM20     	Dollar/Rand {Jun 20}                              	NYBOT     
ORM21     	Dollar/Rand {Jun 21}                              	NYBOT     
ORM22     	Dollar/Rand {Jun 22}                              	NYBOT     
ORM23     	Dollar/Rand {Jun 23}                              	NYBOT     
ORU19     	Dollar/Rand {Sep 19}                              	NYBOT     
ORU20     	Dollar/Rand {Sep 20}                              	NYBOT     
ORU21     	Dollar/Rand {Sep 21}                              	NYBOT     
ORU22     	Dollar/Rand {Sep 22}                              	NYBOT     
ORU23     	Dollar/Rand {Sep 23}                              	NYBOT     
ORZ18     	Dollar/Rand {Dec 18}                              	NYBOT     
ORZ19     	Dollar/Rand {Dec 19}                              	NYBOT     
ORZ20     	Dollar/Rand {Dec 20}                              	NYBOT     
ORZ21     	Dollar/Rand {Dec 21}                              	NYBOT     
ORZ22     	Dollar/Rand {Dec 22}                              	NYBOT     
PK        	Pound/Krone                                       	NYBOT     
PKH19     	Pound/Krone {Mar 19}                              	NYBOT     
PKM19     	Pound/Krone {Jun 19}                              	NYBOT     
PKU19     	Pound/Krone {Sep 19}                              	NYBOT     
PKZ18     	Pound/Krone {Dec 18}                              	NYBOT     
PP        	Japanese Yen                                      	NYBOT     
PPH19     	Japanese Yen {Mar 19}                             	NYBOT     
PPM19     	Japanese Yen {Jun 19}                             	NYBOT     
PPU19     	Japanese Yen {Sep 19}                             	NYBOT     
PPZ18     	Japanese Yen {Dec 18}                             	NYBOT     
PR        	Canadian Dollar                                   	NYBOT     
PRH19     	Canadian Dollar {Mar 19}                          	NYBOT     
PRM19     	Canadian Dollar {Jun 19}                          	NYBOT     
PRU19     	Canadian Dollar {Sep 19}                          	NYBOT     
PRZ18     	Canadian Dollar {Dec 18}                          	NYBOT     
PS        	Pound/Krona                                       	NYBOT     
PSH19     	Pound/Krona {Mar 19}                              	NYBOT     
PSM19     	Pound/Krona {Jun 19}                              	NYBOT     
PSU19     	Pound/Krona {Sep 19}                              	NYBOT     
PSZ18     	Pound/Krona {Dec 18}                              	NYBOT     
PV        	Pound/Australian                                  	NYBOT     
PVH19     	Pound/Australian {Mar 19}                         	NYBOT     
PVM19     	Pound/Australian {Jun 19}                         	NYBOT     
PVU19     	Pound/Australian {Sep 19}                         	NYBOT     
PVZ18     	Pound/Australian {Dec 18}                         	NYBOT     
PW        	Pound/Canadian                                    	NYBOT     
PWH19     	Pound/Canadian {Mar 19}                           	NYBOT     
PWM19     	Pound/Canadian {Jun 19}                           	NYBOT     
PWU19     	Pound/Canadian {Sep 19}                           	NYBOT     
PWZ18     	Pound/Canadian {Dec 18}                           	NYBOT     
PX        	Pound/Rand                                        	NYBOT     
PXH19     	Pound/Rand {Mar 19}                               	NYBOT     
PXM19     	Pound/Rand {Jun 19}                               	NYBOT     
PXU19     	Pound/Rand {Sep 19}                               	NYBOT     
PXZ18     	Pound/Rand {Dec 18}                               	NYBOT     
PY        	Euro/Rand                                         	NYBOT     
